,Model,Acc Male,TPR Male,TNR Male,FPR Male,FNR Male,Acc Not Male,TPR Not Male,TNR Not Male,FPR Not Male,FNR Not Male,DPR,DPD,EOR,EOD
0,ConvNet_0,0.7466666666666667,0.75,0.7428571428571429,0.2571428571428571,0.25,0.6741573033707865,0.6770833333333334,0.6707317073170732,0.32926829268292684,0.3229166666666667,0.9939498703543648,0.0031460674157303137,0.7809523809523808,0.07291666666666663
1,ConvNet_1,0.7933333333333333,0.7625,0.8285714285714286,0.17142857142857143,0.2375,0.6741573033707865,0.6458333333333334,0.7073170731707317,0.2926829268292683,0.3541666666666667,0.9927658919501308,0.0035205992509363404,0.5857142857142857,0.12125435540069684
2,ConvNet_2,0.78,0.7625,0.8,0.2,0.2375,0.6966292134831461,0.6770833333333334,0.7195121951219512,0.2804878048780488,0.3229166666666667,0.9887640449438202,0.005617977528089901,0.7130434782608696,0.08541666666666659
3,ConvNet_3,0.7666666666666667,0.775,0.7571428571428571,0.24285714285714285,0.225,0.6853932584269663,0.6875,0.6829268292682927,0.3170731707317073,0.3125,0.9813682264258287,0.009812734082396912,0.7659340659340659,0.08750000000000002
4,ConvNet_4,0.78,0.75,0.8142857142857143,0.18571428571428572,0.25,0.651685393258427,0.6354166666666666,0.6707317073170732,0.32926829268292684,0.3645833333333333,0.9843939393939395,0.007715355805243407,0.564021164021164,0.14355400696864112
5,VGG11_0,0.5933333333333334,0.425,0.7857142857142857,0.21428571428571427,0.575,0.6123595505617978,0.4375,0.8170731707317073,0.18292682926829268,0.5625,0.9802797523503783,0.00644194756554306,0.8536585365853658,0.031358885017421595
6,VGG11_1,0.6933333333333334,0.7,0.6857142857142857,0.3142857142857143,0.3,0.6966292134831461,0.71875,0.6707317073170732,0.32926829268292684,0.28125,0.9641666666666667,0.01932584269662918,0.9544973544973544,0.018750000000000044
7,VGG11_2,0.6866666666666666,0.6625,0.7142857142857143,0.2857142857142857,0.3375,0.6404494382022472,0.6979166666666666,0.573170731707317,0.4268292682926829,0.3020833333333333,0.8492810457516341,0.0863670411985018,0.6693877551020408,0.14111498257839722
8,VGG11_3,0.64,0.4875,0.8142857142857143,0.18571428571428572,0.5125,0.5955056179775281,0.4791666666666667,0.7317073170731707,0.2682926829268293,0.5208333333333334,0.9074509803921569,0.03535580524344567,0.6922077922077922,0.08257839721254356
9,VGG11_4,0.74,0.7625,0.7142857142857143,0.2857142857142857,0.2375,0.6629213483146067,0.71875,0.5975609756097561,0.4024390243902439,0.28125,0.9423529411764707,0.03303370786516846,0.7099567099567099,0.11672473867595823
10,ResNet18ImageNet_0,0.72,0.5875,0.8714285714285714,0.12857142857142856,0.4125,0.6629213483146067,0.6145833333333334,0.7195121951219512,0.2804878048780488,0.3854166666666667,0.8104065040650407,0.08734082397003745,0.45838509316770176,0.15191637630662025
11,ResNet18ImageNet_1,0.74,0.6625,0.8285714285714286,0.17142857142857143,0.3375,0.6179775280898876,0.6354166666666666,0.5975609756097561,0.4024390243902439,0.3645833333333333,0.820567375886525,0.09475655430711605,0.42597402597402595,0.2310104529616725
12,ResNet18ImageNet_2,0.72,0.6875,0.7571428571428571,0.24285714285714285,0.3125,0.6404494382022472,0.625,0.6585365853658537,0.34146341463414637,0.375,0.9709090909090909,0.014382022471910116,0.7112244897959183,0.09860627177700351
13,ResNet18ImageNet_3,0.7333333333333333,0.7125,0.7571428571428571,0.24285714285714285,0.2875,0.6741573033707865,0.7083333333333334,0.6341463414634146,0.36585365853658536,0.2916666666666667,0.8960544217687075,0.057228464419475655,0.6638095238095238,0.1229965156794425
14,ResNet18ImageNet_4,0.7066666666666667,0.675,0.7428571428571429,0.2571428571428571,0.325,0.6179775280898876,0.6458333333333334,0.5853658536585366,0.4146341463414634,0.3541666666666667,0.89,0.059325842696629216,0.6201680672268908,0.15749128919860628
