,Model,Prediction,Target,Male
0,ConvNet_0,0.0,1.0,Male
1,ConvNet_0,1.0,1.0,Male
2,ConvNet_0,0.0,1.0,Not Male
3,ConvNet_0,1.0,0.0,Male
4,ConvNet_0,0.0,0.0,Not Male
5,ConvNet_0,1.0,1.0,Not Male
6,ConvNet_0,1.0,1.0,Not Male
7,ConvNet_0,1.0,1.0,Not Male
8,ConvNet_0,1.0,1.0,Male
9,ConvNet_0,1.0,0.0,Not Male
10,ConvNet_0,1.0,1.0,Not Male
11,ConvNet_0,1.0,0.0,Male
12,ConvNet_0,1.0,0.0,Not Male
13,ConvNet_0,0.0,0.0,Not Male
14,ConvNet_0,1.0,0.0,Not Male
15,ConvNet_0,1.0,1.0,Not Male
16,ConvNet_0,1.0,1.0,Male
17,ConvNet_0,1.0,1.0,Not Male
18,ConvNet_0,0.0,0.0,Male
19,ConvNet_0,1.0,1.0,Not Male
20,ConvNet_0,0.0,0.0,Not Male
21,ConvNet_0,0.0,0.0,Not Male
22,ConvNet_0,1.0,1.0,Not Male
23,ConvNet_0,1.0,1.0,Male
24,ConvNet_0,0.0,0.0,Male
25,ConvNet_0,1.0,0.0,Not Male
26,ConvNet_0,0.0,1.0,Not Male
27,ConvNet_0,0.0,0.0,Male
28,ConvNet_0,1.0,1.0,Male
29,ConvNet_0,0.0,0.0,Male
30,ConvNet_0,0.0,0.0,Male
31,ConvNet_0,1.0,1.0,Not Male
32,ConvNet_0,1.0,1.0,Male
33,ConvNet_0,1.0,1.0,Not Male
34,ConvNet_0,1.0,1.0,Male
35,ConvNet_0,0.0,0.0,Male
36,ConvNet_0,1.0,0.0,Male
37,ConvNet_0,1.0,1.0,Not Male
38,ConvNet_0,1.0,1.0,Not Male
39,ConvNet_0,1.0,1.0,Not Male
40,ConvNet_0,0.0,1.0,Not Male
41,ConvNet_0,0.0,0.0,Male
42,ConvNet_0,0.0,1.0,Not Male
43,ConvNet_0,1.0,1.0,Male
44,ConvNet_0,1.0,1.0,Not Male
45,ConvNet_0,0.0,1.0,Not Male
46,ConvNet_0,0.0,1.0,Male
47,ConvNet_0,1.0,1.0,Not Male
48,ConvNet_0,0.0,0.0,Not Male
49,ConvNet_0,0.0,1.0,Male
50,ConvNet_0,1.0,1.0,Male
51,ConvNet_0,1.0,1.0,Male
52,ConvNet_0,1.0,0.0,Not Male
53,ConvNet_0,1.0,0.0,Not Male
54,ConvNet_0,1.0,0.0,Not Male
55,ConvNet_0,0.0,1.0,Male
56,ConvNet_0,1.0,1.0,Not Male
57,ConvNet_0,1.0,1.0,Not Male
58,ConvNet_0,1.0,1.0,Male
59,ConvNet_0,1.0,1.0,Not Male
60,ConvNet_0,0.0,1.0,Not Male
61,ConvNet_0,0.0,0.0,Male
62,ConvNet_0,1.0,0.0,Male
63,ConvNet_0,1.0,1.0,Not Male
64,ConvNet_0,0.0,0.0,Not Male
65,ConvNet_0,0.0,0.0,Not Male
66,ConvNet_0,1.0,1.0,Male
67,ConvNet_0,0.0,0.0,Not Male
68,ConvNet_0,1.0,1.0,Not Male
69,ConvNet_0,1.0,0.0,Not Male
70,ConvNet_0,1.0,1.0,Male
71,ConvNet_0,0.0,0.0,Male
72,ConvNet_0,1.0,1.0,Male
73,ConvNet_0,0.0,0.0,Male
74,ConvNet_0,1.0,1.0,Male
75,ConvNet_0,1.0,1.0,Not Male
76,ConvNet_0,1.0,0.0,Male
77,ConvNet_0,1.0,1.0,Male
78,ConvNet_0,1.0,1.0,Male
79,ConvNet_0,0.0,0.0,Male
80,ConvNet_0,0.0,0.0,Not Male
81,ConvNet_0,1.0,1.0,Male
82,ConvNet_0,1.0,1.0,Not Male
83,ConvNet_0,0.0,0.0,Not Male
84,ConvNet_0,1.0,1.0,Not Male
85,ConvNet_0,0.0,0.0,Male
86,ConvNet_0,1.0,1.0,Male
87,ConvNet_0,1.0,1.0,Male
88,ConvNet_0,0.0,0.0,Male
