,Model,Acc Male,TPR Male,TNR Male,FPR Male,FNR Male,Acc Not Male,TPR Not Male,TNR Not Male,FPR Not Male,FNR Not Male,DPR,DPD,EOR,EOD
0,ConvNet_0,0.9806869734283863,0.4,0.9945587259455873,0.00544127405441274,0.6,0.9430064505593206,0.875,0.9602743933654142,0.03972560663458585,0.125,0.07012480890520736,0.19422068578594592,0.13697145280785883,0.475
1,ConvNet_1,0.9810758263123784,0.35555555555555557,0.9960185799601858,0.003981420039814201,0.6444444444444445,0.9419449661141504,0.8443548387096774,0.9667246851643289,0.03327531483567114,0.15564516129032258,0.0616858811359734,0.18533370241953787,0.11965086008881631,0.48879928315412186
2,ConvNet_2,0.9812054439403759,0.37777777777777777,0.9956204379562044,0.004379562043795621,0.6222222222222222,0.9412100922674941,0.8584677419354839,0.9622197194634995,0.03778028053650046,0.14153225806451614,0.06418340116033203,0.190876938344206,0.1159219037445849,0.48068996415770615
3,ConvNet_3,0.9822423849643551,0.39444444444444443,0.9962840079628401,0.0037159920371599205,0.6055555555555555,0.9400669551726953,0.8592741935483871,0.9605815501177434,0.03941844988225658,0.1407258064516129,0.0624623537036331,0.19260592129351345,0.09427037461543102,0.46482974910394265
4,ConvNet_4,0.9823720025923526,0.34444444444444444,0.9976111479761115,0.0023888520238885204,0.6555555555555556,0.939658691924553,0.8221774193548387,0.9694890959352923,0.03051090406470769,0.1778225806451613,0.054340679164202016,0.1804528319419662,0.07829502589704422,0.47773297491039424
5,VGG11_0,0.9812054439403759,0.32222222222222224,0.9969475779694758,0.0030524220305242203,0.6777777777777778,0.9377806809830979,0.8294354838709678,0.9652912869867922,0.03470871301320774,0.17056451612903226,0.053665106133899985,0.18514072064204912,0.0879439704192627,0.5072132616487455
6,VGG11_1,0.9799092676604018,0.37777777777777777,0.994293297942933,0.0057067020570670205,0.6222222222222222,0.9393320813260391,0.8814516129032258,0.9540288727347189,0.04597112726528105,0.11854838709677419,0.06687074269425121,0.20076717506333372,0.1241366569963777,0.503673835125448
7,VGG11_2,0.9797796500324044,0.4,0.9936297279362972,0.006370272063702721,0.6,0.939658691924553,0.8790322580645161,0.9550527285758166,0.04494727142418348,0.12096774193548387,0.07273434547923259,0.19829417401730137,0.1417276702646571,0.4790322580645161
8,VGG11_3,0.9806869734283863,0.4111111111111111,0.994293297942933,0.0057067020570670205,0.5888888888888889,0.937290765085327,0.8661290322580645,0.9553598853281458,0.044640114671854206,0.1338709677419355,0.07187653619963522,0.19582518416429678,0.1278379793380128,0.4550179211469534
9,VGG11_4,0.9801685029163967,0.4722222222222222,0.9923025879230258,0.0076974120769741205,0.5277777777777778,0.9400669551726953,0.9,0.9502406061226579,0.04975939387734207,0.1,0.08351805514424133,0.20339658088658055,0.15469264147285233,0.4277777777777778
10,ResNet18ImageNet_0,0.980298120544394,0.32222222222222224,0.9960185799601858,0.003981420039814201,0.6777777777777778,0.937290765085327,0.8254032258064516,0.9657008293232313,0.034299170676768714,0.17459677419354838,0.05864550122897319,0.18309026015126853,0.11607919262347849,0.5031810035842295
11,ResNet18ImageNet_1,0.9806869734283863,0.34444444444444444,0.9958858659588586,0.0041141340411413405,0.6555555555555556,0.9375357230342125,0.8524193548387097,0.9591481519402069,0.04085184805979318,0.14758064516129032,0.058746804368418386,0.19313866911261243,0.10070863954843978,0.5079749103942652
12,ResNet18ImageNet_2,0.9804277381723915,0.4222222222222222,0.9937624419376244,0.00623755806237558,0.5777777777777777,0.9368825018371846,0.8612903225806452,0.9560765844169141,0.0439234155830859,0.13870967741935483,0.07612223472918632,0.1934960780533712,0.14200985919632236,0.439068100358423
13,ResNet18ImageNet_3,0.979650032404407,0.38333333333333336,0.9938951559389516,0.0061048440610484405,0.6166666666666667,0.9370458071364416,0.8560483870967742,0.9576123681785604,0.04238763182143954,0.1439516129032258,0.07195668717370474,0.192246744887753,0.14402418344024182,0.47271505376344086
14,ResNet18ImageNet_4,0.981853532080363,0.40555555555555556,0.9956204379562044,0.004379562043795621,0.5944444444444444,0.9398219972238099,0.8508064516129032,0.9624244906317191,0.03757550936828095,0.14919354838709678,0.06793188193335915,0.18851414456202087,0.11655363074046819,0.4452508960573477
