,Model,Acc Male,TPR Male,TNR Male,FPR Male,FNR Male,Acc Not Male,TPR Not Male,TNR Not Male,FPR Not Male,FNR Not Male,DPR,DPD,EOR,EOD
0,ConvNet_0,0.66,0.65,0.6714285714285714,0.32857142857142857,0.35,0.6067415730337079,0.6458333333333334,0.5609756097560976,0.43902439024390244,0.3541666666666667,0.9081632653061225,0.050561797752809,0.7484126984126984,0.11045296167247387
1,ConvNet_1,0.6466666666666666,0.6625,0.6285714285714286,0.37142857142857144,0.3375,0.5955056179775281,0.6875,0.4878048780487805,0.5121951219512195,0.3125,0.8680246913580245,0.08007490636704129,0.7251700680272108,0.14076655052264808
2,ConvNet_2,0.64,0.75,0.5142857142857142,0.4857142857142857,0.25,0.5955056179775281,0.6979166666666666,0.47560975609756095,0.524390243902439,0.3020833333333333,0.9861343533349269,0.00868913857677911,0.9262458471760797,0.05208333333333337
3,ConvNet_3,0.6466666666666666,0.725,0.5571428571428572,0.44285714285714284,0.275,0.5955056179775281,0.75,0.4146341463414634,0.5853658536585366,0.25,0.8801111111111112,0.08082397003745312,0.756547619047619,0.1425087108013937
4,ConvNet_4,0.7333333333333333,0.8125,0.6428571428571429,0.35714285714285715,0.1875,0.5786516853932584,0.6979166666666666,0.43902439024390244,0.5609756097560976,0.3020833333333333,0.9451327433628318,0.03483146067415732,0.6366459627329192,0.20383275261324046
5,ConvNet_5,0.6,0.65,0.5428571428571428,0.45714285714285713,0.35,0.6067415730337079,0.6875,0.5121951219512195,0.4878048780487805,0.3125,0.9403773584905661,0.03550561797752805,0.9371428571428572,0.03749999999999998
6,ConvNet_6,0.6066666666666667,0.625,0.5857142857142857,0.4142857142857143,0.375,0.5617977528089888,0.59375,0.524390243902439,0.47560975609756095,0.40625,0.9765277777777777,0.012659176029962582,0.8710622710622712,0.06132404181184664
7,ConvNet_7,0.6333333333333333,0.6875,0.5714285714285714,0.42857142857142855,0.3125,0.5617977528089888,0.6145833333333334,0.5,0.5,0.3854166666666667,0.9914077990746861,0.004868913857677848,0.8571428571428571,0.07291666666666663
8,ConvNet_8,0.6066666666666667,0.5625,0.6571428571428571,0.34285714285714286,0.4375,0.6067415730337079,0.6354166666666666,0.573170731707317,0.4268292682926829,0.3645833333333333,0.8529166666666668,0.07932584269662918,0.803265306122449,0.08397212543554006
9,ConvNet_9,0.64,0.6875,0.5857142857142857,0.4142857142857143,0.3125,0.6123595505617978,0.6875,0.524390243902439,0.47560975609756095,0.3125,0.9493333333333335,0.029887640449438146,0.8710622710622712,0.06132404181184664
10,ConvNet_10,0.6866666666666666,0.85,0.5,0.5,0.15,0.601123595505618,0.7291666666666666,0.45121951219512196,0.5487804878048781,0.2708333333333333,0.94087487727719,0.040599250936329545,0.8578431372549019,0.12083333333333335
11,ConvNet_11,0.7066666666666667,0.7625,0.6428571428571429,0.35714285714285715,0.2375,0.5955056179775281,0.7083333333333334,0.4634146341463415,0.5365853658536586,0.2916666666666667,0.9111904761904762,0.05588014981273404,0.6655844155844156,0.17944250871080142
12,ConvNet_12,0.6866666666666666,0.7625,0.6,0.4,0.2375,0.5730337078651685,0.6875,0.43902439024390244,0.5609756097560976,0.3125,0.9429761904761905,0.03588014981273402,0.7130434782608696,0.1609756097560976
13,ConvNet_13,0.68,0.7125,0.6428571428571429,0.35714285714285715,0.2875,0.5337078651685393,0.625,0.4268292682926829,0.573170731707317,0.375,0.9094080996884735,0.05445692883895137,0.6231003039513678,0.21602787456445988
14,ConvNet_14,0.6466666666666666,0.7,0.5857142857142857,0.4142857142857143,0.3,0.5674157303370787,0.6145833333333334,0.5121951219512195,0.4878048780487805,0.3854166666666667,0.9814937210839393,0.01048689138576775,0.8492857142857143,0.08541666666666659
15,ConvNet_15,0.6666666666666666,0.625,0.7142857142857143,0.2857142857142857,0.375,0.6292134831460674,0.6354166666666666,0.6219512195121951,0.3780487804878049,0.3645833333333333,0.9028985507246376,0.05018726591760303,0.7557603686635944,0.09233449477351918
16,ConvNet_16,0.7133333333333334,0.7375,0.6857142857142857,0.3142857142857143,0.2625,0.6067415730337079,0.6458333333333334,0.5609756097560976,0.43902439024390244,0.3541666666666667,0.9808163265306122,0.010561797752808966,0.7158730158730159,0.12473867595818816
17,ConvNet_17,0.68,0.7375,0.6142857142857143,0.38571428571428573,0.2625,0.5786516853932584,0.6041666666666666,0.5487804878048781,0.45121951219512196,0.3958333333333333,0.9308858113404754,0.039625468164794064,0.8192090395480225,0.13333333333333341
18,ConvNet_18,0.6866666666666666,0.7125,0.6571428571428571,0.34285714285714286,0.2875,0.6123595505617978,0.6770833333333334,0.5365853658536586,0.4634146341463415,0.3229166666666667,0.9332038834951457,0.03865168539325836,0.7398496240601503,0.12055749128919863
19,ConvNet_19,0.6466666666666666,0.65,0.6428571428571429,0.35714285714285715,0.35,0.601123595505618,0.65625,0.5365853658536586,0.4634146341463415,0.34375,0.9046864686468645,0.0540823970037454,0.7706766917293233,0.10627177700348434
20,ConvNet_20,0.7,0.775,0.6142857142857143,0.38571428571428573,0.225,0.5898876404494382,0.6875,0.47560975609756095,0.524390243902439,0.3125,0.9689296636085627,0.019026217228464426,0.7355481727574751,0.13867595818815331
21,ConvNet_21,0.68,0.725,0.6285714285714286,0.37142857142857144,0.275,0.5898876404494382,0.7395833333333334,0.4146341463414634,0.5853658536585366,0.2604166666666667,0.8376470588235295,0.10853932584269654,0.6345238095238096,0.2139372822299651
22,ConvNet_22,0.6466666666666666,0.6375,0.6571428571428571,0.34285714285714286,0.3625,0.6067415730337079,0.7083333333333334,0.4878048780487805,0.5121951219512195,0.2916666666666667,0.8090909090909092,0.1179775280898876,0.6693877551020408,0.16933797909407666
23,ConvNet_23,0.6866666666666666,0.75,0.6142857142857143,0.38571428571428573,0.25,0.6067415730337079,0.7291666666666666,0.4634146341463415,0.5365853658536586,0.2708333333333333,0.9056140350877192,0.06044943820224724,0.7188311688311688,0.15087108013937284
24,ConvNet_24,0.6466666666666666,0.65,0.6428571428571429,0.35714285714285715,0.35,0.5955056179775281,0.6666666666666666,0.5121951219512195,0.4878048780487805,0.3333333333333333,0.8785897435897436,0.07093632958801499,0.7321428571428572,0.13066202090592333
25,VGG11_0,0.58,0.5,0.6714285714285714,0.32857142857142857,0.5,0.5280898876404494,0.53125,0.524390243902439,0.47560975609756095,0.46875,0.8306666666666667,0.08561797752808992,0.6908424908424908,0.14703832752613238
26,VGG11_1,0.58,0.65,0.5,0.5,0.35,0.5393258426966292,0.6458333333333334,0.4146341463414634,0.5853658536585366,0.3541666666666667,0.9385454545454546,0.037977528089887636,0.8541666666666667,0.08536585365853655
27,VGG11_2,0.6266666666666667,0.5375,0.7285714285714285,0.2714285714285714,0.4625,0.5112359550561798,0.5416666666666666,0.47560975609756095,0.524390243902439,0.4583333333333333,0.7744561403508772,0.12037453183520597,0.5176079734219269,0.25296167247386764
28,VGG11_3,0.58,0.5125,0.6571428571428571,0.34285714285714286,0.4875,0.47191011235955055,0.4895833333333333,0.45121951219512196,0.5487804878048781,0.5104166666666666,0.8384057971014492,0.08352059925093636,0.6247619047619047,0.20592334494773523
29,VGG11_4,0.5533333333333333,0.6,0.5,0.5,0.4,0.5224719101123596,0.5833333333333334,0.45121951219512196,0.5487804878048781,0.4166666666666667,0.9751815181518151,0.014082397003745362,0.9111111111111111,0.04878048780487809
30,VGG11_5,0.58,0.4875,0.6857142857142857,0.3142857142857143,0.5125,0.6067415730337079,0.5625,0.6585365853658537,0.34146341463414637,0.4375,0.8827642276422765,0.054007490636704125,0.8666666666666667,0.07500000000000001
31,VGG11_6,0.6,0.575,0.6285714285714286,0.37142857142857144,0.425,0.5449438202247191,0.5520833333333334,0.5365853658536586,0.4634146341463415,0.4479166666666667,0.9389010989010989,0.03123595505617982,0.8015037593984963,0.09198606271777005
32,VGG11_7,0.6,0.6625,0.5285714285714286,0.4714285714285714,0.3375,0.5617977528089888,0.6979166666666666,0.4024390243902439,0.5975609756097561,0.3020833333333333,0.8797701149425288,0.07835205992509364,0.7889212827988339,0.12613240418118465
33,VGG11_8,0.6333333333333333,0.5375,0.7428571428571429,0.2571428571428571,0.4625,0.601123595505618,0.5520833333333334,0.6585365853658537,0.34146341463414637,0.4479166666666667,0.8936625514403292,0.048389513108614224,0.7530612244897957,0.08432055749128925
34,VGG11_9,0.62,0.55,0.7,0.3,0.45,0.5617977528089888,0.5104166666666666,0.6219512195121951,0.3780487804878049,0.4895833333333333,0.9641666666666667,0.01610486891385765,0.7935483870967741,0.07804878048780489
35,VGG11_10,0.6133333333333333,0.65,0.5714285714285714,0.42857142857142855,0.35,0.5617977528089888,0.625,0.4878048780487805,0.5121951219512195,0.375,0.9539869281045752,0.02636704119850186,0.836734693877551,0.08362369337979098
36,VGG11_11,0.6133333333333333,0.6,0.6285714285714286,0.37142857142857144,0.4,0.4943820224719101,0.5208333333333334,0.4634146341463415,0.5365853658536586,0.4791666666666667,0.9341843971631206,0.03475655430711605,0.6922077922077922,0.16515679442508713
37,VGG11_12,0.5866666666666667,0.525,0.6571428571428571,0.34285714285714286,0.475,0.5280898876404494,0.4895833333333333,0.573170731707317,0.4268292682926829,0.5104166666666666,0.9551219512195122,0.0206741573033708,0.803265306122449,0.08397212543554006
38,VGG11_13,0.5866666666666667,0.55,0.6285714285714286,0.37142857142857144,0.45,0.5393258426966292,0.5416666666666666,0.5365853658536586,0.4634146341463415,0.4583333333333333,0.922962962962963,0.03895131086142323,0.8015037593984963,0.09198606271777005
39,VGG11_14,0.58,0.5875,0.5714285714285714,0.42857142857142855,0.4125,0.550561797752809,0.59375,0.5,0.5,0.40625,0.9323809523809523,0.03722846441947569,0.8571428571428571,0.07142857142857145
40,VGG11_15,0.5466666666666666,0.55,0.5428571428571428,0.45714285714285713,0.45,0.550561797752809,0.5104166666666666,0.5975609756097561,0.4024390243902439,0.4895833333333333,0.9092253104671791,0.04599250936329591,0.8803353658536586,0.0547038327526132
41,VGG11_16,0.58,0.65,0.5,0.5,0.35,0.6348314606741573,0.65625,0.6097560975609756,0.3902439024390244,0.34375,0.9201859744285161,0.04629213483146066,0.7804878048780488,0.1097560975609756
42,VGG11_17,0.56,0.5375,0.5857142857142857,0.4142857142857143,0.4625,0.5730337078651685,0.5729166666666666,0.573170731707317,0.4268292682926829,0.4270833333333333,0.9493333333333333,0.02561797752808992,0.9381818181818182,0.03541666666666665
43,VGG11_18,0.5133333333333333,0.5125,0.5142857142857142,0.4857142857142857,0.4875,0.5280898876404494,0.5416666666666666,0.5121951219512195,0.4878048780487805,0.4583333333333333,0.967391304347826,0.016853932584269704,0.9461538461538461,0.029166666666666674
44,VGG11_19,0.6133333333333333,0.6375,0.5857142857142857,0.4142857142857143,0.3625,0.6067415730337079,0.5729166666666666,0.6463414634146342,0.35365853658536583,0.4270833333333333,0.8848314606741573,0.06142322097378278,0.8536585365853657,0.06458333333333333
45,VGG11_20,0.6066666666666667,0.7,0.5,0.5,0.3,0.5955056179775281,0.65625,0.524390243902439,0.47560975609756095,0.34375,0.9445610569206074,0.03363295880149819,0.9375000000000001,0.043749999999999956
46,VGG11_21,0.6066666666666667,0.6125,0.6,0.4,0.3875,0.550561797752809,0.5104166666666666,0.5975609756097561,0.4024390243902439,0.4895833333333333,0.8974171895520211,0.05265917602996251,0.8333333333333333,0.10208333333333341
47,VGG11_22,0.6133333333333333,0.6375,0.5857142857142857,0.4142857142857143,0.3625,0.5955056179775281,0.6041666666666666,0.5853658536585366,0.4146341463414634,0.3958333333333333,0.9691011235955057,0.016479400749063622,0.9477124183006536,0.033333333333333326
48,VGG11_23,0.6,0.6625,0.5285714285714286,0.4714285714285714,0.3375,0.5224719101123596,0.5729166666666666,0.4634146341463415,0.5365853658536586,0.4270833333333333,0.9700810033969166,0.01715355805243446,0.8647798742138364,0.08958333333333335
49,VGG11_24,0.6533333333333333,0.6375,0.6714285714285714,0.32857142857142857,0.3625,0.5561797752808989,0.5729166666666666,0.5365853658536586,0.4634146341463415,0.4270833333333333,0.9442293906810035,0.02913857677902626,0.7090225563909774,0.13484320557491292
50,ResNet18ImageNet_0,0.58,0.4875,0.6857142857142857,0.3142857142857143,0.5125,0.5561797752808989,0.5833333333333334,0.524390243902439,0.47560975609756095,0.4166666666666667,0.7619649122807018,0.12704119850187262,0.6608058608058608,0.16132404181184667
51,ResNet18ImageNet_1,0.6266666666666667,0.6375,0.6142857142857143,0.38571428571428573,0.3625,0.5561797752808989,0.6354166666666666,0.4634146341463415,0.5365853658536586,0.3645833333333333,0.8815238095238096,0.06988764044943818,0.7188311688311688,0.15087108013937284
52,ResNet18ImageNet_2,0.6133333333333333,0.5625,0.6714285714285714,0.32857142857142857,0.4375,0.5674157303370787,0.6041666666666666,0.524390243902439,0.47560975609756095,0.3958333333333333,0.8318900343642611,0.09161048689138579,0.6908424908424908,0.14703832752613238
53,ResNet18ImageNet_3,0.5666666666666667,0.5875,0.5428571428571428,0.45714285714285713,0.4125,0.5393258426966292,0.65625,0.4024390243902439,0.5975609756097561,0.34375,0.8370238095238095,0.10254681647940078,0.7650145772594752,0.14041811846689894
54,ResNet18ImageNet_4,0.5933333333333334,0.5875,0.6,0.4,0.4125,0.5393258426966292,0.5833333333333334,0.4878048780487805,0.5121951219512195,0.4166666666666667,0.9081632653061225,0.050561797752809,0.780952380952381,0.1121951219512195
55,ResNet18ImageNet_5,0.5933333333333334,0.6,0.5857142857142857,0.4142857142857143,0.4,0.550561797752809,0.5625,0.5365853658536586,0.4634146341463415,0.4375,0.9931884057971013,0.003520599250936396,0.8939849624060151,0.049128919860627174
56,ResNet18ImageNet_6,0.5866666666666667,0.475,0.7142857142857143,0.2857142857142857,0.525,0.5617977528089888,0.53125,0.5975609756097561,0.4024390243902439,0.46875,0.8193650793650794,0.08524344569288389,0.7099567099567099,0.11672473867595823
57,ResNet18ImageNet_7,0.58,0.55,0.6142857142857143,0.38571428571428573,0.45,0.5280898876404494,0.5,0.5609756097560976,0.43902439024390244,0.5,0.9969931951258111,0.0014232209737827795,0.8785714285714286,0.05331010452961671
58,ResNet18ImageNet_8,0.58,0.575,0.5857142857142857,0.4142857142857143,0.425,0.550561797752809,0.6354166666666666,0.45121951219512196,0.5487804878048781,0.3645833333333333,0.839622641509434,0.0955056179775281,0.7549206349206349,0.13449477351916378
59,ResNet18ImageNet_9,0.58,0.6,0.5571428571428572,0.44285714285714284,0.4,0.5730337078651685,0.59375,0.5487804878048781,0.45121951219512196,0.40625,0.9973049645390071,0.0014232209737827795,0.9814671814671814,0.008362369337979125
60,ResNet18ImageNet_10,0.62,0.6125,0.6285714285714286,0.37142857142857144,0.3875,0.5168539325842697,0.5625,0.4634146341463415,0.5365853658536586,0.4375,0.9081632653061225,0.050561797752809,0.6922077922077922,0.16515679442508713
61,ResNet18ImageNet_11,0.5866666666666667,0.55,0.6285714285714286,0.37142857142857144,0.45,0.5337078651685393,0.5,0.573170731707317,0.4268292682926829,0.5,0.9991974317817014,0.00037453183520602673,0.8702040816326531,0.055400696864111476
62,ResNet18ImageNet_12,0.56,0.5125,0.6142857142857143,0.38571428571428573,0.4875,0.5674157303370787,0.625,0.5,0.5,0.375,0.7989438943894388,0.1140823970037454,0.7714285714285715,0.11428571428571427
63,ResNet18ImageNet_13,0.6066666666666667,0.6125,0.6,0.4,0.3875,0.550561797752809,0.59375,0.5,0.5,0.40625,0.9323809523809523,0.03722846441947569,0.8,0.09999999999999998
64,ResNet18ImageNet_14,0.5466666666666666,0.5,0.6,0.4,0.5,0.5280898876404494,0.5729166666666666,0.47560975609756095,0.524390243902439,0.4270833333333333,0.8234013605442176,0.09722846441947569,0.7627906976744186,0.12439024390243902
65,ResNet18ImageNet_15,0.6266666666666667,0.5875,0.6714285714285714,0.32857142857142857,0.4125,0.5674157303370787,0.5729166666666666,0.5609756097560976,0.43902439024390244,0.4270833333333333,0.9128205128205128,0.04456928838951313,0.7484126984126984,0.11045296167247387
66,ResNet18ImageNet_16,0.6,0.65,0.5428571428571428,0.45714285714285713,0.35,0.5561797752808989,0.5520833333333334,0.5609756097560976,0.43902439024390244,0.4479166666666667,0.8928571428571428,0.06000000000000005,0.8493589743589743,0.09791666666666665
67,ResNet18ImageNet_17,0.5333333333333333,0.525,0.5428571428571428,0.45714285714285713,0.475,0.6292134831460674,0.625,0.6341463414634146,0.36585365853658536,0.375,0.9757037037037037,0.012284644194756555,0.8003048780487805,0.09999999999999998
68,ResNet18ImageNet_18,0.5866666666666667,0.5125,0.6714285714285714,0.32857142857142857,0.4875,0.5561797752808989,0.53125,0.5853658536585366,0.4146341463414634,0.46875,0.8934901960784314,0.050861423220973756,0.792436974789916,0.08606271777003482
69,ResNet18ImageNet_19,0.6266666666666667,0.675,0.5714285714285714,0.42857142857142855,0.325,0.5730337078651685,0.5729166666666666,0.573170731707317,0.4268292682926829,0.4270833333333333,0.9028892455858747,0.05438202247191015,0.8487654320987653,0.10208333333333341
70,ResNet18ImageNet_20,0.58,0.6125,0.5428571428571428,0.45714285714285713,0.3875,0.5561797752808989,0.625,0.47560975609756095,0.524390243902439,0.375,0.9332038834951457,0.03865168539325836,0.8717607973421926,0.06724738675958192
71,ResNet18ImageNet_21,0.6066666666666667,0.5875,0.6285714285714286,0.37142857142857144,0.4125,0.5898876404494382,0.6145833333333334,0.5609756097560976,0.43902439024390244,0.3854166666666667,0.9118596491228071,0.047041198501872605,0.846031746031746,0.067595818815331
72,ResNet18ImageNet_22,0.62,0.7125,0.5142857142857142,0.4857142857142857,0.2875,0.5617977528089888,0.5729166666666666,0.5487804878048781,0.45121951219512196,0.4270833333333333,0.8519570317323126,0.08981273408239698,0.8040935672514619,0.1395833333333334
73,ResNet18ImageNet_23,0.6,0.625,0.5714285714285714,0.42857142857142855,0.375,0.5561797752808989,0.5729166666666666,0.5365853658536586,0.4634146341463415,0.4270833333333333,0.9796348314606743,0.01086142322097372,0.9166666666666666,0.05208333333333337
74,ResNet18ImageNet_24,0.5733333333333334,0.6375,0.5,0.5,0.3625,0.5955056179775281,0.7083333333333334,0.4634146341463415,0.5365853658536586,0.2916666666666667,0.9111904761904762,0.05588014981273404,0.8999999999999999,0.07083333333333341
