,Model,Acc Male,TPR Male,TNR Male,FPR Male,FNR Male,Acc Not Male,TPR Not Male,TNR Not Male,FPR Not Male,FNR Not Male,DPR,DPD,EOR,EOD
0,ConvNet_0,0.9171743357096566,0.5611111111111111,0.9256801592568016,0.0743198407431984,0.4388888888888889,0.8425736915162897,0.905241935483871,0.8266612061021809,0.1733387938978192,0.09475806451612903,0.26645233787346123,0.23587088213066953,0.42875480480733535,0.3441308243727599
1,ConvNet_1,0.9167854828256643,0.55,0.9255474452554745,0.07445255474452554,0.45,0.8380011431370948,0.9028225806451613,0.8215419268966929,0.17845807310330705,0.09717741935483871,0.2631094624449036,0.23959321634232006,0.4171991406711308,0.35282258064516125
2,ConvNet_2,0.9320803629293584,0.49444444444444446,0.9425348374253484,0.057465162574651625,0.5055555555555555,0.8540867151139054,0.9084677419354839,0.8402784887887785,0.15972151121122147,0.09153225806451613,0.21731889352844982,0.24368115121874917,0.35978348901706564,0.4140232974910394
3,ConvNet_3,0.9161373946856772,0.5444444444444444,0.9250165892501659,0.07498341074983411,0.45555555555555555,0.8406956805748347,0.9120967741935484,0.8225657827377906,0.17743421726220948,0.08790322580645162,0.263445346865046,0.2402658479034981,0.4225983686056721,0.367652329749104
4,ConvNet_4,0.9362281270252755,0.4888888888888889,0.946914399469144,0.05308560053085601,0.5111111111111111,0.84739119784437,0.9008064516129032,0.8338281969898639,0.16617180301013618,0.09919354838709678,0.20084636244778709,0.25168086715431415,0.3194621444145845,0.4119175627240143
5,ConvNet_5,0.8885288399222294,0.5833333333333334,0.8958195089581951,0.1041804910418049,0.4166666666666667,0.8103208949130399,0.925,0.7812020067574486,0.21879799324255145,0.075,0.3188467863179833,0.246443201586104,0.4761492073024373,0.3416666666666667
6,ConvNet_6,0.9091380427738173,0.5833333333333334,0.9169210351692103,0.08307896483078965,0.4166666666666667,0.8211806973136279,0.9004032258064516,0.8010648100747415,0.19893518992525852,0.09959677419354838,0.2778757669663764,0.24623097878242933,0.4176182447258479,0.31706989247311823
7,ConvNet_7,0.9109526895657809,0.5888888888888889,0.9186463171864632,0.08135368281353683,0.4111111111111111,0.8283661304809341,0.9024193548387097,0.8095628135558514,0.19043718644414867,0.09758064516129032,0.2785163684164414,0.24141748364737675,0.42719431184936246,0.3135304659498208
8,ConvNet_8,0.8907323395981853,0.6388888888888888,0.8967485069674851,0.10325149303251493,0.3611111111111111,0.8239568874009962,0.9221774193548387,0.7990170983925463,0.20098290160745366,0.07782258064516129,0.33354644504593806,0.23127521911935683,0.5137327215733946,0.2832885304659498
9,ConvNet_9,0.8758263123784835,0.6666666666666666,0.8808228268082283,0.11917717319177173,0.3333333333333333,0.8089327998693557,0.9298387096774193,0.7782328248182656,0.22176717518173442,0.07016129032258064,0.3613597445674794,0.23319990383720357,0.5373977149418442,0.2631720430107527
10,ConvNet_10,0.884251458198315,0.6166666666666667,0.8906436629064366,0.10935633709356338,0.38333333333333336,0.8089327998693557,0.9141129032258064,0.7822258625985461,0.21777413740145388,0.08588709677419355,0.3377888778399579,0.2375892602899669,0.5021548398649899,0.2974462365591397
