,Model,Acc Male,Acc Not Male
0,ConvNet_0,0.3036697247706422,0.28555555555555556
1,ConvNet_1,0.23669724770642203,0.2222222222222222
2,ConvNet_2,0.24770642201834864,0.21777777777777776
3,ConvNet_3,0.28990825688073396,0.26222222222222225
4,ConvNet_4,0.3018348623853211,0.28555555555555556
5,ConvNet_5,0.3504587155963303,0.33111111111111113
6,ConvNet_6,0.3403669724770642,0.31
7,ConvNet_7,0.38623853211009174,0.3422222222222222
8,ConvNet_8,0.336697247706422,0.3233333333333333
9,ConvNet_9,0.3412844036697248,0.3111111111111111
10,ConvNet_10,0.37339449541284403,0.38222222222222224
11,ConvNet_11,0.3284403669724771,0.35
12,ConvNet_12,0.3220183486238532,0.3477777777777778
13,ConvNet_13,0.30825688073394497,0.3011111111111111
14,ConvNet_14,0.344954128440367,0.33666666666666667
15,ConvNet_15,0.3403669724770642,0.30777777777777776
16,ConvNet_16,0.363302752293578,0.3244444444444444
17,ConvNet_17,0.41559633027522935,0.3688888888888889
18,ConvNet_18,0.3944954128440367,0.35444444444444445
19,ConvNet_19,0.3467889908256881,0.3188888888888889
20,ConvNet_20,0.555045871559633,0.5011111111111111
21,ConvNet_21,0.5678899082568807,0.5033333333333333
22,ConvNet_22,0.5458715596330275,0.49333333333333335
23,ConvNet_23,0.5339449541284403,0.48444444444444446
24,ConvNet_24,0.5541284403669725,0.5055555555555555
25,VGG11_0,0.3412844036697248,0.33444444444444443
26,VGG11_1,0.3944954128440367,0.3977777777777778
27,VGG11_2,0.381651376146789,0.37555555555555553
28,VGG11_3,0.40458715596330275,0.38666666666666666
29,VGG11_4,0.3211009174311927,0.31777777777777777
30,VGG11_5,0.5146788990825688,0.5188888888888888
31,VGG11_6,0.43211009174311926,0.3788888888888889
32,VGG11_7,0.41559633027522935,0.4077777777777778
33,VGG11_8,0.30275229357798167,0.32555555555555554
34,VGG11_9,0.45321100917431195,0.41888888888888887
35,VGG11_10,0.3513761467889908,0.37
36,VGG11_11,0.41009174311926605,0.4177777777777778
37,VGG11_12,0.2963302752293578,0.2822222222222222
38,VGG11_13,0.3128440366972477,0.29444444444444445
39,VGG11_14,0.41009174311926605,0.42444444444444446
40,VGG11_15,0.2908256880733945,0.3011111111111111
41,VGG11_16,0.2963302752293578,0.27555555555555555
42,VGG11_17,0.3055045871559633,0.2777777777777778
43,VGG11_18,0.37706422018348623,0.37444444444444447
44,VGG11_19,0.3504587155963303,0.31666666666666665
45,VGG11_20,0.47339449541284406,0.46111111111111114
46,VGG11_21,0.5284403669724771,0.5266666666666666
47,VGG11_22,0.4559633027522936,0.41555555555555557
48,VGG11_23,0.45504587155963305,0.4688888888888889
49,VGG11_24,0.4614678899082569,0.4633333333333333
50,ResNet18ImageNet_0,0.3137614678899083,0.2922222222222222
51,ResNet18ImageNet_1,0.3403669724770642,0.3522222222222222
52,ResNet18ImageNet_2,0.41192660550458715,0.3988888888888889
53,ResNet18ImageNet_3,0.3660550458715596,0.3511111111111111
54,ResNet18ImageNet_4,0.39541284403669724,0.4122222222222222
55,ResNet18ImageNet_5,0.39357798165137614,0.34444444444444444
56,ResNet18ImageNet_6,0.38440366972477064,0.37444444444444447
57,ResNet18ImageNet_7,0.41100917431192663,0.3877777777777778
58,ResNet18ImageNet_8,0.3477064220183486,0.30666666666666664
59,ResNet18ImageNet_9,0.3256880733944954,0.34444444444444444
60,ResNet18ImageNet_10,0.23119266055045873,0.24
61,ResNet18ImageNet_11,0.3871559633027523,0.38666666666666666
62,ResNet18ImageNet_12,0.3422018348623853,0.31666666666666665
63,ResNet18ImageNet_13,0.3036697247706422,0.3
64,ResNet18ImageNet_14,0.29541284403669726,0.29555555555555557
65,ResNet18ImageNet_15,0.23119266055045873,0.2411111111111111
66,ResNet18ImageNet_16,0.3697247706422018,0.33444444444444443
67,ResNet18ImageNet_17,0.37339449541284403,0.4022222222222222
68,ResNet18ImageNet_18,0.3220183486238532,0.3477777777777778
69,ResNet18ImageNet_19,0.3477064220183486,0.3333333333333333
70,ResNet18ImageNet_20,0.37522935779816513,0.37555555555555553
71,ResNet18ImageNet_21,0.336697247706422,0.33111111111111113
72,ResNet18ImageNet_22,0.44128440366972477,0.3888888888888889
73,ResNet18ImageNet_23,0.43944954128440367,0.4255555555555556
74,ResNet18ImageNet_24,0.3834862385321101,0.35888888888888887
