,Model,Acc Red,Acc Blue
0,ConvNet_0,0.9615,0.975
1,ConvNet_1,0.966,0.975375
2,ConvNet_2,0.963,0.97725
3,ConvNet_3,0.966,0.97375
4,ConvNet_4,0.965,0.9745
5,ConvNet_5,0.9655,0.97775
6,ConvNet_6,0.9625,0.977375
7,ConvNet_7,0.9625,0.976125
8,ConvNet_8,0.9655,0.979375
9,ConvNet_9,0.964,0.979375
10,ConvNet_10,0.9665,0.9765
11,ConvNet_11,0.967,0.97775
12,ConvNet_12,0.964,0.976
13,ConvNet_13,0.9645,0.978125
14,ConvNet_14,0.9675,0.978875
15,ConvNet_15,0.9685,0.977
16,ConvNet_16,0.964,0.976625
17,ConvNet_17,0.964,0.977875
18,ConvNet_18,0.963,0.977375
19,ConvNet_19,0.963,0.976375
20,ConvNet_20,0.959,0.976375
21,ConvNet_21,0.9625,0.975625
22,ConvNet_22,0.963,0.976125
23,ConvNet_23,0.9655,0.9775
24,ConvNet_24,0.963,0.976875
25,LeNet_0,0.933,0.948125
26,LeNet_1,0.9505,0.949875
27,LeNet_2,0.9295,0.937875
28,LeNet_3,0.938,0.950625
29,LeNet_4,0.9485,0.947125
30,LeNet_5,0.932,0.948375
31,LeNet_6,0.939,0.94575
32,LeNet_7,0.93,0.95125
33,LeNet_8,0.9475,0.9585
34,LeNet_9,0.948,0.948125
35,LeNet_10,0.955,0.9555
36,LeNet_11,0.953,0.9525
37,LeNet_12,0.9455,0.956
38,LeNet_13,0.9365,0.952875
39,LeNet_14,0.9405,0.9505
40,LeNet_15,0.9355,0.94725
41,LeNet_16,0.948,0.949875
42,LeNet_17,0.945,0.948125
43,LeNet_18,0.9395,0.94875
44,LeNet_19,0.9545,0.953375
45,LeNet_20,0.936,0.953
46,LeNet_21,0.9285,0.95325
47,LeNet_22,0.936,0.942875
48,LeNet_23,0.9415,0.949
49,LeNet_24,0.9495,0.953875
50,AlexNet_0,0.9565,0.952
51,AlexNet_1,0.9455,0.947875
52,AlexNet_2,0.9505,0.949125
53,AlexNet_3,0.9525,0.94775
54,AlexNet_4,0.955,0.9535
55,AlexNet_5,0.9455,0.946125
56,AlexNet_6,0.946,0.948875
57,AlexNet_7,0.948,0.951875
58,AlexNet_8,0.949,0.95525
59,AlexNet_9,0.9475,0.949125
60,AlexNet_10,0.952,0.95175
61,AlexNet_11,0.9465,0.947875
62,AlexNet_12,0.9495,0.945
63,AlexNet_13,0.942,0.94725
64,AlexNet_14,0.932,0.941875
65,AlexNet_15,0.9535,0.9535
66,AlexNet_16,0.952,0.951625
67,AlexNet_17,0.953,0.954125
68,AlexNet_18,0.9445,0.954375
69,AlexNet_19,0.95,0.946875
70,AlexNet_20,0.943,0.949625
71,AlexNet_21,0.947,0.950125
72,AlexNet_22,0.9505,0.950375
73,AlexNet_23,0.9475,0.950125
74,AlexNet_24,0.946,0.951875
75,ResNet18_0,0.9715,0.978625
76,ResNet18_1,0.9645,0.976
77,ResNet18_2,0.97,0.9785
78,ResNet18_3,0.967,0.977
79,ResNet18_4,0.97,0.975
80,ResNet18_5,0.971,0.977
81,ResNet18_6,0.9655,0.976125
82,ResNet18_7,0.97,0.97675
83,ResNet18_8,0.9715,0.978375
84,ResNet18_9,0.9725,0.976875
85,ResNet18_10,0.967,0.977875
86,ResNet18_11,0.9705,0.97675
87,ResNet18_12,0.971,0.974
88,ResNet18_13,0.969,0.978125
89,ResNet18_14,0.971,0.976875
90,ResNet18_15,0.9695,0.977875
91,ResNet18_16,0.966,0.976
92,ResNet18_17,0.966,0.978
93,ResNet18_18,0.9645,0.9775
94,ResNet18_19,0.966,0.978
95,ResNet18_20,0.9665,0.978875
96,ResNet18_21,0.97,0.977375
97,ResNet18_22,0.9645,0.974125
98,ResNet18_23,0.9715,0.97875
99,ResNet18_24,0.971,0.979375
