,Model,Acc Male,TPR Male,TNR Male,FPR Male,FNR Male,Acc Not Male,TPR Not Male,TNR Not Male,FPR Not Male,FNR Not Male,DPR,DPD,EOR,EOD
0,ConvNet_0,0.7133333333333334,0.6625,0.7714285714285715,0.22857142857142856,0.3375,0.5842696629213483,0.6145833333333334,0.5487804878048781,0.45121951219512196,0.3854166666666667,0.8529166666666668,0.07932584269662918,0.5065637065637065,0.2226480836236934
1,ConvNet_1,0.7066666666666667,0.6875,0.7285714285714285,0.2714285714285714,0.3125,0.651685393258427,0.71875,0.573170731707317,0.4268292682926829,0.28125,0.8443589743589744,0.09093632958801495,0.6359183673469387,0.1554006968641115
2,ConvNet_2,0.6933333333333334,0.625,0.7714285714285715,0.22857142857142856,0.375,0.6235955056179775,0.6354166666666666,0.6097560975609756,0.3902439024390244,0.3645833333333333,0.8421505376344085,0.0824719101123596,0.5857142857142856,0.16167247386759584
3,ConvNet_3,0.72,0.6625,0.7857142857142857,0.21428571428571427,0.3375,0.6404494382022472,0.6875,0.5853658536585366,0.4146341463414634,0.3125,0.8069333333333333,0.1084644194756555,0.5168067226890757,0.20034843205574912
4,ConvNet_4,0.6866666666666666,0.7,0.6714285714285714,0.32857142857142857,0.3,0.601123595505618,0.7291666666666666,0.45121951219512196,0.5487804878048781,0.2708333333333333,0.8151884057971014,0.11940074906367049,0.5987301587301587,0.22020905923344952
5,ConvNet_5,0.6866666666666666,0.7,0.6714285714285714,0.32857142857142857,0.3,0.6348314606741573,0.71875,0.5365853658536586,0.4634146341463415,0.28125,0.8761370716510902,0.07445692883895139,0.7090225563909774,0.13484320557491292
6,ConvNet_6,0.6266666666666667,0.65,0.6,0.4,0.35,0.5786516853932584,0.6458333333333334,0.5,0.5,0.3541666666666667,0.9216828478964402,0.04531835205992507,0.8,0.09999999999999998
7,ConvNet_7,0.6466666666666666,0.6375,0.6571428571428571,0.34285714285714286,0.3625,0.6404494382022472,0.7291666666666666,0.5365853658536586,0.4634146341463415,0.2708333333333333,0.8240740740740741,0.1067415730337079,0.7398496240601503,0.12055749128919863
8,ConvNet_8,0.64,0.675,0.6,0.4,0.325,0.6404494382022472,0.7708333333333334,0.4878048780487805,0.5121951219512195,0.22916666666666666,0.8388505747126436,0.10501872659176037,0.780952380952381,0.1121951219512195
9,ConvNet_9,0.6533333333333333,0.6625,0.6428571428571429,0.35714285714285715,0.3375,0.6573033707865169,0.7395833333333334,0.5609756097560976,0.43902439024390244,0.2604166666666667,0.8650467289719627,0.08112359550561798,0.8134920634920635,0.08188153310104529
