,Model,Acc Male,TPR Male,TNR Male,FPR Male,FNR Male,Acc Not Male,TPR Not Male,TNR Not Male,FPR Not Male,FNR Not Male,DPR,DPD,EOR,EOD
0,ConvNet_0,0.9049902786779002,0.6222222222222222,0.9117451891174518,0.08825481088254811,0.37777777777777777,0.8607005797338123,0.9399193548387097,0.8405856455411078,0.15941435445889218,0.06008064516129032,0.3172404447004793,0.2167526048015462,0.5536189710275192,0.31769713261648747
1,ConvNet_1,0.9004536616979909,0.6111111111111112,0.9073656270736563,0.09263437292634373,0.3888888888888889,0.8525353147709643,0.9419354838709677,0.8298351592095833,0.17016484079041672,0.05806451612903226,0.32082068253828794,0.22171624979275945,0.5443802168300838,0.33082437275985654
2,ConvNet_2,0.9014906027219702,0.6222222222222222,0.9081619110816191,0.09183808891838088,0.37777777777777777,0.8457581448518005,0.9403225806451613,0.8217466980649124,0.17825330193508754,0.05967741935483871,0.31335413219438696,0.22835866902688512,0.51521115133017,0.31810035842293904
3,ConvNet_3,0.9051198963058976,0.5944444444444444,0.9125414731254148,0.08745852687458527,0.40555555555555556,0.8617620641789826,0.9306451612903226,0.8442715265690591,0.15572847343094093,0.06935483870967742,0.3175683340309576,0.21336089238143738,0.5616090940066235,0.33620071684587816
4,ConvNet_4,0.9042125729099157,0.6388888888888888,0.9105507631055076,0.08944923689449237,0.3611111111111111,0.8440434392096023,0.9395161290322581,0.8198013719668271,0.18019862803317294,0.06048387096774194,0.3062298225125854,0.2316910284905304,0.49639244133437893,0.3006272401433693
5,ConvNet_5,0.9112119248217757,0.6388888888888888,0.9177173191771731,0.0822826808228268,0.3611111111111111,0.8546582836613048,0.930241935483871,0.83546636633562,0.16453363366438006,0.06975806451612904,0.2980988531456118,0.22431951406777786,0.5000964179194458,0.2913530465949822
6,ConvNet_6,0.9140635126377187,0.6277777777777778,0.9209024552090246,0.07909754479097544,0.37222222222222223,0.857924389646444,0.9314516129032258,0.839254632947681,0.16074536705231904,0.06854838709677419,0.2900736615643645,0.22491338230834212,0.49206733756271154,0.303673835125448
7,ConvNet_7,0.9143227478937136,0.6277777777777778,0.9211678832116789,0.07883211678832117,0.37222222222222223,0.8619253694782396,0.9310483870967742,0.8443739121531688,0.15562608784683116,0.06895161290322581,0.2931081098693042,0.22100833243328444,0.5065482135996927,0.3032706093189964
8,ConvNet_8,0.9106934543097861,0.6111111111111112,0.9178500331785003,0.08214996682149966,0.3888888888888889,0.8642932963174655,0.9350806451612903,0.8463192382512542,0.1536807617487458,0.06491935483870968,0.3029409289715757,0.21742187077068514,0.5345494509963938,0.32396953405017914
9,ConvNet_9,0.9004536616979909,0.6611111111111111,0.906171201061712,0.093828798938288,0.3388888888888889,0.85384175716502,0.9383064516129033,0.8323947988123273,0.16760520118767278,0.06169354838709677,0.3307807205876871,0.21660694240143774,0.5598203294015021,0.2771953405017922
10,ConvNet_10,0.8973428386260531,0.6666666666666666,0.9028533510285335,0.09714664897146649,0.3333333333333333,0.8615171062300971,0.9274193548387096,0.8447834544896079,0.15521654551039213,0.07258064516129033,0.3544255452703832,0.20115229192849005,0.6258781797521855,0.260752688172043
11,ConvNet_11,0.8830848995463383,0.7111111111111111,0.887193098871931,0.11280690112806901,0.28888888888888886,0.8572711684494162,0.9342741935483871,0.8377188491860346,0.16228115081396538,0.0657258064516129,0.39787383241988666,0.19184259866886602,0.6951324942068455,0.223163082437276
12,ConvNet_12,0.8900842514581984,0.7277777777777777,0.8939615129396151,0.10603848706038486,0.2722222222222222,0.8629868539234098,0.9326612903225806,0.8452953824101567,0.15470461758984336,0.06733870967741935,0.3860635966993603,0.19169533814172013,0.6854254818787419,0.20488351254480286
13,ConvNet_13,0.8922877511341543,0.6388888888888888,0.8983410749834108,0.10165892501658925,0.3611111111111111,0.8591491793908712,0.9237903225806452,0.8427357428074127,0.15726425719258727,0.07620967741935483,0.3654359201369808,0.19829155986247854,0.6464210420813981,0.28490143369175636
14,ConvNet_14,0.8823071937783539,0.7055555555555556,0.8865295288652952,0.11347047113470471,0.29444444444444445,0.8584959581938434,0.9338709677419355,0.8393570185317907,0.16064298146820927,0.06612903225806452,0.401249267043175,0.18993603311319224,0.7063518748073047,0.22831541218637985
