,Model,Acc Male,Acc Not Male
0,ConvNet_0,0.4798165137614679,0.4488888888888889
1,ConvNet_1,0.46972477064220186,0.45111111111111113
2,ConvNet_2,0.4926605504587156,0.4777777777777778
3,ConvNet_3,0.5128440366972477,0.48777777777777775
4,ConvNet_4,0.481651376146789,0.47
5,ConvNet_5,0.4743119266055046,0.48777777777777775
6,ConvNet_6,0.48990825688073397,0.4866666666666667
7,ConvNet_7,0.4926605504587156,0.5077777777777778
8,ConvNet_8,0.5036697247706422,0.4988888888888889
9,ConvNet_9,0.45871559633027525,0.4677777777777778
10,ConvNet_10,0.4954128440366973,0.5066666666666667
11,ConvNet_11,0.5110091743119266,0.5222222222222223
12,ConvNet_12,0.5,0.49333333333333335
13,ConvNet_13,0.48073394495412847,0.4766666666666667
14,ConvNet_14,0.5128440366972477,0.5077777777777778
15,ConvNet_15,0.5403669724770642,0.49444444444444446
16,ConvNet_16,0.5440366972477064,0.49777777777777776
17,ConvNet_17,0.5220183486238532,0.5077777777777778
18,ConvNet_18,0.5431192660550459,0.5211111111111111
19,ConvNet_19,0.5220183486238532,0.52
20,ConvNet_20,0.42844036697247706,0.43222222222222223
21,ConvNet_21,0.481651376146789,0.46555555555555556
22,ConvNet_22,0.44587155963302755,0.4311111111111111
23,ConvNet_23,0.463302752293578,0.4622222222222222
24,ConvNet_24,0.4798165137614679,0.45111111111111113
25,VGG11_0,0.5110091743119266,0.5211111111111111
26,VGG11_1,0.5853211009174312,0.5877777777777777
27,VGG11_2,0.45504587155963305,0.5177777777777778
28,VGG11_3,0.5137614678899083,0.5355555555555556
29,VGG11_4,0.42293577981651376,0.4677777777777778
30,VGG11_5,0.4954128440366973,0.5088888888888888
31,VGG11_6,0.5229357798165137,0.5722222222222222
32,VGG11_7,0.4577981651376147,0.5033333333333333
33,VGG11_8,0.5376146788990825,0.5822222222222222
34,VGG11_9,0.4926605504587156,0.5188888888888888
35,VGG11_10,0.4889908256880734,0.5044444444444445
36,VGG11_11,0.43211009174311926,0.4911111111111111
37,VGG11_12,0.5036697247706422,0.52
38,VGG11_13,0.46238532110091746,0.49
39,VGG11_14,0.5256880733944954,0.5277777777777778
40,VGG11_15,0.5394495412844037,0.5611111111111111
41,VGG11_16,0.5688073394495413,0.5744444444444444
42,VGG11_17,0.5165137614678899,0.5388888888888889
43,VGG11_18,0.5302752293577981,0.5211111111111111
44,VGG11_19,0.4036697247706422,0.4222222222222222
45,VGG11_20,0.43027522935779816,0.43
46,VGG11_21,0.4990825688073395,0.52
47,VGG11_22,0.4743119266055046,0.49333333333333335
48,VGG11_23,0.42293577981651376,0.47888888888888886
49,VGG11_24,0.5009174311926605,0.5222222222222223
50,ResNet18ImageNet_0,0.5605504587155963,0.5922222222222222
51,ResNet18ImageNet_1,0.5394495412844037,0.5966666666666667
52,ResNet18ImageNet_2,0.5587155963302752,0.58
53,ResNet18ImageNet_3,0.5192660550458715,0.5577777777777778
54,ResNet18ImageNet_4,0.5522935779816514,0.5644444444444444
55,ResNet18ImageNet_5,0.4954128440366973,0.5622222222222222
56,ResNet18ImageNet_6,0.5321100917431193,0.5611111111111111
57,ResNet18ImageNet_7,0.5009174311926605,0.5733333333333334
58,ResNet18ImageNet_8,0.5137614678899083,0.5555555555555556
59,ResNet18ImageNet_9,0.5082568807339449,0.5466666666666666
60,ResNet18ImageNet_10,0.4908256880733945,0.5166666666666667
61,ResNet18ImageNet_11,0.4981651376146789,0.48444444444444446
62,ResNet18ImageNet_12,0.5073394495412844,0.53
63,ResNet18ImageNet_13,0.5256880733944954,0.5588888888888889
64,ResNet18ImageNet_14,0.4706422018348624,0.4888888888888889
65,ResNet18ImageNet_15,0.5752293577981651,0.6022222222222222
66,ResNet18ImageNet_16,0.5724770642201835,0.6155555555555555
67,ResNet18ImageNet_17,0.5844036697247706,0.5922222222222222
68,ResNet18ImageNet_18,0.5458715596330275,0.6
69,ResNet18ImageNet_19,0.5724770642201835,0.6044444444444445
70,ResNet18ImageNet_20,0.5376146788990825,0.5577777777777778
71,ResNet18ImageNet_21,0.5174311926605505,0.5211111111111111
72,ResNet18ImageNet_22,0.5100917431192661,0.5133333333333333
73,ResNet18ImageNet_23,0.5321100917431193,0.53
74,ResNet18ImageNet_24,0.4834862385321101,0.47555555555555556
