,Model,Acc Red,Acc Blue
0,ConvNet_0,0.954,0.96925
1,ConvNet_1,0.9535,0.969875
2,ConvNet_2,0.9615,0.97125
3,ConvNet_3,0.956,0.971
4,ConvNet_4,0.952,0.9675
5,ConvNet_5,0.9545,0.96975
6,ConvNet_6,0.9535,0.96925
7,ConvNet_7,0.956,0.9725
8,ConvNet_8,0.9545,0.969875
9,ConvNet_9,0.953,0.97275
10,ConvNet_10,0.9625,0.97525
11,ConvNet_11,0.9615,0.973375
12,ConvNet_12,0.9535,0.9725
13,ConvNet_13,0.963,0.974125
14,ConvNet_14,0.958,0.974625
15,ConvNet_15,0.958,0.9695
16,ConvNet_16,0.949,0.968
17,ConvNet_17,0.954,0.9685
18,ConvNet_18,0.952,0.968875
19,ConvNet_19,0.955,0.969
20,ConvNet_20,0.952,0.971125
21,ConvNet_21,0.95,0.968375
22,ConvNet_22,0.9505,0.968875
23,ConvNet_23,0.9555,0.96975
24,ConvNet_24,0.953,0.969375
25,LeNet_0,0.9045,0.94125
26,LeNet_1,0.9315,0.947875
27,LeNet_2,0.9255,0.942625
28,LeNet_3,0.909,0.947375
29,LeNet_4,0.9295,0.947625
30,LeNet_5,0.91,0.95175
31,LeNet_6,0.926,0.949625
32,LeNet_7,0.9305,0.946
33,LeNet_8,0.9265,0.945625
34,LeNet_9,0.9405,0.952875
35,LeNet_10,0.939,0.95075
36,LeNet_11,0.942,0.951375
37,LeNet_12,0.939,0.952625
38,LeNet_13,0.929,0.955125
39,LeNet_14,0.942,0.95
40,LeNet_15,0.933,0.9455
41,LeNet_16,0.9265,0.953375
42,LeNet_17,0.945,0.95325
43,LeNet_18,0.926,0.9375
44,LeNet_19,0.9315,0.9515
45,LeNet_20,0.934,0.94575
46,LeNet_21,0.9515,0.95475
47,LeNet_22,0.937,0.95125
48,LeNet_23,0.9225,0.94375
49,LeNet_24,0.9355,0.946375
50,AlexNet_0,0.92,0.937375
51,AlexNet_1,0.934,0.947375
52,AlexNet_2,0.938,0.94425
53,AlexNet_3,0.939,0.948875
54,AlexNet_4,0.9285,0.94725
55,AlexNet_5,0.9375,0.945375
56,AlexNet_6,0.9415,0.9485
57,AlexNet_7,0.9405,0.95
58,AlexNet_8,0.941,0.946
59,AlexNet_9,0.941,0.9465
60,AlexNet_10,0.9305,0.94475
61,AlexNet_11,0.938,0.95275
62,AlexNet_12,0.9165,0.93625
63,AlexNet_13,0.945,0.953
64,AlexNet_14,0.9435,0.9525
65,AlexNet_15,0.936,0.950375
66,AlexNet_16,0.9345,0.945875
67,AlexNet_17,0.939,0.951625
68,AlexNet_18,0.938,0.943625
69,AlexNet_19,0.9355,0.948
70,AlexNet_20,0.9305,0.94925
71,AlexNet_21,0.938,0.94825
72,AlexNet_22,0.939,0.95325
73,AlexNet_23,0.9335,0.947
74,AlexNet_24,0.933,0.948125
75,ResNet18_0,0.9585,0.971375
76,ResNet18_1,0.9635,0.972375
77,ResNet18_2,0.9555,0.971
78,ResNet18_3,0.9615,0.9715
79,ResNet18_4,0.9605,0.97
80,ResNet18_5,0.9495,0.975625
81,ResNet18_6,0.961,0.974625
82,ResNet18_7,0.96,0.970375
83,ResNet18_8,0.9625,0.974375
84,ResNet18_9,0.9565,0.972625
85,ResNet18_10,0.966,0.974875
86,ResNet18_11,0.9645,0.97625
87,ResNet18_12,0.965,0.976
88,ResNet18_13,0.966,0.976625
89,ResNet18_14,0.961,0.977625
90,ResNet18_15,0.962,0.97325
91,ResNet18_16,0.964,0.9725
92,ResNet18_17,0.965,0.973375
93,ResNet18_18,0.961,0.972875
94,ResNet18_19,0.9585,0.97275
95,ResNet18_20,0.964,0.973875
96,ResNet18_21,0.958,0.974625
97,ResNet18_22,0.953,0.971875
98,ResNet18_23,0.9585,0.97425
99,ResNet18_24,0.958,0.974375
