,Model,Acc Male,TPR Male,TNR Male,FPR Male,FNR Male,Acc Not Male,TPR Not Male,TNR Not Male,FPR Not Male,FNR Not Male,DPR,DPD,EOR,EOD
0,ConvNet_0,0.64,0.525,0.7714285714285715,0.22857142857142856,0.475,0.4943820224719101,0.3958333333333333,0.6097560975609756,0.3902439024390244,0.6041666666666666,0.9832380952380951,0.006591760299625493,0.5857142857142856,0.16167247386759584
1,ConvNet_1,0.6266666666666667,0.625,0.6285714285714286,0.37142857142857144,0.375,0.5337078651685393,0.5729166666666666,0.4878048780487805,0.5121951219512195,0.4270833333333333,0.9297594501718214,0.03827715355805239,0.7251700680272108,0.14076655052264808
2,ConvNet_2,0.6466666666666666,0.525,0.7857142857142857,0.21428571428571427,0.475,0.550561797752809,0.5520833333333334,0.5487804878048781,0.45121951219512196,0.4479166666666667,0.7515555555555555,0.1256179775280899,0.47490347490347484,0.2369337979094077
3,ConvNet_3,0.66,0.575,0.7571428571428571,0.24285714285714285,0.425,0.5224719101123596,0.5104166666666666,0.5365853658536586,0.4634146341463415,0.4895833333333333,0.8593103448275862,0.06876404494382021,0.5240601503759398,0.22055749128919863
4,ConvNet_4,0.5866666666666667,0.475,0.7142857142857143,0.2857142857142857,0.525,0.5674157303370787,0.53125,0.6097560975609756,0.3902439024390244,0.46875,0.8292369477911646,0.07962546816479399,0.7321428571428571,0.1045296167247387
5,ConvNet_5,0.6533333333333333,0.65,0.6571428571428571,0.34285714285714286,0.35,0.5842696629213483,0.65625,0.5,0.5,0.34375,0.8671794871794872,0.07760299625468159,0.6857142857142857,0.15714285714285714
6,ConvNet_6,0.6466666666666666,0.7125,0.5714285714285714,0.42857142857142855,0.2875,0.5617977528089888,0.5729166666666666,0.5487804878048781,0.45121951219512196,0.4270833333333333,0.8911274699728788,0.06314606741573026,0.8040935672514619,0.1395833333333334
7,ConvNet_7,0.6533333333333333,0.6625,0.6428571428571429,0.35714285714285715,0.3375,0.5617977528089888,0.625,0.4878048780487805,0.5121951219512195,0.375,0.907450980392157,0.05303370786516848,0.6972789115646258,0.15505226480836237
8,ConvNet_8,0.6333333333333333,0.625,0.6428571428571429,0.35714285714285715,0.375,0.5449438202247191,0.6041666666666666,0.47560975609756095,0.524390243902439,0.3958333333333333,0.8811881188118811,0.0674157303370787,0.6810631229235881,0.1672473867595819
9,ConvNet_9,0.6333333333333333,0.65,0.6142857142857143,0.38571428571428573,0.35,0.5337078651685393,0.5416666666666666,0.524390243902439,0.47560975609756095,0.4583333333333333,0.9707011804864174,0.015430711610486814,0.8109890109890111,0.10833333333333339
10,ConvNet_10,0.64,0.625,0.6571428571428571,0.34285714285714286,0.375,0.5449438202247191,0.6041666666666666,0.47560975609756095,0.524390243902439,0.3958333333333333,0.8694389438943894,0.07408239700374536,0.6538205980066445,0.18153310104529619
11,ConvNet_11,0.5733333333333334,0.5625,0.5857142857142857,0.4142857142857143,0.4375,0.6067415730337079,0.65625,0.5487804878048781,0.45121951219512196,0.34375,0.8781333333333333,0.06846441947565546,0.8571428571428571,0.09375
12,ConvNet_12,0.6266666666666667,0.6375,0.6142857142857143,0.38571428571428573,0.3625,0.5617977528089888,0.6458333333333334,0.4634146341463415,0.5365853658536586,0.3541666666666667,0.8732075471698113,0.07550561797752808,0.7188311688311688,0.15087108013937284
13,ConvNet_13,0.66,0.65,0.6714285714285714,0.32857142857142857,0.35,0.5,0.59375,0.3902439024390244,0.6097560975609756,0.40625,0.8317757009345794,0.101123595505618,0.5388571428571428,0.281184668989547
14,ConvNet_14,0.6866666666666666,0.6875,0.6857142857142857,0.3142857142857143,0.3125,0.550561797752809,0.6145833333333334,0.47560975609756095,0.524390243902439,0.3854166666666667,0.8958169934640523,0.05970037453183519,0.5993355481727575,0.21010452961672477
