,Model,Acc Male,TPR Male,TNR Male,FPR Male,FNR Male,Acc Not Male,TPR Not Male,TNR Not Male,FPR Not Male,FNR Not Male,DPR,DPD,EOR,EOD
0,ConvNet_0,0.8874918988982502,0.5666666666666667,0.8951559389515594,0.10484406104844061,0.43333333333333335,0.8387360169837511,0.8907258064516129,0.8255349646769735,0.1744650353230265,0.10927419354838709,0.3618668449668163,0.20388789382255634,0.6009459766784739,0.32405913978494627
1,ConvNet_1,0.8902138690861957,0.5888888888888889,0.8974120769741207,0.10258792302587923,0.4111111111111111,0.8478811137421409,0.8766129032258064,0.8405856455411078,0.15941435445889218,0.12338709677419354,0.37398778134121075,0.19071214075413917,0.6435300219613118,0.2877240143369175
2,ConvNet_2,0.8731043421905379,0.6166666666666667,0.8792302587923025,0.12076974120769741,0.38333333333333336,0.8345717318526986,0.9036290322580646,0.8170369611958637,0.1829630388041364,0.09637096774193549,0.4023741457239376,0.19655727451816604,0.6600772593036265,0.28696236559139787
3,ConvNet_3,0.9056383668178872,0.5666666666666667,0.913735899137359,0.08626410086264101,0.43333333333333335,0.8506573038295092,0.8737903225806452,0.8447834544896079,0.15521654551039213,0.12620967741935485,0.32412304418771576,0.20325425232764294,0.5557661432225691,0.3071236559139785
4,ConvNet_4,0.9000648088139988,0.55,0.9084273390842734,0.0915726609157266,0.45,0.8470645872458561,0.8870967741935484,0.8368997645131565,0.16310023548684346,0.11290322580645161,0.3302082715730225,0.2074401915508717,0.5614502066314512,0.33709677419354833
5,ConvNet_5,0.9125081011017498,0.5666666666666667,0.9207697412076974,0.07923025879230258,0.43333333333333335,0.8554748101575896,0.8919354838709678,0.8462168526671444,0.15378314733285553,0.10806451612903226,0.2987645492646451,0.21265521874998844,0.5152076815076028,0.3252688172043011
6,ConvNet_6,0.9157485418016851,0.55,0.9244857332448573,0.07551426675514267,0.45,0.8503306932309953,0.9040322580645161,0.836694993344937,0.16330500665506298,0.09596774193548387,0.27636207875326557,0.22671664112221115,0.4624124410015538,0.3540322580645161
7,ConvNet_7,0.9197666882696046,0.5388888888888889,0.9288652952886529,0.07113470471134704,0.46111111111111114,0.8593941373397567,0.8810483870967742,0.8538957714753763,0.14610422852462374,0.11895161290322581,0.27819527907622676,0.21288141193571236,0.48687642671039,0.3421594982078854
8,ConvNet_8,0.9078418664938431,0.5555555555555556,0.9162574651625747,0.08374253483742534,0.4444444444444444,0.8522087041724504,0.9004032258064516,0.8399713320364492,0.16002866796355072,0.09959677419354838,0.30569262456575025,0.21520297192360677,0.5232970810986138,0.344847670250896
9,ConvNet_9,0.9276733635774466,0.5055555555555555,0.9377571333775714,0.062242866622428665,0.49444444444444446,0.8632318118722953,0.8782258064516129,0.8594245930173031,0.14057540698269683,0.1217741935483871,0.2503405154737203,0.21736268715218576,0.4427720890759365,0.3726702508960573
