,Model,Acc Male,Acc Not Male
0,ConvNet_0,0.40091743119266054,0.4288888888888889
1,ConvNet_1,0.48990825688073397,0.45
2,ConvNet_2,0.4688073394495413,0.47888888888888886
3,ConvNet_3,0.39174311926605504,0.3977777777777778
4,ConvNet_4,0.42477064220183486,0.43555555555555553
5,ConvNet_5,0.2743119266055046,0.24666666666666667
6,ConvNet_6,0.26422018348623855,0.22777777777777777
7,ConvNet_7,0.26880733944954127,0.2644444444444444
8,ConvNet_8,0.3559633027522936,0.3433333333333333
9,ConvNet_9,0.28807339449541286,0.26666666666666666
10,ConvNet_10,0.5036697247706422,0.4722222222222222
11,ConvNet_11,0.47522935779816516,0.47333333333333333
12,ConvNet_12,0.5073394495412844,0.5
13,ConvNet_13,0.48990825688073397,0.4866666666666667
14,ConvNet_14,0.518348623853211,0.5
15,ConvNet_15,0.3724770642201835,0.39222222222222225
16,ConvNet_16,0.46422018348623856,0.47333333333333333
17,ConvNet_17,0.43669724770642204,0.4255555555555556
18,ConvNet_18,0.3275229357798165,0.3388888888888889
19,ConvNet_19,0.3321100917431193,0.3022222222222222
20,ConvNet_20,0.3311926605504587,0.30333333333333334
21,ConvNet_21,0.2853211009174312,0.24555555555555555
22,ConvNet_22,0.23211009174311928,0.20555555555555555
23,ConvNet_23,0.3431192660550459,0.29777777777777775
24,ConvNet_24,0.3247706422018349,0.30444444444444446
25,VGG11_0,0.4917431192660551,0.45444444444444443
26,VGG11_1,0.3678899082568807,0.3433333333333333
27,VGG11_2,0.43669724770642204,0.4022222222222222
28,VGG11_3,0.46238532110091746,0.44
29,VGG11_4,0.5100917431192661,0.4988888888888889
30,VGG11_5,0.3412844036697248,0.3477777777777778
31,VGG11_6,0.26697247706422017,0.26666666666666666
32,VGG11_7,0.2889908256880734,0.26555555555555554
33,VGG11_8,0.3596330275229358,0.37444444444444447
34,VGG11_9,0.38073394495412843,0.37444444444444447
35,VGG11_10,0.44770642201834865,0.45666666666666667
36,VGG11_11,0.48990825688073397,0.49666666666666665
37,VGG11_12,0.4541284403669725,0.46111111111111114
38,VGG11_13,0.3642201834862385,0.41888888888888887
39,VGG11_14,0.45504587155963305,0.4488888888888889
40,VGG11_15,0.43853211009174314,0.4955555555555556
41,VGG11_16,0.355045871559633,0.37
42,VGG11_17,0.3440366972477064,0.3688888888888889
43,VGG11_18,0.46605504587155966,0.47888888888888886
44,VGG11_19,0.3908256880733945,0.4211111111111111
45,VGG11_20,0.26972477064220185,0.29888888888888887
46,VGG11_21,0.3165137614678899,0.31444444444444447
47,VGG11_22,0.37522935779816513,0.3711111111111111
48,VGG11_23,0.37155963302752293,0.40555555555555556
49,VGG11_24,0.43394495412844036,0.4011111111111111
50,ResNet18ImageNet_0,0.42110091743119266,0.4288888888888889
51,ResNet18ImageNet_1,0.4541284403669725,0.47888888888888886
52,ResNet18ImageNet_2,0.48990825688073397,0.4766666666666667
53,ResNet18ImageNet_3,0.46422018348623856,0.4866666666666667
54,ResNet18ImageNet_4,0.42477064220183486,0.4077777777777778
55,ResNet18ImageNet_5,0.41834862385321103,0.44
56,ResNet18ImageNet_6,0.4018348623853211,0.42
57,ResNet18ImageNet_7,0.42018348623853213,0.46444444444444444
58,ResNet18ImageNet_8,0.44220183486238535,0.5077777777777778
59,ResNet18ImageNet_9,0.38990825688073394,0.3988888888888889
60,ResNet18ImageNet_10,0.43027522935779816,0.44666666666666666
61,ResNet18ImageNet_11,0.4577981651376147,0.4577777777777778
62,ResNet18ImageNet_12,0.5256880733944954,0.5566666666666666
63,ResNet18ImageNet_13,0.5055045871559632,0.52
64,ResNet18ImageNet_14,0.4972477064220184,0.5388888888888889
65,ResNet18ImageNet_15,0.39357798165137614,0.4122222222222222
66,ResNet18ImageNet_16,0.4871559633027523,0.5577777777777778
67,ResNet18ImageNet_17,0.44220183486238535,0.4622222222222222
68,ResNet18ImageNet_18,0.45688073394495415,0.4811111111111111
69,ResNet18ImageNet_19,0.45504587155963305,0.5166666666666667
70,ResNet18ImageNet_20,0.43027522935779816,0.4855555555555556
71,ResNet18ImageNet_21,0.518348623853211,0.5822222222222222
72,ResNet18ImageNet_22,0.5128440366972477,0.5433333333333333
73,ResNet18ImageNet_23,0.481651376146789,0.54
74,ResNet18ImageNet_24,0.4504587155963303,0.4688888888888889
