,Model,Acc Red,Acc Blue
0,ConvNet_0,0.959,0.9755
1,ConvNet_1,0.9625,0.975
2,ConvNet_2,0.9645,0.976125
3,ConvNet_3,0.963,0.977375
4,ConvNet_4,0.9625,0.975875
5,ConvNet_5,0.9615,0.9755
6,ConvNet_6,0.9535,0.975375
7,ConvNet_7,0.959,0.97475
8,ConvNet_8,0.959,0.974625
9,ConvNet_9,0.959,0.976625
10,ConvNet_10,0.9545,0.97675
11,ConvNet_11,0.963,0.977375
12,ConvNet_12,0.959,0.976375
13,ConvNet_13,0.9605,0.977125
14,ConvNet_14,0.9565,0.9765
15,ConvNet_15,0.962,0.976625
16,ConvNet_16,0.958,0.978
17,ConvNet_17,0.964,0.97675
18,ConvNet_18,0.9635,0.97475
19,ConvNet_19,0.9575,0.975625
20,ConvNet_20,0.957,0.97725
21,ConvNet_21,0.957,0.976125
22,ConvNet_22,0.965,0.977625
23,ConvNet_23,0.9615,0.9785
24,ConvNet_24,0.9575,0.977375
25,LeNet_0,0.9205,0.949375
26,LeNet_1,0.9355,0.949875
27,LeNet_2,0.9305,0.951
28,LeNet_3,0.945,0.95425
29,LeNet_4,0.9335,0.949
30,LeNet_5,0.944,0.9515
31,LeNet_6,0.9305,0.949125
32,LeNet_7,0.9215,0.94575
33,LeNet_8,0.9185,0.945375
34,LeNet_9,0.907,0.944375
35,LeNet_10,0.917,0.9445
36,LeNet_11,0.943,0.956625
37,LeNet_12,0.941,0.94675
38,LeNet_13,0.928,0.943375
39,LeNet_14,0.9145,0.950375
40,LeNet_15,0.943,0.952625
41,LeNet_16,0.9405,0.95175
42,LeNet_17,0.9265,0.94925
43,LeNet_18,0.9335,0.9415
44,LeNet_19,0.9305,0.952625
45,LeNet_20,0.934,0.95125
46,LeNet_21,0.9435,0.954375
47,LeNet_22,0.941,0.950125
48,LeNet_23,0.946,0.95625
49,LeNet_24,0.9295,0.947875
50,AlexNet_0,0.9455,0.954375
51,AlexNet_1,0.947,0.958125
52,AlexNet_2,0.9415,0.95225
53,AlexNet_3,0.9415,0.955375
54,AlexNet_4,0.938,0.954125
55,AlexNet_5,0.927,0.94675
56,AlexNet_6,0.9375,0.947
57,AlexNet_7,0.939,0.948125
58,AlexNet_8,0.936,0.947875
59,AlexNet_9,0.9355,0.94825
60,AlexNet_10,0.9325,0.950625
61,AlexNet_11,0.9395,0.953375
62,AlexNet_12,0.9365,0.9565
63,AlexNet_13,0.9395,0.95525
64,AlexNet_14,0.9445,0.955625
65,AlexNet_15,0.9365,0.95375
66,AlexNet_16,0.9375,0.95425
67,AlexNet_17,0.941,0.953625
68,AlexNet_18,0.9435,0.95325
69,AlexNet_19,0.941,0.953125
70,AlexNet_20,0.9365,0.955125
71,AlexNet_21,0.935,0.94975
72,AlexNet_22,0.9335,0.9535
73,AlexNet_23,0.9405,0.953375
74,AlexNet_24,0.9355,0.951875
75,ResNet18_0,0.962,0.97725
76,ResNet18_1,0.969,0.977125
77,ResNet18_2,0.968,0.977375
78,ResNet18_3,0.965,0.976375
79,ResNet18_4,0.9625,0.978875
80,ResNet18_5,0.97,0.974875
81,ResNet18_6,0.968,0.9775
82,ResNet18_7,0.967,0.974375
83,ResNet18_8,0.9665,0.975875
84,ResNet18_9,0.9695,0.9745
85,ResNet18_10,0.968,0.975125
86,ResNet18_11,0.9665,0.976
87,ResNet18_12,0.9635,0.975875
88,ResNet18_13,0.965,0.978125
89,ResNet18_14,0.969,0.979125
90,ResNet18_15,0.9665,0.97775
91,ResNet18_16,0.9665,0.976
92,ResNet18_17,0.9605,0.976375
93,ResNet18_18,0.965,0.976125
94,ResNet18_19,0.966,0.977
95,ResNet18_20,0.9695,0.9785
96,ResNet18_21,0.966,0.97675
97,ResNet18_22,0.9725,0.97675
98,ResNet18_23,0.971,0.9785
99,ResNet18_24,0.9675,0.975875
