,Model,Acc Male,Acc Not Male
0,ConvNet_0,0.7403669724770642,0.7944444444444444
1,ConvNet_1,0.7422018348623853,0.7866666666666666
2,ConvNet_2,0.7467889908256881,0.7966666666666666
3,ConvNet_3,0.7376146788990826,0.7955555555555556
4,ConvNet_4,0.7348623853211009,0.7877777777777778
5,VGG11_0,0.7201834862385321,0.7744444444444445
6,VGG11_1,0.7348623853211009,0.7644444444444445
7,VGG11_2,0.7211009174311926,0.7666666666666667
8,VGG11_3,0.7311926605504587,0.8
9,VGG11_4,0.7229357798165138,0.7855555555555556
10,ResNet18ImageNet_0,0.7137614678899082,0.7733333333333333
11,ResNet18ImageNet_1,0.7229357798165138,0.7611111111111111
12,ResNet18ImageNet_2,0.7064220183486238,0.7533333333333333
13,ResNet18ImageNet_3,0.7055045871559633,0.77
14,ResNet18ImageNet_4,0.7110091743119266,0.7844444444444445
