,Model,Prediction,Target,Male
0,ConvNet_0,0.0,2.0,Not Male
1,ConvNet_0,0.0,2.0,Not Male
2,ConvNet_0,0.0,0.0,Not Male
3,ConvNet_0,0.0,0.0,Male
4,ConvNet_0,0.0,0.0,Not Male
5,ConvNet_0,0.0,0.0,Not Male
6,ConvNet_0,0.0,0.0,Not Male
7,ConvNet_0,0.0,0.0,Male
8,ConvNet_0,0.0,0.0,Male
9,ConvNet_0,0.0,1.0,Male
10,ConvNet_0,0.0,0.0,Male
11,ConvNet_0,0.0,2.0,Male
12,ConvNet_0,0.0,2.0,Male
13,ConvNet_0,2.0,2.0,Male
14,ConvNet_0,0.0,0.0,Not Male
15,ConvNet_0,0.0,0.0,Not Male
16,ConvNet_0,0.0,0.0,Not Male
17,ConvNet_0,0.0,0.0,Not Male
18,ConvNet_0,0.0,0.0,Not Male
19,ConvNet_0,0.0,0.0,Not Male
20,ConvNet_0,0.0,0.0,Not Male
21,ConvNet_0,0.0,0.0,Male
22,ConvNet_0,0.0,0.0,Male
23,ConvNet_0,0.0,2.0,Not Male
24,ConvNet_0,0.0,2.0,Not Male
25,ConvNet_0,0.0,0.0,Male
26,ConvNet_0,3.0,3.0,Not Male
27,ConvNet_0,0.0,1.0,Male
28,ConvNet_0,0.0,1.0,Male
29,ConvNet_0,0.0,0.0,Not Male
30,ConvNet_0,0.0,2.0,Male
31,ConvNet_0,0.0,0.0,Male
32,ConvNet_0,0.0,0.0,Not Male
33,ConvNet_0,1.0,6.0,Male
34,ConvNet_0,2.0,2.0,Not Male
35,ConvNet_0,2.0,2.0,Not Male
36,ConvNet_0,3.0,3.0,Not Male
37,ConvNet_0,0.0,0.0,Male
38,ConvNet_0,0.0,0.0,Not Male
39,ConvNet_0,0.0,1.0,Male
40,ConvNet_0,0.0,0.0,Not Male
41,ConvNet_0,0.0,0.0,Not Male
42,ConvNet_0,0.0,0.0,Not Male
43,ConvNet_0,0.0,0.0,Not Male
44,ConvNet_0,0.0,0.0,Not Male
45,ConvNet_0,0.0,0.0,Male
46,ConvNet_0,0.0,0.0,Male
47,ConvNet_0,0.0,0.0,Male
48,ConvNet_0,0.0,0.0,Male
49,ConvNet_0,3.0,3.0,Male
50,ConvNet_0,3.0,3.0,Male
51,ConvNet_0,0.0,0.0,Male
52,ConvNet_0,4.0,4.0,Male
53,ConvNet_0,6.0,4.0,Male
54,ConvNet_0,0.0,4.0,Male
55,ConvNet_0,0.0,0.0,Male
56,ConvNet_0,0.0,0.0,Male
57,ConvNet_0,1.0,3.0,Male
58,ConvNet_0,2.0,3.0,Male
59,ConvNet_0,0.0,0.0,Male
60,ConvNet_0,1.0,1.0,Not Male
61,ConvNet_0,1.0,1.0,Not Male
62,ConvNet_0,1.0,1.0,Not Male
63,ConvNet_0,1.0,1.0,Not Male
64,ConvNet_0,0.0,0.0,Male
65,ConvNet_0,0.0,0.0,Male
66,ConvNet_0,0.0,0.0,Not Male
67,ConvNet_0,0.0,0.0,Not Male
68,ConvNet_0,1.0,1.0,Not Male
69,ConvNet_0,1.0,1.0,Not Male
70,ConvNet_0,0.0,0.0,Not Male
71,ConvNet_0,0.0,0.0,Not Male
72,ConvNet_0,0.0,0.0,Not Male
73,ConvNet_0,0.0,0.0,Not Male
74,ConvNet_0,0.0,0.0,Not Male
75,ConvNet_0,0.0,0.0,Male
76,ConvNet_0,0.0,0.0,Male
77,ConvNet_0,0.0,0.0,Male
78,ConvNet_0,4.0,1.0,Not Male
79,ConvNet_0,0.0,0.0,Male
80,ConvNet_0,1.0,1.0,Male
81,ConvNet_0,0.0,0.0,Male
82,ConvNet_0,1.0,1.0,Not Male
83,ConvNet_0,2.0,4.0,Male
84,ConvNet_0,0.0,2.0,Male
85,ConvNet_0,2.0,2.0,Male
86,ConvNet_0,0.0,0.0,Not Male
87,ConvNet_0,0.0,0.0,Not Male
88,ConvNet_0,0.0,0.0,Not Male
89,ConvNet_0,0.0,0.0,Not Male
90,ConvNet_0,0.0,0.0,Male
91,ConvNet_0,0.0,0.0,Male
92,ConvNet_0,0.0,0.0,Not Male
93,ConvNet_0,0.0,0.0,Not Male
94,ConvNet_0,0.0,0.0,Not Male
95,ConvNet_0,1.0,4.0,Male
96,ConvNet_0,2.0,2.0,Male
97,ConvNet_0,0.0,0.0,Male
98,ConvNet_0,3.0,3.0,Male
99,ConvNet_0,0.0,1.0,Male
100,ConvNet_0,0.0,1.0,Male
101,ConvNet_0,2.0,2.0,Male
102,ConvNet_0,2.0,2.0,Male
103,ConvNet_0,0.0,0.0,Not Male
104,ConvNet_0,0.0,0.0,Male
105,ConvNet_0,0.0,0.0,Not Male
106,ConvNet_0,2.0,0.0,Not Male
107,ConvNet_0,0.0,0.0,Not Male
108,ConvNet_0,0.0,0.0,Male
109,ConvNet_0,0.0,0.0,Not Male
110,ConvNet_0,0.0,0.0,Male
111,ConvNet_0,0.0,0.0,Not Male
112,ConvNet_0,0.0,0.0,Not Male
113,ConvNet_0,3.0,4.0,Not Male
114,ConvNet_0,3.0,4.0,Not Male
115,ConvNet_0,0.0,0.0,Not Male
116,ConvNet_0,2.0,2.0,Not Male
117,ConvNet_0,0.0,0.0,Male
118,ConvNet_0,5.0,5.0,Male
119,ConvNet_0,0.0,0.0,Not Male
120,ConvNet_0,0.0,0.0,Male
121,ConvNet_0,1.0,2.0,Male
122,ConvNet_0,0.0,2.0,Male
123,ConvNet_0,0.0,4.0,Male
124,ConvNet_0,0.0,0.0,Not Male
125,ConvNet_0,0.0,0.0,Not Male
126,ConvNet_0,0.0,2.0,Male
127,ConvNet_0,0.0,2.0,Male
128,ConvNet_0,0.0,0.0,Male
129,ConvNet_0,0.0,0.0,Not Male
130,ConvNet_0,0.0,0.0,Not Male
131,ConvNet_0,0.0,0.0,Male
132,ConvNet_0,0.0,0.0,Male
133,ConvNet_0,0.0,1.0,Not Male
134,ConvNet_0,0.0,0.0,Not Male
135,ConvNet_0,0.0,0.0,Not Male
136,ConvNet_0,0.0,0.0,Not Male
137,ConvNet_0,0.0,0.0,Male
138,ConvNet_0,0.0,0.0,Not Male
139,ConvNet_0,0.0,1.0,Male
140,ConvNet_0,0.0,0.0,Male
141,ConvNet_0,4.0,3.0,Not Male
142,ConvNet_0,3.0,3.0,Not Male
143,ConvNet_0,1.0,1.0,Not Male
144,ConvNet_0,1.0,1.0,Not Male
145,ConvNet_0,3.0,3.0,Not Male
146,ConvNet_0,0.0,0.0,Male
147,ConvNet_0,0.0,0.0,Male
148,ConvNet_0,0.0,0.0,Not Male
149,ConvNet_0,0.0,0.0,Not Male
150,ConvNet_0,0.0,0.0,Male
151,ConvNet_0,2.0,0.0,Male
152,ConvNet_0,1.0,0.0,Male
