,Model,Acc Male,TPR Male,TNR Male,FPR Male,FNR Male,Acc Not Male,TPR Not Male,TNR Not Male,FPR Not Male,FNR Not Male,DPR,DPD,EOR,EOD
0,ConvNet_0,0.48,0.45,0.5142857142857142,0.4857142857142857,0.55,0.4943820224719101,0.5416666666666666,0.43902439024390244,0.5609756097560976,0.4583333333333333,0.8476190476190476,0.08389513108614233,0.8307692307692308,0.09166666666666662
1,ConvNet_1,0.5066666666666667,0.4875,0.5285714285714286,0.4714285714285714,0.5125,0.5056179775280899,0.53125,0.47560975609756095,0.524390243902439,0.46875,0.908936170212766,0.048089887640449414,0.8990033222591362,0.05296167247386763
2,ConvNet_2,0.5266666666666666,0.475,0.5857142857142857,0.4142857142857143,0.525,0.5,0.53125,0.4634146341463415,0.5365853658536586,0.46875,0.8369122807017544,0.08704119850187264,0.772077922077922,0.12229965156794426
3,ConvNet_3,0.47333333333333333,0.4625,0.4857142857142857,0.5142857142857142,0.5375,0.4550561797752809,0.46875,0.43902439024390244,0.5609756097560976,0.53125,0.9519413919413919,0.02456928838951311,0.9167701863354035,0.04668989547038338
4,ConvNet_4,0.5,0.5625,0.42857142857142855,0.5714285714285714,0.4375,0.5112359550561798,0.59375,0.4146341463414634,0.5853658536585366,0.40625,0.9606349206349206,0.023220973782771548,0.9473684210526315,0.03125
5,ConvNet_5,0.5533333333333333,0.6625,0.42857142857142855,0.5714285714285714,0.3375,0.5337078651685393,0.5833333333333334,0.47560975609756095,0.524390243902439,0.4166666666666667,0.8970641536788692,0.06382022471910109,0.8805031446540882,0.07916666666666661
6,ConvNet_6,0.56,0.6875,0.4142857142857143,0.5857142857142857,0.3125,0.4943820224719101,0.53125,0.45121951219512196,0.5487804878048781,0.46875,0.8426966292134831,0.10067415730337081,0.7727272727272727,0.15625
7,ConvNet_7,0.58,0.7,0.44285714285714284,0.5571428571428572,0.3,0.5224719101123596,0.5625,0.47560975609756095,0.524390243902439,0.4375,0.8604376108811355,0.0883895131086142,0.8035714285714286,0.13749999999999996
8,ConvNet_8,0.5666666666666667,0.7375,0.37142857142857144,0.6285714285714286,0.2625,0.5393258426966292,0.59375,0.47560975609756095,0.524390243902439,0.40625,0.8181520671975565,0.12486891385767784,0.8050847457627118,0.14375000000000004
9,ConvNet_9,0.5933333333333334,0.75,0.4142857142857143,0.5857142857142857,0.25,0.48314606741573035,0.5104166666666666,0.45121951219512196,0.5487804878048781,0.4895833333333333,0.7842919123373011,0.14524344569288394,0.6805555555555555,0.23958333333333337
