,Model,Acc Male,TPR Male,TNR Male,FPR Male,FNR Male,Acc Not Male,TPR Not Male,TNR Not Male,FPR Not Male,FNR Not Male,DPR,DPD,EOR,EOD
0,ConvNet_0,0.0644199611147116,1.0,0.04207033842070339,0.9579296615792966,0.0,0.22495304972646363,0.992741935483871,0.029998976144158904,0.9700010238558411,0.007258064516129033,0.9838962476912946,0.015694814040720817,0.9875553097577571,0.012071362276544484
1,ConvNet_1,0.07180816591056384,1.0,0.049635036496350364,0.9503649635036496,0.0,0.22911733485751612,0.9907258064516129,0.03573256885430531,0.9642674311456947,0.009274193548387096,0.9813307173312412,0.01810220720923572,0.9855823527861697,0.013902467642045058
2,ConvNet_2,0.0627349319507453,1.0,0.04034505640345056,0.9596549435965495,0.0,0.22732097656568956,0.9959677419354839,0.03214907341046381,0.9678509265895362,0.004032258064516129,0.9866998376762885,0.012948300431584236,0.9915317713009096,0.008195982992986739
3,ConvNet_3,0.08541801685029164,1.0,0.06357000663570006,0.9364299933642999,0.0,0.2404670531558749,0.9870967741935484,0.0508856353025494,0.9491143646974506,0.012903225806451613,0.9802545164575562,0.01889259215729211,0.986635571217812,0.012903225806451646
4,ConvNet_4,0.06636422553467272,1.0,0.044061048440610484,0.9559389515593895,0.0,0.22536131297460602,0.9923387096774193,0.030613289648817446,0.9693867103511825,0.007661290322580645,0.9824775091031963,0.01706750991328254,0.9861275601901729,0.013447758791793052
5,ConvNet_5,0.09526895657809462,0.9888888888888889,0.07392169873921699,0.926078301260783,0.011111111111111112,0.2467543071772679,0.989516129032258,0.05815501177434217,0.9418449882256579,0.010483870967741936,0.9748243591043425,0.02395458017123353,0.983259785673885,0.01576668696487482
6,ConvNet_6,0.09462086843810759,0.9833333333333333,0.07339084273390843,0.9266091572660916,0.016666666666666666,0.23956887400996163,0.989516129032258,0.049145080372683524,0.9508549196273165,0.010483870967741936,0.9679235616994427,0.03075116045454751,0.9745010917430728,0.024245762361224887
7,ConvNet_7,0.10771224886584575,0.9722222222222222,0.08706038487060384,0.9129396151293961,0.027777777777777776,0.24601943333061158,0.9806451612903225,0.059486024367769015,0.9405139756322309,0.01935483870967742,0.9638242979389147,0.03431773548997219,0.9706816047211858,0.027574360502834794
8,ConvNet_8,0.10032404406999353,0.9777777777777777,0.07936297279362972,0.9206370272063703,0.022222222222222223,0.24414142238915654,0.9862903225806452,0.055697757755708,0.944302242244292,0.013709677419354839,0.9676380916761745,0.03083458056917765,0.9749389401197678,0.02366521503792174
9,ConvNet_9,0.09513933895009721,0.9722222222222222,0.07418712674187126,0.9258128732581288,0.027777777777777776,0.23907895811219074,0.9806451612903225,0.050783249718439644,0.9492167502815604,0.01935483870967742,0.9699812972052022,0.02868530079264464,0.9753440117691882,0.023403877023431607
10,ConvNet_10,0.13583927414128322,1.0,0.11519575315195753,0.8848042468480425,0.0,0.3439209602351596,0.978225806451613,0.18286065322002662,0.8171393467799734,0.021774193548387097,0.9574838099801288,0.03773277421465426,0.9235255704195439,0.06766490006806913
11,ConvNet_11,0.11847051198963059,0.9944444444444445,0.09754479097544791,0.9024552090245521,0.005555555555555556,0.3342042949293705,0.9846774193548387,0.16903859936520937,0.8309614006347906,0.01532258064516129,0.9530038867901397,0.0425127510164115,0.9207785520269334,0.07149380838976149
12,ConvNet_12,0.12819183408943616,0.9833333333333333,0.1077637690776377,0.8922362309223623,0.016666666666666666,0.34465583408181594,0.9762096774193548,0.18429405139756322,0.8157059486024367,0.02379032258064516,0.9483945787374133,0.04615390884145798,0.9142264350318847,0.07653028231992554
13,ConvNet_13,0.13104342190537913,0.9888888888888889,0.11055076310550763,0.8894492368944924,0.011111111111111112,0.34767698211806974,0.975,0.18838947476195353,0.8116105252380464,0.025,0.9472143510228418,0.04707262021553449,0.9124866170797792,0.07783871165644596
14,ConvNet_14,0.1322099805573558,0.9944444444444445,0.11161247511612475,0.8883875248838753,0.005555555555555556,0.3413897280966767,0.9846774193548387,0.17804853076686802,0.821951469233132,0.01532258064516129,0.9596360408879118,0.03595871561599251,0.9252172573456303,0.06643605565074329
15,ConvNet_15,0.16733635774465327,0.95,0.1486396814863968,0.8513603185136032,0.05,0.2894586429329632,0.957258064516129,0.11989351899252586,0.8801064810074741,0.042741935483870966,0.9530350788782935,0.04206786843350374,0.9673378584134903,0.028746162493870964
16,ConvNet_16,0.16694750486066104,0.95,0.1482415394824154,0.8517584605175846,0.05,0.29574589695435616,0.9608870967741936,0.12685573871198935,0.8731442612880107,0.039112903225806454,0.9586249744812696,0.036861509221431166,0.9755071392911877,0.021385800770426067
