,Model,Acc Male,Acc Not Male
0,ConvNet_0,0.22935779816513763,0.19444444444444445
1,ConvNet_1,0.23669724770642203,0.17
2,ConvNet_2,0.23761467889908258,0.18555555555555556
3,ConvNet_3,0.23394495412844038,0.17666666666666667
4,ConvNet_4,0.22293577981651377,0.18222222222222223
5,ConvNet_5,0.060550458715596334,0.06
6,ConvNet_6,0.06605504587155964,0.06111111111111111
7,ConvNet_7,0.062385321100917435,0.05444444444444444
8,ConvNet_8,0.05871559633027523,0.058888888888888886
9,ConvNet_9,0.06697247706422019,0.058888888888888886
10,ConvNet_10,0.15321100917431194,0.12
11,ConvNet_11,0.15321100917431194,0.11777777777777777
12,ConvNet_12,0.14220183486238533,0.12
13,ConvNet_13,0.14495412844036698,0.11222222222222222
14,ConvNet_14,0.14311926605504588,0.11444444444444445
15,ConvNet_15,0.1871559633027523,0.15333333333333332
16,ConvNet_16,0.18256880733944955,0.14777777777777779
17,ConvNet_17,0.1871559633027523,0.14
18,ConvNet_18,0.19724770642201836,0.14777777777777779
19,ConvNet_19,0.1926605504587156,0.14666666666666667
20,ConvNet_20,0.12018348623853212,0.11222222222222222
21,ConvNet_21,0.12110091743119267,0.11333333333333333
22,ConvNet_22,0.11376146788990826,0.11888888888888889
23,ConvNet_23,0.11743119266055047,0.11666666666666667
24,ConvNet_24,0.11284403669724771,0.12555555555555556
25,VGG11_0,0.1743119266055046,0.15888888888888889
26,VGG11_1,0.22844036697247708,0.20555555555555555
27,VGG11_2,0.21100917431192662,0.19111111111111112
28,VGG11_3,0.22935779816513763,0.1922222222222222
29,VGG11_4,0.19357798165137616,0.1511111111111111
30,VGG11_5,0.062385321100917435,0.04666666666666667
31,VGG11_6,0.06880733944954129,0.051111111111111114
32,VGG11_7,0.06513761467889909,0.04888888888888889
33,VGG11_8,0.06330275229357799,0.06222222222222222
34,VGG11_9,0.07889908256880734,0.05555555555555555
35,VGG11_10,0.13394495412844037,0.11555555555555555
36,VGG11_11,0.15321100917431194,0.13666666666666666
37,VGG11_12,0.15504587155963304,0.12111111111111111
38,VGG11_13,0.1596330275229358,0.1322222222222222
39,VGG11_14,0.16055045871559634,0.1388888888888889
40,VGG11_15,0.1761467889908257,0.13111111111111112
41,VGG11_16,0.16238532110091744,0.1411111111111111
42,VGG11_17,0.163302752293578,0.14444444444444443
43,VGG11_18,0.1743119266055046,0.15222222222222223
44,VGG11_19,0.16788990825688074,0.15333333333333332
45,VGG11_20,0.09724770642201835,0.09555555555555556
46,VGG11_21,0.0908256880733945,0.09111111111111111
47,VGG11_22,0.08807339449541285,0.09
48,VGG11_23,0.09541284403669725,0.08
49,VGG11_24,0.08440366972477065,0.08666666666666667
50,ResNet18ImageNet_0,0.1761467889908257,0.15
51,ResNet18ImageNet_1,0.20642201834862386,0.17777777777777778
52,ResNet18ImageNet_2,0.17889908256880735,0.12777777777777777
53,ResNet18ImageNet_3,0.18990825688073396,0.16
54,ResNet18ImageNet_4,0.20091743119266056,0.17222222222222222
55,ResNet18ImageNet_5,0.05871559633027523,0.056666666666666664
56,ResNet18ImageNet_6,0.060550458715596334,0.05444444444444444
57,ResNet18ImageNet_7,0.06513761467889909,0.05444444444444444
58,ResNet18ImageNet_8,0.05963302752293578,0.04777777777777778
59,ResNet18ImageNet_9,0.05229357798165138,0.044444444444444446
60,ResNet18ImageNet_10,0.13486238532110092,0.12111111111111111
61,ResNet18ImageNet_11,0.11926605504587157,0.11333333333333333
62,ResNet18ImageNet_12,0.11834862385321102,0.09777777777777778
63,ResNet18ImageNet_13,0.13853211009174313,0.11666666666666667
64,ResNet18ImageNet_14,0.11559633027522936,0.09666666666666666
65,ResNet18ImageNet_15,0.1724770642201835,0.14444444444444443
66,ResNet18ImageNet_16,0.1889908256880734,0.15555555555555556
67,ResNet18ImageNet_17,0.18623853211009175,0.15777777777777777
68,ResNet18ImageNet_18,0.17889908256880735,0.15777777777777777
69,ResNet18ImageNet_19,0.17339449541284405,0.14777777777777779
70,ResNet18ImageNet_20,0.1,0.08888888888888889
71,ResNet18ImageNet_21,0.11926605504587157,0.10444444444444445
72,ResNet18ImageNet_22,0.10550458715596331,0.10111111111111111
73,ResNet18ImageNet_23,0.10458715596330276,0.10444444444444445
74,ResNet18ImageNet_24,0.10458715596330276,0.10444444444444445
