,Model,Acc Male,TPR Male,TNR Male,FPR Male,FNR Male,Acc Not Male,TPR Not Male,TNR Not Male,FPR Not Male,FNR Not Male,DPR,DPD,EOR,EOD
0,ConvNet_0,0.5866666666666667,0.6125,0.5571428571428572,0.44285714285714284,0.3875,0.5449438202247191,0.6041666666666666,0.47560975609756095,0.524390243902439,0.3958333333333333,0.9399339933993398,0.03408239700374538,0.8445182724252491,0.08153310104529621
1,ConvNet_1,0.5266666666666666,0.55,0.5,0.5,0.45,0.5449438202247191,0.59375,0.4878048780487805,0.5121951219512195,0.40625,0.9469360269360269,0.029513108614232286,0.9263157894736843,0.043749999999999956
2,ConvNet_2,0.58,0.625,0.5285714285714286,0.4714285714285714,0.375,0.5224719101123596,0.6041666666666666,0.4268292682926829,0.573170731707317,0.3958333333333333,0.9380317460317461,0.036554307116104856,0.8224924012158055,0.10174216027874561
3,ConvNet_3,0.5533333333333333,0.6,0.5,0.5,0.4,0.5674157303370787,0.6458333333333334,0.47560975609756095,0.524390243902439,0.3541666666666667,0.9380317460317461,0.036554307116104856,0.9290322580645161,0.04583333333333339
4,ConvNet_4,0.56,0.6875,0.4142857142857143,0.5857142857142857,0.3125,0.5561797752808989,0.6770833333333334,0.4146341463414634,0.5853658536585366,0.3229166666666667,0.9919241573033708,0.005168539325842714,0.9848484848484849,0.01041666666666663
5,ConvNet_5,0.5133333333333333,0.7125,0.2857142857142857,0.7142857142857143,0.2875,0.48314606741573035,0.6041666666666666,0.34146341463414637,0.6585365853658537,0.3958333333333333,0.8820749763729916,0.08411985018726598,0.8479532163742689,0.10833333333333339
6,ConvNet_6,0.46,0.6875,0.2,0.8,0.3125,0.449438202247191,0.5625,0.3170731707317073,0.6829268292682927,0.4375,0.8351047676890373,0.1220224719101124,0.8181818181818182,0.125
7,ConvNet_7,0.5066666666666667,0.7,0.2857142857142857,0.7142857142857143,0.3,0.47191011235955055,0.5833333333333334,0.34146341463414637,0.6585365853658537,0.4166666666666667,0.8744965020139919,0.08868913857677907,0.8333333333333335,0.11666666666666659
8,ConvNet_8,0.5066666666666667,0.725,0.2571428571428571,0.7428571428571429,0.275,0.46629213483146065,0.5729166666666666,0.34146341463414637,0.6585365853658537,0.4270833333333333,0.8350357507660879,0.12097378277153548,0.7902298850574713,0.15208333333333335
9,ConvNet_9,0.5133333333333333,0.7,0.3,0.7,0.3,0.4438202247191011,0.5416666666666666,0.32926829268292684,0.6707317073170732,0.4583333333333333,0.8587479935794543,0.09887640449438195,0.7738095238095238,0.15833333333333333
10,ConvNet_10,0.5733333333333334,0.5375,0.6142857142857143,0.38571428571428573,0.4625,0.5168539325842697,0.4895833333333333,0.5487804878048781,0.45121951219512196,0.5104166666666666,0.9888888888888889,0.005243445692883875,0.8548262548262548,0.06550522648083623
11,ConvNet_11,0.52,0.5875,0.44285714285714284,0.5571428571428572,0.4125,0.5617977528089888,0.5625,0.5609756097560976,0.43902439024390244,0.4375,0.8818918212699242,0.06771535580524346,0.7879924953095685,0.11811846689895472
12,ConvNet_12,0.5733333333333334,0.6125,0.5285714285714286,0.4714285714285714,0.3875,0.5561797752808989,0.53125,0.5853658536585366,0.4146341463414634,0.46875,0.8735269936969033,0.06913857677902618,0.8673469387755102,0.08125000000000004
13,ConvNet_13,0.52,0.4875,0.5571428571428572,0.44285714285714284,0.5125,0.5561797752808989,0.53125,0.5853658536585366,0.4146341463414634,0.46875,0.9772549019607844,0.010861423220973776,0.9176470588235294,0.04375000000000001
14,ConvNet_14,0.5666666666666667,0.6,0.5285714285714286,0.4714285714285714,0.4,0.5224719101123596,0.5729166666666666,0.4634146341463415,0.5365853658536586,0.4270833333333333,0.9709090909090909,0.016179775280898867,0.8785714285714284,0.06515679442508715
15,ConvNet_15,0.52,0.5875,0.44285714285714284,0.5571428571428572,0.4125,0.5786516853932584,0.6354166666666666,0.5121951219512195,0.4878048780487805,0.3645833333333333,0.9896785994251373,0.005917602996254656,0.8755472170106315,0.06933797909407668
16,ConvNet_16,0.5666666666666667,0.55,0.5857142857142857,0.4142857142857143,0.45,0.550561797752809,0.6354166666666666,0.45121951219512196,0.5487804878048781,0.3645833333333333,0.8172327044025157,0.10883895131086141,0.7549206349206349,0.13449477351916378
17,ConvNet_17,0.5066666666666667,0.5875,0.4142857142857143,0.5857142857142857,0.4125,0.5224719101123596,0.6458333333333334,0.3780487804878049,0.6219512195121951,0.3541666666666667,0.9241297935103245,0.04816479400749063,0.9096774193548387,0.05833333333333335
18,ConvNet_18,0.5466666666666666,0.6375,0.44285714285714284,0.5571428571428572,0.3625,0.5617977528089888,0.6875,0.4146341463414634,0.5853658536585366,0.3125,0.9368421052631578,0.04044943820224722,0.9272727272727272,0.050000000000000044
19,ConvNet_19,0.5,0.6125,0.37142857142857144,0.6285714285714286,0.3875,0.5674157303370787,0.75,0.35365853658536583,0.6463414634146342,0.25,0.8828799999999999,0.08224719101123601,0.8166666666666668,0.13749999999999996
20,ConvNet_20,0.5066666666666667,0.7125,0.2714285714285714,0.7285714285714285,0.2875,0.5280898876404494,0.65625,0.3780487804878049,0.6219512195121951,0.34375,0.8895131086142323,0.07955056179775277,0.853658536585366,0.10662020905923342
21,ConvNet_21,0.5066666666666667,0.675,0.3142857142857143,0.6857142857142857,0.325,0.5337078651685393,0.7083333333333334,0.32926829268292684,0.6707317073170732,0.2916666666666667,0.9840650406504066,0.011011235955056153,0.9529411764705883,0.033333333333333326
22,ConvNet_22,0.52,0.6625,0.35714285714285715,0.6428571428571429,0.3375,0.5730337078651685,0.6770833333333334,0.45121951219512196,0.5487804878048781,0.3229166666666667,0.9458839715661544,0.035355805243445726,0.8536585365853658,0.09407665505226481
23,ConvNet_23,0.5266666666666666,0.7125,0.3142857142857143,0.6857142857142857,0.2875,0.5842696629213483,0.7291666666666666,0.4146341463414634,0.5853658536585366,0.2708333333333333,0.9470304975922953,0.03707865168539326,0.8536585365853658,0.10034843205574917
24,ConvNet_24,0.4866666666666667,0.6375,0.3142857142857143,0.6857142857142857,0.3625,0.550561797752809,0.6458333333333334,0.43902439024390244,0.5609756097560976,0.3541666666666667,0.9193054136874361,0.05325842696629213,0.818089430894309,0.1247386759581881
25,VGG11_0,0.54,0.5,0.5857142857142857,0.4142857142857143,0.5,0.601123595505618,0.6145833333333334,0.5853658536585366,0.4146341463414634,0.3854166666666667,0.8804301075268817,0.062471910112359585,0.8135593220338982,0.11458333333333337
26,VGG11_1,0.6066666666666667,0.8125,0.37142857142857144,0.6285714285714286,0.1875,0.5617977528089888,0.7291666666666666,0.36585365853658536,0.6341463414634146,0.2708333333333333,0.9432017317802288,0.04127340823970038,0.8974358974358974,0.08333333333333337
27,VGG11_2,0.5866666666666667,0.6625,0.5,0.5,0.3375,0.5337078651685393,0.5729166666666666,0.4878048780487805,0.5121951219512195,0.4270833333333333,0.9288815117466803,0.04172284644194757,0.8647798742138364,0.08958333333333335
28,VGG11_3,0.6333333333333333,0.7125,0.5428571428571428,0.45714285714285713,0.2875,0.4943820224719101,0.5833333333333334,0.3902439024390244,0.6097560975609756,0.4166666666666667,0.9963522012578617,0.002172284644194722,0.7497142857142857,0.15261324041811847
29,VGG11_4,0.5933333333333334,0.8375,0.3142857142857143,0.6857142857142857,0.1625,0.4887640449438202,0.6875,0.25609756097560976,0.7439024390243902,0.3125,0.9306301905227161,0.05318352059925102,0.8208955223880596,0.15000000000000002
30,VGG11_5,0.5533333333333333,0.775,0.3,0.7,0.225,0.47752808988764045,0.5833333333333334,0.35365853658536583,0.6463414634146342,0.4166666666666667,0.8275129061645916,0.12764044943820219,0.7526881720430108,0.19166666666666665
31,VGG11_6,0.5733333333333334,0.675,0.45714285714285713,0.5428571428571428,0.325,0.5393258426966292,0.59375,0.47560975609756095,0.524390243902439,0.40625,0.9159745969711774,0.05153558052434448,0.8796296296296295,0.08125000000000004
32,VGG11_7,0.5733333333333334,0.8375,0.2714285714285714,0.7285714285714285,0.1625,0.48314606741573035,0.5729166666666666,0.3780487804878049,0.6219512195121951,0.4270833333333333,0.7569986669205866,0.19116104868913852,0.6840796019900497,0.2645833333333334
33,VGG11_8,0.54,0.65,0.4142857142857143,0.5857142857142857,0.35,0.5168539325842697,0.6145833333333334,0.4024390243902439,0.5975609756097561,0.3854166666666667,0.9786154403769483,0.013258426966292092,0.9455128205128205,0.03541666666666665
34,VGG11_9,0.49333333333333335,0.725,0.22857142857142856,0.7714285714285715,0.275,0.5168539325842697,0.625,0.3902439024390244,0.6097560975609756,0.375,0.8276484751203851,0.1286891385767791,0.7904245709123757,0.16167247386759587
35,VGG11_10,0.5266666666666666,0.525,0.5285714285714286,0.4714285714285714,0.475,0.5337078651685393,0.4583333333333333,0.6219512195121951,0.3780487804878049,0.5416666666666666,0.8426966292134831,0.07865168539325845,0.8019216555801922,0.09337979094076654
36,VGG11_11,0.54,0.5125,0.5714285714285714,0.42857142857142855,0.4875,0.5561797752808989,0.4791666666666667,0.6463414634146342,0.35365853658536583,0.5208333333333334,0.8901724956480456,0.05198501872659178,0.8252032520325203,0.07491289198606271
37,VGG11_12,0.5933333333333334,0.6125,0.5714285714285714,0.42857142857142855,0.3875,0.4943820224719101,0.5104166666666666,0.47560975609756095,0.524390243902439,0.4895833333333333,0.9813682264258287,0.009812734082396912,0.8172757475083056,0.10208333333333341
38,VGG11_13,0.56,0.6875,0.4142857142857143,0.5857142857142857,0.3125,0.5056179775280899,0.5208333333333334,0.4878048780487805,0.5121951219512195,0.4791666666666667,0.8075842696629214,0.12314606741573031,0.7575757575757577,0.16666666666666663
39,VGG11_14,0.5333333333333333,0.525,0.5428571428571428,0.45714285714285713,0.475,0.5561797752808989,0.6145833333333334,0.4878048780487805,0.5121951219512195,0.3854166666666667,0.8694389438943894,0.07408239700374536,0.8542372881355932,0.08958333333333335
40,VGG11_15,0.4666666666666667,0.5375,0.38571428571428573,0.6142857142857143,0.4625,0.5730337078651685,0.65625,0.47560975609756095,0.524390243902439,0.34375,0.9627672955974843,0.02217228464419474,0.819047619047619,0.11875000000000002
41,VGG11_16,0.46,0.5375,0.37142857142857144,0.6285714285714286,0.4625,0.5112359550561798,0.5833333333333334,0.4268292682926829,0.573170731707317,0.4166666666666667,0.997675319643549,0.001348314606741563,0.9118625277161861,0.05540069686411153
42,VGG11_17,0.47333333333333333,0.5375,0.4,0.6,0.4625,0.5561797752808989,0.6666666666666666,0.4268292682926829,0.573170731707317,0.3333333333333333,0.9087087087087087,0.056928838951310845,0.80625,0.12916666666666665
43,VGG11_18,0.48,0.525,0.42857142857142855,0.5714285714285714,0.475,0.5842696629213483,0.6458333333333334,0.5121951219512195,0.4878048780487805,0.3541666666666667,0.9539869281045752,0.02636704119850186,0.8129032258064516,0.12083333333333335
44,VGG11_19,0.48,0.6375,0.3,0.7,0.3625,0.5449438202247191,0.75,0.3048780487804878,0.6951219512195121,0.25,0.9198966408268734,0.05805243445692887,0.85,0.11250000000000004
45,VGG11_20,0.5466666666666666,0.6375,0.44285714285714284,0.5571428571428572,0.3625,0.5224719101123596,0.4583333333333333,0.5975609756097561,0.4024390243902439,0.5416666666666666,0.7209737827715356,0.16741573033707863,0.7189542483660131,0.17916666666666664
46,VGG11_21,0.44,0.35,0.5428571428571428,0.45714285714285713,0.65,0.5112359550561798,0.3854166666666667,0.6585365853658537,0.34146341463414637,0.6145833333333334,0.9129213483146067,0.03483146067415732,0.7469512195121952,0.11567944250871076
47,VGG11_22,0.5266666666666666,0.4375,0.6285714285714286,0.37142857142857144,0.5625,0.5337078651685393,0.4479166666666667,0.6341463414634146,0.36585365853658536,0.5520833333333334,0.9915981735159818,0.003445692883895124,0.9767441860465116,0.010416666666666685
48,VGG11_23,0.48,0.525,0.42857142857142855,0.5714285714285714,0.475,0.5056179775280899,0.4895833333333333,0.524390243902439,0.47560975609756095,0.5104166666666666,0.8838037818580434,0.06352059925093628,0.8323170731707317,0.09581881533101044
49,VGG11_24,0.5266666666666666,0.6,0.44285714285714284,0.5571428571428572,0.4,0.5337078651685393,0.5208333333333334,0.5487804878048781,0.45121951219512196,0.4791666666666667,0.8426966292134832,0.09123595505617976,0.8098811757348343,0.1059233449477352
50,ResNet18ImageNet_0,0.5866666666666667,0.6375,0.5285714285714286,0.4714285714285714,0.3625,0.5786516853932584,0.6458333333333334,0.5,0.5,0.3541666666666667,0.9677669902912622,0.018651685393258344,0.9428571428571428,0.02857142857142858
51,ResNet18ImageNet_1,0.5533333333333333,0.4875,0.6285714285714286,0.37142857142857144,0.5125,0.5224719101123596,0.5625,0.47560975609756095,0.524390243902439,0.4375,0.7951890034364262,0.11161048689138575,0.7083056478405315,0.1529616724738676
52,ResNet18ImageNet_2,0.5933333333333334,0.6375,0.5428571428571428,0.45714285714285713,0.3625,0.5786516853932584,0.65625,0.4878048780487805,0.5121951219512195,0.34375,0.9380317460317461,0.036554307116104856,0.8925170068027211,0.055052264808362394
53,ResNet18ImageNet_3,0.6266666666666667,0.7125,0.5285714285714286,0.4714285714285714,0.2875,0.5786516853932584,0.625,0.524390243902439,0.47560975609756095,0.375,0.9269662921348315,0.043820224719101075,0.8771929824561403,0.08750000000000002
54,ResNet18ImageNet_4,0.56,0.6125,0.5,0.5,0.3875,0.5224719101123596,0.59375,0.43902439024390244,0.5609756097560976,0.40625,0.9677669902912622,0.018651685393258344,0.8913043478260869,0.060975609756097615
55,ResNet18ImageNet_5,0.5933333333333334,0.7375,0.42857142857142855,0.5714285714285714,0.2625,0.4606741573033708,0.53125,0.3780487804878049,0.6219512195121951,0.46875,0.8682328907048007,0.08696629213483154,0.7203389830508474,0.20625000000000004
56,ResNet18ImageNet_6,0.5133333333333333,0.6875,0.3142857142857143,0.6857142857142857,0.3125,0.4943820224719101,0.5625,0.4146341463414634,0.5853658536585366,0.4375,0.8345151085415076,0.11363295880149815,0.8181818181818182,0.125
