,Model,Acc Male,Acc Not Male
0,ConvNet_0,0.3724770642201835,0.3511111111111111
1,ConvNet_1,0.3541284403669725,0.33444444444444443
2,ConvNet_2,0.3376146788990826,0.29777777777777775
3,ConvNet_3,0.37339449541284403,0.35333333333333333
4,ConvNet_4,0.3477064220183486,0.31444444444444447
5,ConvNet_5,0.2036697247706422,0.19333333333333333
6,ConvNet_6,0.20550458715596331,0.16777777777777778
7,ConvNet_7,0.2036697247706422,0.21666666666666667
8,ConvNet_8,0.2,0.17333333333333334
9,ConvNet_9,0.21651376146788992,0.19777777777777777
10,ConvNet_10,0.30825688073394497,0.3488888888888889
11,ConvNet_11,0.25779816513761467,0.30444444444444446
12,ConvNet_12,0.25596330275229356,0.27
13,ConvNet_13,0.27522935779816515,0.31333333333333335
14,ConvNet_14,0.26330275229357797,0.28555555555555556
15,ConvNet_15,0.19541284403669726,0.22111111111111112
16,ConvNet_16,0.2486238532110092,0.2633333333333333
17,ConvNet_17,0.18807339449541285,0.19777777777777777
18,ConvNet_18,0.23302752293577983,0.23444444444444446
19,ConvNet_19,0.24403669724770644,0.2733333333333333
20,ConvNet_20,0.2706422018348624,0.2733333333333333
21,ConvNet_21,0.26880733944954127,0.27
22,ConvNet_22,0.29174311926605506,0.2822222222222222
23,ConvNet_23,0.24036697247706423,0.2544444444444444
24,ConvNet_24,0.3036697247706422,0.30777777777777776
25,VGG11_0,0.29724770642201837,0.3088888888888889
26,VGG11_1,0.25412844036697246,0.2588888888888889
27,VGG11_2,0.2706422018348624,0.29333333333333333
28,VGG11_3,0.21100917431192662,0.24555555555555555
29,VGG11_4,0.26146788990825687,0.24
30,VGG11_5,0.2,0.2222222222222222
31,VGG11_6,0.23027522935779818,0.2511111111111111
32,VGG11_7,0.22660550458715598,0.23555555555555555
33,VGG11_8,0.23027522935779818,0.21888888888888888
34,VGG11_9,0.23577981651376148,0.23777777777777778
35,VGG11_10,0.26605504587155965,0.33444444444444443
36,VGG11_11,0.26513761467889907,0.3333333333333333
37,VGG11_12,0.21467889908256882,0.2388888888888889
38,VGG11_13,0.1889908256880734,0.2588888888888889
39,VGG11_14,0.21834862385321102,0.2544444444444444
40,VGG11_15,0.23027522935779818,0.2477777777777778
41,VGG11_16,0.2944954128440367,0.3422222222222222
42,VGG11_17,0.21834862385321102,0.23
43,VGG11_18,0.19174311926605506,0.19777777777777777
44,VGG11_19,0.24220183486238533,0.27666666666666667
45,VGG11_20,0.18073394495412845,0.17555555555555555
46,VGG11_21,0.24128440366972478,0.27111111111111114
47,VGG11_22,0.21743119266055047,0.2477777777777778
48,VGG11_23,0.23394495412844038,0.2411111111111111
49,VGG11_24,0.17522935779816515,0.17888888888888888
50,ResNet18ImageNet_0,0.2761467889908257,0.32222222222222224
51,ResNet18ImageNet_1,0.26697247706422017,0.30666666666666664
52,ResNet18ImageNet_2,0.22660550458715598,0.2588888888888889
53,ResNet18ImageNet_3,0.28623853211009176,0.31222222222222223
54,ResNet18ImageNet_4,0.26055045871559634,0.2722222222222222
55,ResNet18ImageNet_5,0.21284403669724772,0.24666666666666667
56,ResNet18ImageNet_6,0.2018348623853211,0.22555555555555556
57,ResNet18ImageNet_7,0.1779816513761468,0.19666666666666666
58,ResNet18ImageNet_8,0.17889908256880735,0.2288888888888889
59,ResNet18ImageNet_9,0.1798165137614679,0.21555555555555556
60,ResNet18ImageNet_10,0.24036697247706423,0.25333333333333335
61,ResNet18ImageNet_11,0.22293577981651377,0.25333333333333335
62,ResNet18ImageNet_12,0.1963302752293578,0.22
63,ResNet18ImageNet_13,0.25504587155963304,0.27555555555555555
64,ResNet18ImageNet_14,0.20275229357798166,0.23222222222222222
65,ResNet18ImageNet_15,0.22752293577981653,0.21222222222222223
66,ResNet18ImageNet_16,0.20825688073394497,0.20777777777777778
67,ResNet18ImageNet_17,0.21834862385321102,0.21666666666666667
68,ResNet18ImageNet_18,0.22844036697247708,0.2111111111111111
69,ResNet18ImageNet_19,0.20550458715596331,0.22111111111111112
70,ResNet18ImageNet_20,0.22752293577981653,0.2311111111111111
71,ResNet18ImageNet_21,0.18440366972477065,0.19111111111111112
72,ResNet18ImageNet_22,0.1908256880733945,0.20222222222222222
73,ResNet18ImageNet_23,0.20091743119266056,0.20777777777777778
74,ResNet18ImageNet_24,0.21192660550458717,0.21666666666666667
