,Model,Acc Red,Acc Blue
0,ConvNet_0,0.911,0.895125
1,ConvNet_1,0.914,0.9055
2,ConvNet_2,0.911,0.910625
3,ConvNet_3,0.9135,0.899
4,ConvNet_4,0.8905,0.902625
5,ConvNet_5,0.9355,0.882625
6,ConvNet_6,0.9355,0.89
7,ConvNet_7,0.9275,0.870375
8,ConvNet_8,0.9325,0.893125
9,ConvNet_9,0.9315,0.877125
10,ConvNet_10,0.824,0.848
11,ConvNet_11,0.823,0.841625
12,ConvNet_12,0.8145,0.840375
13,ConvNet_13,0.826,0.84925
14,ConvNet_14,0.8115,0.84375
15,ConvNet_15,0.8195,0.886125
16,ConvNet_16,0.8515,0.887625
17,ConvNet_17,0.829,0.892125
18,ConvNet_18,0.8395,0.889625
19,ConvNet_19,0.8505,0.894375
20,ConvNet_20,0.8825,0.885
21,ConvNet_21,0.876,0.891375
22,ConvNet_22,0.869,0.868875
23,ConvNet_23,0.874,0.894875
24,ConvNet_24,0.8785,0.88175
25,LeNet_0,0.847,0.863875
26,LeNet_1,0.8555,0.870625
27,LeNet_2,0.853,0.876125
28,LeNet_3,0.7745,0.842375
29,LeNet_4,0.8335,0.84975
30,LeNet_5,0.882,0.826125
31,LeNet_6,0.8665,0.77525
32,LeNet_7,0.862,0.79925
33,LeNet_8,0.871,0.864875
34,LeNet_9,0.9115,0.889125
35,LeNet_10,0.7175,0.732375
36,LeNet_11,0.7635,0.777
37,LeNet_12,0.7575,0.792125
38,LeNet_13,0.7545,0.79325
39,LeNet_14,0.7545,0.756375
40,LeNet_15,0.748,0.812625
41,LeNet_16,0.781,0.816875
42,LeNet_17,0.7065,0.813375
43,LeNet_18,0.716,0.795625
44,LeNet_19,0.787,0.801125
45,LeNet_20,0.845,0.859375
46,LeNet_21,0.83,0.828625
47,LeNet_22,0.85,0.859
48,LeNet_23,0.8635,0.86275
49,LeNet_24,0.8695,0.878
50,AlexNet_0,0.871,0.87725
51,AlexNet_1,0.864,0.875125
52,AlexNet_2,0.8805,0.886125
53,AlexNet_3,0.8725,0.882875
54,AlexNet_4,0.867,0.882875
55,AlexNet_5,0.897,0.854
56,AlexNet_6,0.897,0.85625
57,AlexNet_7,0.887,0.873125
58,AlexNet_8,0.8785,0.827875
59,AlexNet_9,0.8925,0.85375
60,AlexNet_10,0.734,0.74725
61,AlexNet_11,0.7215,0.769875
62,AlexNet_12,0.764,0.780125
63,AlexNet_13,0.753,0.7595
64,AlexNet_14,0.7585,0.773625
65,AlexNet_15,0.838,0.85125
66,AlexNet_16,0.8185,0.83925
67,AlexNet_17,0.856,0.858375
68,AlexNet_18,0.8335,0.829875
69,AlexNet_19,0.861,0.85275
70,AlexNet_20,0.8625,0.87175
71,AlexNet_21,0.856,0.864375
72,AlexNet_22,0.8605,0.884625
73,AlexNet_23,0.8555,0.877125
74,AlexNet_24,0.861,0.879875
75,ResNet18_0,0.932,0.923375
76,ResNet18_1,0.9285,0.931875
77,ResNet18_2,0.924,0.898
78,ResNet18_3,0.9315,0.922875
79,ResNet18_4,0.9215,0.91875
80,ResNet18_5,0.9535,0.926375
81,ResNet18_6,0.9475,0.923375
82,ResNet18_7,0.946,0.891
83,ResNet18_8,0.94,0.91975
84,ResNet18_9,0.9415,0.908625
85,ResNet18_10,0.8675,0.86125
86,ResNet18_11,0.898,0.879875
87,ResNet18_12,0.849,0.84475
88,ResNet18_13,0.862,0.840125
89,ResNet18_14,0.8505,0.849875
90,ResNet18_15,0.9275,0.917875
91,ResNet18_16,0.905,0.89875
92,ResNet18_17,0.91,0.889
93,ResNet18_18,0.916,0.88275
94,ResNet18_19,0.9005,0.92125
95,ResNet18_20,0.8975,0.9175
96,ResNet18_21,0.9085,0.921875
97,ResNet18_22,0.8955,0.925375
98,ResNet18_23,0.9125,0.920375
99,ResNet18_24,0.9025,0.9045
