,Model,Acc Red,Acc Blue
0,ConvNet_0,0.996,0.995875
1,ConvNet_1,0.9955,0.996
2,ConvNet_2,0.995,0.995625
3,ConvNet_3,0.995,0.995625
4,ConvNet_4,0.9955,0.995375
5,LeNet_0,0.99,0.990375
6,LeNet_1,0.9915,0.991875
7,LeNet_2,0.993,0.992375
8,LeNet_3,0.9955,0.992375
9,LeNet_4,0.9935,0.9915
10,AlexNet_0,0.994,0.99525
11,AlexNet_1,0.993,0.994875
12,AlexNet_2,0.9915,0.994125
13,AlexNet_3,0.993,0.99475
14,AlexNet_4,0.993,0.995
15,ResNet18_0,0.9965,0.997875
16,ResNet18_1,0.997,0.997375
17,ResNet18_2,0.996,0.99725
18,ResNet18_3,0.998,0.997875
19,ResNet18_4,0.9975,0.997125
