,Model,Acc Male,TPR Male,TNR Male,FPR Male,FNR Male,Acc Not Male,TPR Not Male,TNR Not Male,FPR Not Male,FNR Not Male,DPR,DPD,EOR,EOD
0,ConvNet_0,0.5266666666666666,0.2375,0.8571428571428571,0.14285714285714285,0.7625,0.550561797752809,0.3645833333333333,0.7682926829268293,0.23170731707317074,0.6354166666666666,0.6372839506172839,0.11003745318352062,0.6165413533834586,0.12708333333333333
1,ConvNet_1,0.5,0.2375,0.8,0.2,0.7625,0.5224719101123596,0.3541666666666667,0.7195121951219512,0.2804878048780488,0.6458333333333334,0.6870175438596491,0.1002247191011236,0.6705882352941176,0.1166666666666667
2,ConvNet_2,0.5,0.225,0.8142857142857143,0.18571428571428572,0.775,0.5337078651685393,0.375,0.7195121951219512,0.2804878048780488,0.625,0.6235028248587571,0.12479400749063668,0.6,0.15
3,ConvNet_3,0.5133333333333333,0.2375,0.8285714285714286,0.17142857142857143,0.7625,0.5449438202247191,0.4166666666666667,0.6951219512195121,0.3048780487804878,0.5833333333333334,0.5659487179487179,0.15850187265917604,0.5622857142857143,0.1791666666666667
4,ConvNet_4,0.5133333333333333,0.175,0.9,0.1,0.825,0.5337078651685393,0.2916666666666667,0.8170731707317073,0.18292682926829268,0.7083333333333334,0.5795348837209303,0.10157303370786516,0.5466666666666667,0.1166666666666667
5,ConvNet_5,0.5933333333333334,0.4875,0.7142857142857143,0.2857142857142857,0.5125,0.5898876404494382,0.6145833333333334,0.5609756097560976,0.43902439024390244,0.3854166666666667,0.7369824561403509,0.14037453183520598,0.6507936507936507,0.15331010452961674
6,ConvNet_6,0.6066666666666667,0.5375,0.6857142857142857,0.3142857142857143,0.4625,0.601123595505618,0.625,0.573170731707317,0.4268292682926829,0.375,0.8119298245614036,0.10037453183520595,0.7363265306122448,0.11254355400696864
7,ConvNet_7,0.5666666666666667,0.4875,0.6571428571428571,0.34285714285714286,0.5125,0.5617977528089888,0.6041666666666666,0.5121951219512195,0.4878048780487805,0.3958333333333333,0.7628571428571428,0.13056179775280902,0.7028571428571428,0.14494773519163762
8,ConvNet_8,0.5666666666666667,0.475,0.6714285714285714,0.32857142857142857,0.525,0.5561797752808989,0.59375,0.5121951219512195,0.4878048780487805,0.40625,0.7462542955326461,0.13827715355805242,0.6735714285714286,0.1592334494773519
9,ConvNet_9,0.58,0.4875,0.6857142857142857,0.3142857142857143,0.5125,0.5730337078651685,0.5833333333333334,0.5609756097560976,0.43902439024390244,0.4166666666666667,0.7868115942028985,0.11018726591760303,0.7158730158730159,0.12473867595818816
10,ConvNet_10,0.54,0.2875,0.8285714285714286,0.17142857142857143,0.7125,0.5561797752808989,0.4375,0.6951219512195121,0.3048780487804878,0.5625,0.6199004975124378,0.1430711610486891,0.5622857142857143,0.15000000000000002
11,ConvNet_11,0.5266666666666666,0.2875,0.8,0.2,0.7125,0.5337078651685393,0.4270833333333333,0.6585365853658537,0.34146341463414637,0.5729166666666666,0.6363285024154589,0.14097378277153558,0.5857142857142857,0.14146341463414636
12,ConvNet_12,0.5866666666666667,0.425,0.7714285714285715,0.22857142857142856,0.575,0.5056179775280899,0.4583333333333333,0.5609756097560976,0.43902439024390244,0.5416666666666666,0.7416666666666667,0.11610486891385768,0.5206349206349206,0.21045296167247388
13,ConvNet_13,0.5533333333333333,0.35,0.7857142857142857,0.21428571428571427,0.65,0.5617977528089888,0.4895833333333333,0.6463414634146342,0.35365853658536583,0.5104166666666666,0.6714035087719299,0.14029962546816477,0.6059113300492611,0.13958333333333334
14,ConvNet_14,0.5733333333333334,0.3625,0.8142857142857143,0.18571428571428572,0.6375,0.550561797752809,0.4583333333333333,0.6585365853658537,0.34146341463414637,0.5416666666666666,0.6922222222222223,0.12449438202247187,0.5438775510204081,0.15574912891986065
15,ConvNet_15,0.58,0.3875,0.8,0.2,0.6125,0.5056179775280899,0.3958333333333333,0.6341463414634146,0.36585365853658536,0.6041666666666666,0.7852941176470588,0.08202247191011236,0.5466666666666667,0.16585365853658535
16,ConvNet_16,0.54,0.2375,0.8857142857142857,0.11428571428571428,0.7625,0.5056179775280899,0.2916666666666667,0.7560975609756098,0.24390243902439024,0.7083333333333334,0.6675,0.0896629213483146,0.4685714285714286,0.12961672473867597
17,ConvNet_17,0.5466666666666666,0.325,0.8,0.2,0.675,0.4887640449438202,0.3645833333333333,0.6341463414634146,0.36585365853658536,0.6354166666666666,0.7302564102564102,0.09850187265917604,0.5466666666666667,0.16585365853658535
