,Model,Prediction,Target,Male
0,ConvNet_0,0.0,1.0,Male
1,ConvNet_0,0.0,1.0,Male
2,ConvNet_0,0.0,1.0,Not Male
3,ConvNet_0,0.0,0.0,Male
4,ConvNet_0,0.0,0.0,Not Male
5,ConvNet_0,1.0,1.0,Not Male
6,ConvNet_0,0.0,1.0,Not Male
7,ConvNet_0,1.0,1.0,Not Male
8,ConvNet_0,1.0,1.0,Male
9,ConvNet_0,0.0,0.0,Not Male
10,ConvNet_0,1.0,1.0,Not Male
11,ConvNet_0,1.0,0.0,Male
12,ConvNet_0,1.0,0.0,Not Male
13,ConvNet_0,0.0,0.0,Not Male
14,ConvNet_0,0.0,0.0,Not Male
15,ConvNet_0,0.0,1.0,Not Male
16,ConvNet_0,0.0,1.0,Male
17,ConvNet_0,0.0,1.0,Not Male
18,ConvNet_0,0.0,0.0,Male
19,ConvNet_0,1.0,1.0,Not Male
20,ConvNet_0,0.0,0.0,Not Male
21,ConvNet_0,1.0,0.0,Not Male
22,ConvNet_0,0.0,1.0,Not Male
23,ConvNet_0,0.0,1.0,Male
24,ConvNet_0,0.0,0.0,Male
25,ConvNet_0,1.0,0.0,Not Male
26,ConvNet_0,0.0,1.0,Not Male
27,ConvNet_0,1.0,0.0,Male
28,ConvNet_0,0.0,1.0,Male
29,ConvNet_0,0.0,0.0,Male
30,ConvNet_0,0.0,0.0,Male
31,ConvNet_0,0.0,1.0,Not Male
32,ConvNet_0,0.0,1.0,Male
33,ConvNet_0,1.0,1.0,Not Male
34,ConvNet_0,1.0,1.0,Male
35,ConvNet_0,0.0,0.0,Male
36,ConvNet_0,0.0,0.0,Male
37,ConvNet_0,0.0,1.0,Not Male
38,ConvNet_0,0.0,1.0,Not Male
39,ConvNet_0,0.0,1.0,Not Male
40,ConvNet_0,0.0,1.0,Not Male
41,ConvNet_0,0.0,0.0,Male
42,ConvNet_0,0.0,1.0,Not Male
43,ConvNet_0,1.0,1.0,Male
44,ConvNet_0,0.0,1.0,Not Male
45,ConvNet_0,0.0,1.0,Not Male
46,ConvNet_0,0.0,1.0,Male
47,ConvNet_0,0.0,1.0,Not Male
48,ConvNet_0,0.0,0.0,Not Male
49,ConvNet_0,0.0,1.0,Male
50,ConvNet_0,0.0,1.0,Male
51,ConvNet_0,0.0,1.0,Male
52,ConvNet_0,1.0,0.0,Not Male
53,ConvNet_0,0.0,0.0,Not Male
54,ConvNet_0,1.0,0.0,Not Male
55,ConvNet_0,1.0,1.0,Male
56,ConvNet_0,1.0,1.0,Not Male
57,ConvNet_0,0.0,1.0,Not Male
58,ConvNet_0,0.0,1.0,Male
59,ConvNet_0,1.0,1.0,Not Male
60,ConvNet_0,0.0,1.0,Not Male
61,ConvNet_0,0.0,0.0,Male
62,ConvNet_0,0.0,0.0,Male
63,ConvNet_0,0.0,1.0,Not Male
64,ConvNet_0,0.0,0.0,Not Male
65,ConvNet_0,0.0,0.0,Not Male
66,ConvNet_0,0.0,1.0,Male
67,ConvNet_0,0.0,0.0,Not Male
68,ConvNet_0,0.0,1.0,Not Male
69,ConvNet_0,0.0,0.0,Not Male
70,ConvNet_0,0.0,1.0,Male
71,ConvNet_0,0.0,0.0,Male
72,ConvNet_0,1.0,1.0,Male
73,ConvNet_0,1.0,0.0,Male
74,ConvNet_0,1.0,1.0,Male
75,ConvNet_0,0.0,1.0,Not Male
76,ConvNet_0,1.0,0.0,Male
77,ConvNet_0,0.0,1.0,Male
78,ConvNet_0,1.0,1.0,Male
79,ConvNet_0,0.0,0.0,Male
80,ConvNet_0,0.0,0.0,Not Male
81,ConvNet_0,0.0,1.0,Male
82,ConvNet_0,1.0,1.0,Not Male
83,ConvNet_0,1.0,0.0,Not Male
84,ConvNet_0,1.0,1.0,Not Male
85,ConvNet_0,0.0,0.0,Male
86,ConvNet_0,0.0,1.0,Male
87,ConvNet_0,0.0,1.0,Male
88,ConvNet_0,0.0,0.0,Male
89,ConvNet_0,0.0,0.0,Not Male
90,ConvNet_0,0.0,0.0,Not Male
91,ConvNet_0,0.0,1.0,Not Male
92,ConvNet_0,0.0,1.0,Male
93,ConvNet_0,0.0,1.0,Male
94,ConvNet_0,0.0,1.0,Male
95,ConvNet_0,0.0,0.0,Not Male
96,ConvNet_0,0.0,0.0,Not Male
97,ConvNet_0,1.0,0.0,Not Male
98,ConvNet_0,0.0,0.0,Not Male
99,ConvNet_0,0.0,1.0,Not Male
100,ConvNet_0,0.0,0.0,Not Male
101,ConvNet_0,0.0,1.0,Not Male
102,ConvNet_0,0.0,1.0,Male
103,ConvNet_0,0.0,0.0,Male
104,ConvNet_0,1.0,1.0,Not Male
105,ConvNet_0,0.0,0.0,Male
106,ConvNet_0,1.0,1.0,Male
107,ConvNet_0,1.0,0.0,Not Male
108,ConvNet_0,0.0,0.0,Male
109,ConvNet_0,0.0,0.0,Not Male
110,ConvNet_0,1.0,1.0,Male
111,ConvNet_0,0.0,0.0,Not Male
112,ConvNet_0,0.0,1.0,Not Male
113,ConvNet_0,0.0,1.0,Male
114,ConvNet_0,1.0,0.0,Male
115,ConvNet_0,0.0,1.0,Male
116,ConvNet_0,0.0,0.0,Not Male
117,ConvNet_0,0.0,1.0,Not Male
118,ConvNet_0,0.0,0.0,Male
119,ConvNet_0,0.0,1.0,Male
120,ConvNet_0,0.0,0.0,Male
121,ConvNet_0,1.0,1.0,Male
122,ConvNet_0,1.0,0.0,Male
123,ConvNet_0,0.0,0.0,Male
124,ConvNet_0,0.0,1.0,Not Male
125,ConvNet_0,0.0,0.0,Not Male
126,ConvNet_0,1.0,0.0,Male
127,ConvNet_0,0.0,1.0,Male
128,ConvNet_0,0.0,0.0,Not Male
129,ConvNet_0,0.0,1.0,Male
130,ConvNet_0,0.0,1.0,Male
131,ConvNet_0,0.0,0.0,Male
132,ConvNet_0,0.0,1.0,Not Male
133,ConvNet_0,0.0,0.0,Not Male
134,ConvNet_0,1.0,1.0,Not Male
135,ConvNet_0,0.0,0.0,Male
136,ConvNet_0,0.0,0.0,Male
137,ConvNet_0,0.0,1.0,Not Male
138,ConvNet_0,0.0,1.0,Male
139,ConvNet_0,0.0,1.0,Not Male
140,ConvNet_0,0.0,1.0,Not Male
141,ConvNet_0,0.0,1.0,Not Male
142,ConvNet_0,0.0,0.0,Male
143,ConvNet_0,1.0,0.0,Male
144,ConvNet_0,0.0,0.0,Not Male
145,ConvNet_0,1.0,1.0,Not Male
146,ConvNet_0,1.0,1.0,Male
147,ConvNet_0,1.0,0.0,Not Male
148,ConvNet_0,0.0,1.0,Not Male
149,ConvNet_0,0.0,0.0,Male
150,ConvNet_0,0.0,0.0,Male
151,ConvNet_0,0.0,0.0,Not Male
152,ConvNet_0,0.0,0.0,Not Male
153,ConvNet_0,1.0,1.0,Not Male
154,ConvNet_0,1.0,1.0,Not Male
155,ConvNet_0,0.0,0.0,Male
156,ConvNet_0,0.0,1.0,Male
157,ConvNet_0,0.0,1.0,Male
158,ConvNet_0,0.0,1.0,Not Male
159,ConvNet_0,1.0,1.0,Not Male
160,ConvNet_0,0.0,1.0,Male
161,ConvNet_0,0.0,1.0,Male
162,ConvNet_0,0.0,1.0,Male
163,ConvNet_0,0.0,0.0,Not Male
164,ConvNet_0,0.0,0.0,Male
165,ConvNet_0,1.0,1.0,Male
166,ConvNet_0,0.0,0.0,Male
167,ConvNet_0,0.0,0.0,Male
168,ConvNet_0,1.0,1.0,Male
169,ConvNet_0,0.0,0.0,Male
170,ConvNet_0,0.0,0.0,Male
171,ConvNet_0,0.0,1.0,Male
172,ConvNet_0,1.0,1.0,Not Male
173,ConvNet_0,0.0,1.0,Not Male
174,ConvNet_0,0.0,1.0,Male
175,ConvNet_0,0.0,1.0,Male
176,ConvNet_0,0.0,1.0,Not Male
177,ConvNet_0,1.0,1.0,Not Male
178,ConvNet_0,0.0,0.0,Not Male
179,ConvNet_0,1.0,0.0,Male
180,ConvNet_0,0.0,0.0,Not Male
181,ConvNet_0,1.0,1.0,Not Male
182,ConvNet_0,1.0,1.0,Male
183,ConvNet_0,0.0,0.0,Male
184,ConvNet_0,0.0,1.0,Male
185,ConvNet_0,0.0,0.0,Male
186,ConvNet_0,0.0,0.0,Not Male
187,ConvNet_0,1.0,1.0,Male
188,ConvNet_0,0.0,0.0,Not Male
189,ConvNet_0,0.0,1.0,Not Male
190,ConvNet_0,0.0,0.0,Male
191,ConvNet_0,0.0,0.0,Male
192,ConvNet_0,0.0,0.0,Not Male
193,ConvNet_0,0.0,0.0,Male
194,ConvNet_0,0.0,1.0,Not Male
