,Model,Acc Male,Acc Not Male
0,ConvNet_0,0.6211009174311927,0.6255555555555555
1,ConvNet_1,0.6073394495412844,0.6277777777777778
2,ConvNet_2,0.5954128440366973,0.5877777777777777
3,ConvNet_3,0.5779816513761468,0.6122222222222222
4,ConvNet_4,0.5798165137614679,0.5711111111111111
5,ConvNet_5,0.4972477064220184,0.4622222222222222
6,ConvNet_6,0.5559633027522936,0.5744444444444444
7,ConvNet_7,0.5504587155963303,0.53
8,ConvNet_8,0.44770642201834865,0.4
9,ConvNet_9,0.38623853211009174,0.35777777777777775
10,ConvNet_10,0.6311926605504588,0.6466666666666666
11,ConvNet_11,0.5688073394495413,0.5366666666666666
12,ConvNet_12,0.6,0.6288888888888889
13,ConvNet_13,0.6229357798165137,0.6377777777777778
14,ConvNet_14,0.6220183486238532,0.6555555555555556
15,ConvNet_15,0.6293577981651376,0.6611111111111111
16,ConvNet_16,0.6100917431192661,0.6311111111111111
17,ConvNet_17,0.655045871559633,0.7
18,ConvNet_18,0.6633027522935779,0.6966666666666667
19,ConvNet_19,0.5559633027522936,0.5833333333333334
20,ConvNet_20,0.5862385321100917,0.5855555555555556
21,ConvNet_21,0.5926605504587156,0.6044444444444445
22,ConvNet_22,0.5559633027522936,0.5711111111111111
23,ConvNet_23,0.5972477064220183,0.5911111111111111
24,ConvNet_24,0.5605504587155963,0.5544444444444444
25,VGG11_0,0.5596330275229358,0.5711111111111111
26,VGG11_1,0.536697247706422,0.5388888888888889
27,VGG11_2,0.5284403669724771,0.54
28,VGG11_3,0.42935779816513764,0.47555555555555556
29,VGG11_4,0.5055045871559632,0.5355555555555556
30,VGG11_5,0.3229357798165138,0.29444444444444445
31,VGG11_6,0.38256880733944953,0.4
32,VGG11_7,0.4055045871559633,0.37333333333333335
33,VGG11_8,0.48256880733944957,0.47555555555555556
34,VGG11_9,0.4972477064220184,0.5077777777777778
35,VGG11_10,0.5302752293577981,0.5266666666666666
36,VGG11_11,0.5330275229357798,0.55
37,VGG11_12,0.5688073394495413,0.5844444444444444
38,VGG11_13,0.5155963302752293,0.5244444444444445
39,VGG11_14,0.4688073394495413,0.44
40,VGG11_15,0.6165137614678899,0.6611111111111111
41,VGG11_16,0.6027522935779817,0.6733333333333333
42,VGG11_17,0.3761467889908257,0.3566666666666667
43,VGG11_18,0.5834862385321101,0.6411111111111111
44,VGG11_19,0.5477064220183486,0.5655555555555556
45,VGG11_20,0.5678899082568807,0.5766666666666667
46,VGG11_21,0.5541284403669725,0.5444444444444444
47,VGG11_22,0.5192660550458715,0.5522222222222222
48,VGG11_23,0.5467889908256881,0.5766666666666667
49,VGG11_24,0.44036697247706424,0.46111111111111114
50,ResNet18ImageNet_0,0.43669724770642204,0.4
51,ResNet18ImageNet_1,0.3761467889908257,0.39444444444444443
52,ResNet18ImageNet_2,0.2889908256880734,0.3022222222222222
53,ResNet18ImageNet_3,0.5302752293577981,0.5222222222222223
54,ResNet18ImageNet_4,0.27339449541284405,0.2588888888888889
55,ResNet18ImageNet_5,0.41192660550458715,0.35444444444444445
56,ResNet18ImageNet_6,0.43211009174311926,0.4255555555555556
57,ResNet18ImageNet_7,0.3724770642201835,0.35333333333333333
58,ResNet18ImageNet_8,0.463302752293578,0.46
59,ResNet18ImageNet_9,0.3256880733944954,0.2833333333333333
60,ResNet18ImageNet_10,0.4018348623853211,0.38333333333333336
61,ResNet18ImageNet_11,0.38440366972477064,0.3566666666666667
62,ResNet18ImageNet_12,0.3284403669724771,0.32666666666666666
63,ResNet18ImageNet_13,0.3706422018348624,0.3566666666666667
64,ResNet18ImageNet_14,0.44954128440366975,0.4222222222222222
65,ResNet18ImageNet_15,0.46788990825688076,0.4588888888888889
66,ResNet18ImageNet_16,0.4055045871559633,0.39444444444444443
67,ResNet18ImageNet_17,0.3146788990825688,0.30333333333333334
68,ResNet18ImageNet_18,0.3871559633027523,0.37777777777777777
69,ResNet18ImageNet_19,0.41743119266055045,0.3988888888888889
70,ResNet18ImageNet_20,0.501834862385321,0.5088888888888888
71,ResNet18ImageNet_21,0.3284403669724771,0.3233333333333333
72,ResNet18ImageNet_22,0.37889908256880733,0.3788888888888889
73,ResNet18ImageNet_23,0.2944954128440367,0.2788888888888889
74,ResNet18ImageNet_24,0.38990825688073394,0.41444444444444445
