,Model,Acc Red,Acc Blue
0,ConvNet_0,0.9615,0.9705
1,ConvNet_1,0.962,0.968375
2,ConvNet_2,0.9595,0.97275
3,ConvNet_3,0.9575,0.970625
4,ConvNet_4,0.961,0.971875
5,ConvNet_5,0.948,0.971375
6,ConvNet_6,0.954,0.971875
7,ConvNet_7,0.9555,0.968125
8,ConvNet_8,0.9405,0.9685
9,ConvNet_9,0.952,0.968
10,ConvNet_10,0.9665,0.968875
11,ConvNet_11,0.9635,0.969375
12,ConvNet_12,0.963,0.9685
13,ConvNet_13,0.966,0.9695
14,ConvNet_14,0.9615,0.96875
15,ConvNet_15,0.965,0.969375
16,ConvNet_16,0.9565,0.97075
17,ConvNet_17,0.964,0.974875
18,ConvNet_18,0.9375,0.968
19,ConvNet_19,0.9555,0.969125
20,ConvNet_20,0.959,0.971
21,ConvNet_21,0.961,0.968125
22,ConvNet_22,0.954,0.970125
23,ConvNet_23,0.964,0.97225
24,ConvNet_24,0.961,0.973625
25,LeNet_0,0.9495,0.958875
26,LeNet_1,0.957,0.95825
27,LeNet_2,0.9415,0.95775
28,LeNet_3,0.9465,0.960375
29,LeNet_4,0.95,0.951875
30,LeNet_5,0.9455,0.954625
31,LeNet_6,0.9405,0.9545
32,LeNet_7,0.937,0.95125
33,LeNet_8,0.947,0.955125
34,LeNet_9,0.9475,0.951625
35,LeNet_10,0.948,0.951625
36,LeNet_11,0.954,0.955125
37,LeNet_12,0.9445,0.955875
38,LeNet_13,0.939,0.952875
39,LeNet_14,0.948,0.954625
40,LeNet_15,0.963,0.961
41,LeNet_16,0.952,0.963
42,LeNet_17,0.943,0.958375
43,LeNet_18,0.9485,0.9525
44,LeNet_19,0.959,0.95975
45,LeNet_20,0.9225,0.962625
46,LeNet_21,0.955,0.95975
47,LeNet_22,0.9345,0.961
48,LeNet_23,0.956,0.95225
49,LeNet_24,0.9485,0.951375
50,AlexNet_0,0.931,0.9495
51,AlexNet_1,0.9485,0.954625
52,AlexNet_2,0.943,0.957375
53,AlexNet_3,0.9345,0.948875
54,AlexNet_4,0.9325,0.950625
55,AlexNet_5,0.914,0.940375
56,AlexNet_6,0.9295,0.944875
57,AlexNet_7,0.924,0.94575
58,AlexNet_8,0.932,0.947
59,AlexNet_9,0.9305,0.948625
60,AlexNet_10,0.9405,0.948375
61,AlexNet_11,0.9395,0.94675
62,AlexNet_12,0.9465,0.952875
63,AlexNet_13,0.9405,0.95375
64,AlexNet_14,0.936,0.949625
65,AlexNet_15,0.9365,0.95025
66,AlexNet_16,0.896,0.9365
67,AlexNet_17,0.9445,0.956875
68,AlexNet_18,0.941,0.95725
69,AlexNet_19,0.93,0.94125
70,AlexNet_20,0.929,0.940375
71,AlexNet_21,0.9045,0.93225
72,AlexNet_22,0.922,0.950375
73,AlexNet_23,0.94,0.949
74,AlexNet_24,0.9445,0.952875
75,ResNet18_0,0.9715,0.9715
76,ResNet18_1,0.97,0.972375
77,ResNet18_2,0.97,0.9715
78,ResNet18_3,0.972,0.972625
79,ResNet18_4,0.9745,0.973625
80,ResNet18_5,0.9775,0.976
81,ResNet18_6,0.969,0.975375
82,ResNet18_7,0.9705,0.972875
83,ResNet18_8,0.97,0.97375
84,ResNet18_9,0.9715,0.974875
85,ResNet18_10,0.9675,0.974
86,ResNet18_11,0.9755,0.976125
87,ResNet18_12,0.9705,0.976
88,ResNet18_13,0.9735,0.974875
89,ResNet18_14,0.97,0.9725
90,ResNet18_15,0.967,0.974
91,ResNet18_16,0.9695,0.97425
92,ResNet18_17,0.967,0.973
93,ResNet18_18,0.9655,0.97525
94,ResNet18_19,0.963,0.972125
95,ResNet18_20,0.975,0.976
96,ResNet18_21,0.9755,0.973125
97,ResNet18_22,0.9765,0.977625
98,ResNet18_23,0.973,0.970375
99,ResNet18_24,0.9775,0.97575
