,Model,Acc Male,TPR Male,TNR Male,FPR Male,FNR Male,Acc Not Male,TPR Not Male,TNR Not Male,FPR Not Male,FNR Not Male,DPR,DPD,EOR,EOD
0,ConvNet_0,0.6066666666666667,0.5375,0.6857142857142857,0.3142857142857143,0.4625,0.5674157303370787,0.5520833333333334,0.5853658536585366,0.4146341463414634,0.4479166666666667,0.8865900383141764,0.05543071161048685,0.7579831932773109,0.10034843205574911
1,ConvNet_1,0.5666666666666667,0.4875,0.6571428571428571,0.34285714285714286,0.5125,0.5449438202247191,0.5729166666666666,0.5121951219512195,0.4878048780487805,0.4270833333333333,0.7869473684210526,0.11370786516853931,0.7028571428571428,0.14494773519163762
2,ConvNet_2,0.5133333333333333,0.4,0.6428571428571429,0.35714285714285715,0.6,0.5280898876404494,0.5208333333333334,0.5365853658536586,0.4634146341463415,0.4791666666666667,0.7686363636363637,0.1143820224719101,0.768,0.12083333333333335
3,ConvNet_3,0.6,0.5125,0.7,0.3,0.4875,0.5224719101123596,0.4895833333333333,0.5609756097560976,0.43902439024390244,0.5104166666666666,0.886425702811245,0.05295880149812732,0.6833333333333333,0.13902439024390245
4,ConvNet_4,0.58,0.475,0.7,0.3,0.525,0.5561797752808989,0.5208333333333334,0.5975609756097561,0.4024390243902439,0.4791666666666667,0.8435341365461847,0.07295880149812733,0.7454545454545454,0.10243902439024394
5,ConvNet_5,0.6133333333333333,0.625,0.6,0.4,0.375,0.6123595505617978,0.6145833333333334,0.6097560975609756,0.3902439024390244,0.3854166666666667,0.9831460674157304,0.008764044943820215,0.975609756097561,0.01041666666666663
6,ConvNet_6,0.5666666666666667,0.575,0.5571428571428572,0.44285714285714284,0.425,0.5617977528089888,0.5416666666666666,0.5853658536585366,0.4146341463414634,0.4583333333333333,0.9411936378228514,0.030187265917602957,0.9362706530291109,0.033333333333333326
7,ConvNet_7,0.6533333333333333,0.675,0.6285714285714286,0.37142857142857144,0.325,0.5898876404494382,0.65625,0.5121951219512195,0.4878048780487805,0.34375,0.9216828478964402,0.04531835205992507,0.7614285714285715,0.11637630662020904
8,ConvNet_8,0.5866666666666667,0.6375,0.5285714285714286,0.4714285714285714,0.3625,0.6179775280898876,0.6770833333333334,0.5487804878048781,0.45121951219512196,0.3229166666666667,0.9772549019607845,0.013033707865168442,0.9415384615384614,0.039583333333333415
9,ConvNet_9,0.64,0.7125,0.5571428571428572,0.44285714285714284,0.2875,0.6292134831460674,0.6979166666666666,0.5487804878048781,0.45121951219512196,0.3020833333333333,0.9959141981613892,0.0023970037453183712,0.9795321637426899,0.014583333333333393
