,Model,Acc Male,TPR Male,TNR Male,FPR Male,FNR Male,Acc Not Male,TPR Not Male,TNR Not Male,FPR Not Male,FNR Not Male,DPR,DPD,EOR,EOD
0,ConvNet_0,0.7765392093324692,0.6333333333333333,0.7799601857996019,0.22003981420039814,0.36666666666666664,0.7634522740262921,0.8911290322580645,0.7310330705436675,0.26896692945633255,0.10887096774193548,0.5815424444137468,0.16527142944155357,0.7107088989441931,0.2577956989247312
1,ConvNet_1,0.808295528191834,0.5388888888888889,0.8147312541473125,0.18526874585268746,0.46111111111111114,0.7788029721564464,0.8673387096774193,0.7563223098187775,0.24367769018122248,0.13266129032258064,0.5230696635391276,0.17644903686651528,0.6213130843535306,0.32844982078853047
2,ConvNet_2,0.7758911211924822,0.6111111111111112,0.7798274717982747,0.22017252820172528,0.3888888888888889,0.7618192210337226,0.8866935483870968,0.7301116002866797,0.26988839971332035,0.11330645161290323,0.5807980397847033,0.16549697702628882,0.6892021625991612,0.27558243727598564
3,ConvNet_3,0.8005184705119897,0.5611111111111111,0.8062375580623756,0.19376244193762443,0.4388888888888889,0.7628807054788928,0.8846774193548387,0.7319545408006553,0.26804545919934475,0.1153225806451613,0.5149571254408805,0.19057943270829455,0.6342550389952396,0.32356630824372756
4,ConvNet_4,0.7939079714841218,0.5611111111111111,0.7994691439946915,0.20053085600530857,0.4388888888888889,0.7691679595002858,0.8963709677419355,0.7368690488379236,0.26313095116207635,0.10362903225806451,0.5338895199699172,0.18241753333748567,0.625980906682661,0.33525985663082436
5,ConvNet_5,0.8150356448476993,0.6166666666666667,0.8197743861977439,0.18022561380225613,0.38333333333333336,0.787049889768923,0.902016129032258,0.7578580935804239,0.24214190641957611,0.09798387096774193,0.5067210767783062,0.18535719806207518,0.6836537028758755,0.28534946236559133
6,ConvNet_6,0.8014257939079715,0.6222222222222222,0.8057067020570671,0.19429329794293299,0.37777777777777777,0.7783947089083041,0.8991935483870968,0.7477219207535579,0.2522780792464421,0.10080645161290322,0.532975094583038,0.17900015563217275,0.69197807673144,0.2769713261648745
7,ConvNet_7,0.8167206740116656,0.5666666666666667,0.822694094226941,0.17730590577305905,0.43333333333333335,0.7904793010533192,0.8943548387096775,0.764103614211119,0.23589638578888092,0.10564516129032259,0.5048032188282073,0.18284313255971638,0.6336038473098887,0.3276881720430108
8,ConvNet_8,0.7880751782242384,0.6444444444444445,0.791506303915063,0.20849369608493695,0.35555555555555557,0.7781497509594186,0.8891129032258065,0.7499744036039726,0.25002559639602745,0.11088709677419355,0.5762835164562368,0.16077492439192193,0.7248173343411439,0.244668458781362
9,ConvNet_9,0.8309786130913804,0.5666666666666667,0.8372926343729263,0.16270736562707366,0.43333333333333335,0.8064015677308729,0.8786290322580645,0.7880618408928023,0.2119381591071977,0.12137096774193548,0.49614101568178065,0.17480989829085605,0.6449441639895976,0.3119623655913979
10,ConvNet_10,0.79300064808814,0.6055555555555555,0.7974784339747844,0.20252156602521565,0.39444444444444443,0.7592879888952396,0.9241935483870968,0.7174157878570697,0.2825842121429303,0.07580645161290323,0.5137457031448438,0.20058436414732173,0.6552259065348071,0.31863799283154126
11,ConvNet_11,0.7826312378483474,0.5444444444444444,0.7883211678832117,0.2116788321167883,0.45555555555555555,0.7626357475300074,0.9137096774193548,0.7242756219924235,0.27572437800757654,0.08629032258064516,0.5419467762679245,0.18547284530802335,0.5958615279003628,0.36926523297491043
12,ConvNet_12,0.736746597537265,0.7444444444444445,0.7365627073656271,0.26343729263437293,0.25555555555555554,0.7395280476851473,0.9415322580645161,0.6882358963857889,0.31176410361421114,0.05846774193548387,0.6252338297190574,0.16463150127471798,0.7906733285748275,0.19708781362007166
13,ConvNet_13,0.755152300712897,0.6833333333333333,0.7568679495686795,0.2431320504313205,0.31666666666666665,0.7479382705968809,0.9423387096774194,0.6985768403808744,0.30142315961912564,0.05766129032258065,0.5876576332351281,0.17780517995307327,0.7251461988304093,0.25900537634408605
14,ConvNet_14,0.7519118600129617,0.6388888888888888,0.7546118115461181,0.24538818845388188,0.3611111111111111,0.7483465338450233,0.9435483870967742,0.6987816115490939,0.3012183884509061,0.056451612903225805,0.5902511936625274,0.1767202739507251,0.6771130104463436,0.3046594982078854
15,ConvNet_15,0.7913156189241737,0.5611111111111111,0.7968148639681486,0.20318513603185137,0.4388888888888889,0.7482648811953948,0.9149193548387097,0.7059486024367769,0.29405139756322307,0.08508064516129032,0.5039255030183813,0.20824030284824868,0.613290240438764,0.35380824372759856
16,ConvNet_16,0.7548930654569022,0.6222222222222222,0.7580623755806237,0.24193762441937625,0.37777777777777777,0.7218094227157671,0.9314516129032258,0.6685778642367155,0.33142213576328455,0.06854838709677419,0.5537536360759017,0.20211713731419723,0.6680134680134681,0.3092293906810035
17,ConvNet_17,0.7907971484121841,0.5666666666666667,0.796151293961513,0.20384870603848707,0.43333333333333335,0.738956479137748,0.9133064516129032,0.6946861881847036,0.30531381181529643,0.08669354838709678,0.49556042949456913,0.21611777794088313,0.6204562178072112,0.3466397849462366
18,ConvNet_18,0.7879455605962411,0.5888888888888889,0.7927007299270074,0.2072992700729927,0.4111111111111111,0.7458969543561689,0.9181451612903225,0.7021603358247159,0.2978396641752841,0.08185483870967741,0.5105723845469594,0.20724843747362365,0.6413897428390183,0.3292562724014336
19,ConvNet_19,0.7756318859364874,0.5888888888888889,0.780092899800929,0.219907100199071,0.4111111111111111,0.7374050787948069,0.930241935483871,0.6884406675540083,0.3115593324459916,0.06975806451612904,0.5231091513679506,0.20832579735294068,0.6330491740114627,0.3413530465949821
20,ConvNet_20,0.8453661697990926,0.5388888888888889,0.8526874585268746,0.14731254147312542,0.46111111111111114,0.7788029721564464,0.8915322580645161,0.7501791747721921,0.24982082522780794,0.10846774193548388,0.41195968560130974,0.2233179964291915,0.5896727838393507,0.3526433691756272
21,ConvNet_21,0.8571613739468568,0.46111111111111114,0.8666224286662243,0.1333775713337757,0.5388888888888889,0.7868049318200375,0.8693548387096774,0.765844169140985,0.23415583085901506,0.13064516129032258,0.38872848841135843,0.2217587430381591,0.5304061018346733,0.4082437275985663
22,ConvNet_22,0.8554763447828905,0.4722222222222222,0.8646317186463172,0.1353682813536828,0.5277777777777778,0.7861517106230097,0.8657258064516129,0.7659465547250947,0.2340534452749053,0.1342741935483871,0.3956929696690949,0.2187387168659184,0.5454639548724318,0.3935035842293907
23,ConvNet_23,0.8559948152948801,0.5166666666666667,0.8641008626410086,0.13589913735899137,0.48333333333333334,0.7983996080672818,0.8725806451612903,0.7795638374116924,0.22043616258830756,0.12741935483870967,0.41073802632015494,0.20771159797304573,0.5921133703019101,0.3559139784946236
24,ConvNet_24,0.8627349319507454,0.4666666666666667,0.8721964167219641,0.12780358327803584,0.5333333333333333,0.7859067526741242,0.867741935483871,0.7651274700522166,0.23487252994778335,0.13225806451612904,0.3738272971925801,0.22731802373493826,0.5377942998760843,0.40107526881720434
25,VGG11_0,0.8186649384316267,0.4388888888888889,0.8277372262773722,0.17226277372262774,0.5611111111111111,0.7643504531722054,0.7391129032258065,0.7707586771782533,0.2292413228217467,0.2608870967741935,0.5368092099818307,0.15400611553474203,0.5938049342304661,0.3002240143369176
26,VGG11_1,0.7624108878807517,0.4444444444444444,0.7700066357000663,0.22999336429993364,0.5555555555555556,0.7490814076916796,0.7705645161290322,0.7436264973891676,0.2563735026108324,0.22943548387096774,0.6518698333686858,0.1254996885504411,0.5767777196348625,0.3261200716845878
27,VGG11_2,0.8128321451717434,0.5111111111111111,0.8200398142003982,0.17996018579960185,0.4888888888888889,0.8061566097819874,0.8346774193548387,0.7989147128084366,0.20108528719156343,0.16532258064516128,0.5698052618844809,0.14170046326104385,0.6123456790123456,0.3235663082437277
28,VGG11_3,0.8001296176279974,0.4888888888888889,0.807564698075647,0.192435301924353,0.5111111111111111,0.7781497509594186,0.8028225806451613,0.7718849186034606,0.22811508139653935,0.1971774193548387,0.5786828311328701,0.145140616922546,0.6089625537139349,0.31393369175627245
29,VGG11_4,0.816202203499676,0.3611111111111111,0.8270736562707366,0.17292634372926344,0.6388888888888888,0.7334857516126398,0.6987903225806451,0.7422954847957408,0.25770451520425924,0.30120967741935484,0.5109647668788838,0.1697068458205882,0.516766044752196,0.337679211469534
30,VGG11_5,0.8951393389500972,0.29444444444444445,0.9094890510948905,0.0905109489051095,0.7055555555555556,0.8257532456928227,0.7270161290322581,0.8508242039520836,0.14917579604791645,0.27298387096774196,0.3579015065067254,0.17091868121075163,0.40500400566956307,0.43257168458781364
31,VGG11_6,0.8580686973428386,0.4166666666666667,0.8686131386861314,0.13138686131386862,0.5833333333333334,0.8188127704744019,0.7959677419354839,0.8246134944199857,0.17538650558001434,0.20403225806451614,0.4585326419690067,0.16301054536296825,0.5234718000675448,0.37930107526881723
32,VGG11_7,0.8281270252754375,0.4666666666666667,0.8367617783676178,0.16323822163238222,0.5333333333333333,0.7717808442883971,0.8262096774193548,0.7579604791645337,0.24203952083546637,0.17379032258064517,0.4726669377681184,0.19001557962189053,0.5648283715633643,0.35954301075268813
33,VGG11_8,0.8163318211276733,0.5055555555555555,0.8237558062375581,0.17624419376244194,0.49444444444444446,0.7676165591573446,0.8044354838709677,0.7582676359168629,0.24173236408313709,0.19556451612903225,0.5171164005577485,0.17175152765333937,0.6284600389863547,0.2988799283154122
34,VGG11_9,0.8777705767984446,0.38333333333333336,0.8895819508958195,0.11041804910418049,0.6166666666666667,0.7865599738711522,0.7596774193548387,0.7933858912665097,0.20661410873349031,0.2403225806451613,0.3665483875361124,0.20182315602466638,0.5046001415428167,0.3763440860215053
35,VGG11_10,0.80699935191186,0.39444444444444443,0.8168546781685467,0.1831453218314532,0.6055555555555555,0.8041152935412754,0.7959677419354839,0.8061840892802293,0.19381591071977067,0.20403225806451614,0.5956443516194074,0.1276756178890954,0.4955533040639423,0.4015232974910395
36,VGG11_11,0.843551523007129,0.3,0.8565361645653616,0.14346383543463836,0.7,0.8026455458479628,0.7790322580645161,0.8086413432988635,0.19135865670113647,0.22096774193548388,0.4740146664681993,0.16324571346079647,0.3850931677018633,0.47903225806451616
37,VGG11_12,0.8526247569669475,0.40555555555555556,0.8633045786330458,0.1366954213669542,0.5944444444444444,0.8210173920143709,0.8298387096774194,0.8187775161257295,0.1812224838742705,0.17016129032258065,0.45740127491194604,0.1695980990966825,0.4887161213691826,0.4242831541218638
38,VGG11_13,0.8324044069993519,0.4111111111111111,0.8424684804246848,0.1575315195753152,0.5888888888888889,0.778558014207561,0.8056451612903226,0.7716801474352412,0.22831985256475887,0.19435483870967743,0.4734497541618357,0.18177957372448425,0.5102880658436214,0.3945340501792115
39,VGG11_14,0.7788723266364226,0.4888888888888889,0.785799601857996,0.21420039814200398,0.5111111111111111,0.7385482158896056,0.8673387096774193,0.7058462168526671,0.29415378314733287,0.13266129032258064,0.5377788430181919,0.18961370888189794,0.56366547858877,0.37844982078853046
40,VGG11_15,0.8023331173039533,0.4388888888888889,0.8110152621101526,0.18898473788984738,0.5611111111111111,0.7232791704090797,0.869758064516129,0.686085799119484,0.313914200880516,0.13024193548387097,0.45680699146020104,0.23165649412944966,0.504610312677072,0.43086917562724014
41,VGG11_16,0.8171095268956579,0.3888888888888889,0.8273390842733909,0.17266091572660916,0.6111111111111112,0.7482648811953948,0.817741935483871,0.7306235282072284,0.2693764717927716,0.18225806451612903,0.4671308307588557,0.2027139266346445,0.47556432171816787,0.4288530465949821
42,VGG11_17,0.8112767336357745,0.4166666666666667,0.8207033842070338,0.17929661579296616,0.5833333333333334,0.7601861680411529,0.8120967741935484,0.7470052216647896,0.2529947783352104,0.1879032258064516,0.5047204081293517,0.18137739605943148,0.5130751406818934,0.39543010752688174
43,VGG11_18,0.826701231367466,0.36666666666666664,0.8376907763769078,0.16230922362309225,0.6333333333333333,0.7654935902670041,0.8346774193548387,0.7479266919217774,0.2520733080782226,0.16532258064516128,0.45149901127947933,0.2029726856276149,0.43929146537842184,0.4680107526881721
44,VGG11_19,0.7826312378483474,0.46111111111111114,0.7903118779031187,0.20968812209688123,0.5388888888888889,0.7214828121172532,0.8592741935483871,0.6864953414559231,0.313504658544077,0.1407258064516129,0.5083557193934354,0.20846809416101006,0.5366286042025132,0.39816308243727594
