,Model,Acc Male,Acc Not Male
0,ConvNet_0,0.40275229357798165,0.37444444444444447
1,ConvNet_1,0.3577981651376147,0.35333333333333333
2,ConvNet_2,0.40275229357798165,0.39222222222222225
3,ConvNet_3,0.3779816513761468,0.3611111111111111
4,ConvNet_4,0.4055045871559633,0.4011111111111111
5,ConvNet_5,0.42477064220183486,0.45666666666666667
6,ConvNet_6,0.4541284403669725,0.49333333333333335
7,ConvNet_7,0.42660550458715596,0.46555555555555556
8,ConvNet_8,0.4669724770642202,0.4911111111111111
9,ConvNet_9,0.41376146788990825,0.45222222222222225
10,ConvNet_10,0.4091743119266055,0.3844444444444444
11,ConvNet_11,0.42844036697247706,0.4211111111111111
12,ConvNet_12,0.4073394495412844,0.39111111111111113
13,ConvNet_13,0.44403669724770645,0.42444444444444446
14,ConvNet_14,0.4091743119266055,0.3888888888888889
15,ConvNet_15,0.42201834862385323,0.43777777777777777
16,ConvNet_16,0.47155963302752296,0.4711111111111111
17,ConvNet_17,0.4577981651376147,0.45666666666666667
18,ConvNet_18,0.38440366972477064,0.4166666666666667
19,ConvNet_19,0.44495412844036697,0.4766666666666667
20,ConvNet_20,0.3422018348623853,0.33
21,ConvNet_21,0.381651376146789,0.37444444444444447
22,ConvNet_22,0.43761467889908257,0.4111111111111111
23,ConvNet_23,0.3834862385321101,0.3711111111111111
24,ConvNet_24,0.37889908256880733,0.37666666666666665
25,VGG11_0,0.3385321100917431,0.31333333333333335
26,VGG11_1,0.38990825688073394,0.37666666666666665
27,VGG11_2,0.41743119266055045,0.4088888888888889
28,VGG11_3,0.30458715596330277,0.33111111111111113
29,VGG11_4,0.3339449541284404,0.3
30,VGG11_5,0.3688073394495413,0.36777777777777776
31,VGG11_6,0.42935779816513764,0.4588888888888889
32,VGG11_7,0.38073394495412843,0.4088888888888889
33,VGG11_8,0.42201834862385323,0.44222222222222224
34,VGG11_9,0.3761467889908257,0.3511111111111111
35,VGG11_10,0.3568807339449541,0.33111111111111113
36,VGG11_11,0.3688073394495413,0.35
37,VGG11_12,0.3119266055045872,0.29555555555555557
38,VGG11_13,0.3477064220183486,0.37
39,VGG11_14,0.4,0.36777777777777776
40,VGG11_15,0.3302752293577982,0.35777777777777775
41,VGG11_16,0.3522935779816514,0.3188888888888889
42,VGG11_17,0.3724770642201835,0.3377777777777778
43,VGG11_18,0.3944954128440367,0.38666666666666666
44,VGG11_19,0.43669724770642204,0.43444444444444447
45,VGG11_20,0.4036697247706422,0.43
46,VGG11_21,0.3541284403669725,0.36444444444444446
47,VGG11_22,0.41376146788990825,0.39111111111111113
48,VGG11_23,0.3743119266055046,0.36666666666666664
49,VGG11_24,0.38440366972477064,0.39444444444444443
50,ResNet18ImageNet_0,0.5009174311926605,0.49777777777777776
51,ResNet18ImageNet_1,0.4596330275229358,0.43444444444444447
52,ResNet18ImageNet_2,0.44587155963302755,0.43
53,ResNet18ImageNet_3,0.4724770642201835,0.4688888888888889
54,ResNet18ImageNet_4,0.4688073394495413,0.43777777777777777
55,ResNet18ImageNet_5,0.43853211009174314,0.46111111111111114
56,ResNet18ImageNet_6,0.4,0.41555555555555557
57,ResNet18ImageNet_7,0.4504587155963303,0.4633333333333333
58,ResNet18ImageNet_8,0.4522935779816514,0.4677777777777778
59,ResNet18ImageNet_9,0.44220183486238535,0.47
60,ResNet18ImageNet_10,0.4871559633027523,0.47333333333333333
61,ResNet18ImageNet_11,0.45504587155963305,0.46555555555555556
62,ResNet18ImageNet_12,0.43302752293577984,0.41333333333333333
63,ResNet18ImageNet_13,0.4559633027522936,0.43
64,ResNet18ImageNet_14,0.44954128440366975,0.44222222222222224
65,ResNet18ImageNet_15,0.4798165137614679,0.48777777777777775
66,ResNet18ImageNet_16,0.43669724770642204,0.4488888888888889
67,ResNet18ImageNet_17,0.43944954128440367,0.46111111111111114
68,ResNet18ImageNet_18,0.43761467889908257,0.4444444444444444
69,ResNet18ImageNet_19,0.4651376146788991,0.48333333333333334
70,ResNet18ImageNet_20,0.47889908256880737,0.48333333333333334
71,ResNet18ImageNet_21,0.4651376146788991,0.44333333333333336
72,ResNet18ImageNet_22,0.46788990825688076,0.4577777777777778
73,ResNet18ImageNet_23,0.501834862385321,0.47555555555555556
74,ResNet18ImageNet_24,0.4954128440366973,0.48444444444444446
