,Model,Acc Red,Acc Blue
0,ConvNet_0,0.9285,0.923375
1,ConvNet_1,0.925,0.926
2,ConvNet_2,0.9185,0.923625
3,ConvNet_3,0.926,0.926375
4,ConvNet_4,0.924,0.924625
5,ConvNet_5,0.9325,0.921875
6,ConvNet_6,0.9285,0.922625
7,ConvNet_7,0.9275,0.923375
8,ConvNet_8,0.9275,0.927125
9,ConvNet_9,0.931,0.924375
10,ConvNet_10,0.9295,0.927875
11,ConvNet_11,0.9325,0.92875
12,ConvNet_12,0.932,0.92575
13,ConvNet_13,0.929,0.930375
14,ConvNet_14,0.938,0.933375
15,ConvNet_15,0.9255,0.922
16,ConvNet_16,0.93,0.922875
17,ConvNet_17,0.936,0.926875
18,ConvNet_18,0.9255,0.921625
19,ConvNet_19,0.928,0.926625
20,ConvNet_20,0.9315,0.92625
21,ConvNet_21,0.937,0.931875
22,ConvNet_22,0.928,0.923625
23,ConvNet_23,0.9295,0.929875
24,ConvNet_24,0.934,0.926625
25,LeNet_0,0.8835,0.88975
26,LeNet_1,0.858,0.856375
27,LeNet_2,0.875,0.886875
28,LeNet_3,0.876,0.888125
29,LeNet_4,0.8705,0.881375
30,LeNet_5,0.8915,0.900375
31,LeNet_6,0.8675,0.875375
32,LeNet_7,0.879,0.877
33,LeNet_8,0.846,0.858875
34,LeNet_9,0.8545,0.861875
35,LeNet_10,0.8685,0.882375
36,LeNet_11,0.864,0.87
37,LeNet_12,0.86,0.884125
38,LeNet_13,0.878,0.881375
39,LeNet_14,0.8585,0.86925
40,LeNet_15,0.8695,0.87175
41,LeNet_16,0.8625,0.87325
42,LeNet_17,0.874,0.876
43,LeNet_18,0.8935,0.8955
44,LeNet_19,0.8435,0.869875
45,LeNet_20,0.8925,0.87975
46,LeNet_21,0.8785,0.87975
47,LeNet_22,0.8885,0.88075
48,LeNet_23,0.864,0.87275
49,LeNet_24,0.866,0.871
50,AlexNet_0,0.8585,0.858625
51,AlexNet_1,0.858,0.863625
52,AlexNet_2,0.849,0.861
53,AlexNet_3,0.8615,0.868375
54,AlexNet_4,0.863,0.868625
55,AlexNet_5,0.865,0.8645
56,AlexNet_6,0.8575,0.859625
57,AlexNet_7,0.8625,0.865625
58,AlexNet_8,0.8425,0.85275
59,AlexNet_9,0.852,0.858625
60,AlexNet_10,0.86,0.8685
61,AlexNet_11,0.8695,0.878375
62,AlexNet_12,0.866,0.867875
63,AlexNet_13,0.8535,0.86475
64,AlexNet_14,0.864,0.87275
65,AlexNet_15,0.862,0.86575
66,AlexNet_16,0.863,0.866375
67,AlexNet_17,0.862,0.86925
68,AlexNet_18,0.873,0.876
69,AlexNet_19,0.863,0.86525
70,AlexNet_20,0.845,0.846375
71,AlexNet_21,0.858,0.858625
72,AlexNet_22,0.8565,0.860875
73,AlexNet_23,0.857,0.857375
74,AlexNet_24,0.86,0.8655
75,ResNet18_0,0.935,0.932125
76,ResNet18_1,0.9315,0.927875
77,ResNet18_2,0.925,0.9295
78,ResNet18_3,0.9255,0.923
79,ResNet18_4,0.9365,0.934125
80,ResNet18_5,0.934,0.93025
81,ResNet18_6,0.9245,0.921375
82,ResNet18_7,0.9245,0.921125
83,ResNet18_8,0.9355,0.929125
84,ResNet18_9,0.92,0.915875
85,ResNet18_10,0.9385,0.933125
86,ResNet18_11,0.9385,0.938
87,ResNet18_12,0.9325,0.9315
88,ResNet18_13,0.9325,0.9335
89,ResNet18_14,0.9375,0.93425
90,ResNet18_15,0.9315,0.928625
91,ResNet18_16,0.933,0.926
92,ResNet18_17,0.934,0.931125
93,ResNet18_18,0.936,0.9275
94,ResNet18_19,0.9225,0.921875
95,ResNet18_20,0.9275,0.931
96,ResNet18_21,0.923,0.921375
97,ResNet18_22,0.9285,0.92175
98,ResNet18_23,0.9265,0.919375
99,ResNet18_24,0.9325,0.921125
