,Model,Acc Male,TPR Male,TNR Male,FPR Male,FNR Male,Acc Not Male,TPR Not Male,TNR Not Male,FPR Not Male,FNR Not Male,DPR,DPD,EOR,EOD
0,ConvNet_0,0.5466666666666666,0.4625,0.6428571428571429,0.35714285714285715,0.5375,0.5168539325842697,0.4270833333333333,0.6219512195121951,0.3780487804878049,0.5729166666666666,0.9786154403769481,0.008838951310861431,0.9234234234234233,0.03541666666666671
1,ConvNet_1,0.5266666666666666,0.4,0.6714285714285714,0.32857142857142857,0.6,0.5056179775280899,0.4375,0.5853658536585366,0.4146341463414634,0.5625,0.8587719298245614,0.06029962546816481,0.792436974789916,0.08606271777003482
2,ConvNet_2,0.5866666666666667,0.5125,0.6714285714285714,0.32857142857142857,0.4875,0.5280898876404494,0.4270833333333333,0.6463414634146342,0.35365853658536583,0.5729166666666666,0.9216994382022472,0.03340823970037454,0.8333333333333334,0.08541666666666664
3,ConvNet_3,0.5266666666666666,0.375,0.7,0.3,0.625,0.5056179775280899,0.3854166666666667,0.6463414634146342,0.35365853658536583,0.6145833333333334,0.916969696969697,0.030786516853932577,0.8482758620689655,0.053658536585365846
4,ConvNet_4,0.5533333333333333,0.4125,0.7142857142857143,0.2857142857142857,0.5875,0.550561797752809,0.46875,0.6463414634146342,0.35365853658536583,0.53125,0.8499099099099099,0.06239700374531837,0.8078817733990148,0.06794425087108014
5,ConvNet_5,0.5666666666666667,0.5375,0.6,0.4,0.4625,0.5393258426966292,0.5729166666666666,0.5,0.5,0.4270833333333333,0.8776388888888889,0.06599250936329587,0.8,0.09999999999999998
6,ConvNet_6,0.56,0.5125,0.6142857142857143,0.38571428571428573,0.4875,0.5056179775280899,0.53125,0.47560975609756095,0.524390243902439,0.46875,0.8584397163120567,0.07475655430711609,0.7355481727574751,0.13867595818815331
7,ConvNet_7,0.5933333333333334,0.55,0.6428571428571429,0.35714285714285715,0.45,0.5449438202247191,0.6041666666666666,0.47560975609756095,0.524390243902439,0.3958333333333333,0.8106930693069306,0.10741573033707869,0.6810631229235881,0.1672473867595819
8,ConvNet_8,0.6,0.525,0.6857142857142857,0.3142857142857143,0.475,0.5449438202247191,0.5625,0.524390243902439,0.47560975609756095,0.4375,0.8166308243727598,0.09580524344569291,0.6608058608058608,0.16132404181184667
9,ConvNet_9,0.5933333333333334,0.6,0.5857142857142857,0.4142857142857143,0.4,0.5561797752808989,0.6145833333333334,0.4878048780487805,0.5121951219512195,0.3854166666666667,0.9046864686468645,0.0540823970037454,0.8088435374149661,0.09790940766550521
10,ConvNet_10,0.52,0.7,0.3142857142857143,0.6857142857142857,0.3,0.550561797752809,0.6770833333333334,0.4024390243902439,0.5975609756097561,0.3229166666666667,0.9237251512532412,0.052883895131086156,0.8714430894308942,0.08815331010452965
11,ConvNet_11,0.5,0.625,0.35714285714285715,0.6428571428571429,0.375,0.5561797752808989,0.6770833333333334,0.4146341463414634,0.5853658536585366,0.3229166666666667,0.9976401179941002,0.001498127340823996,0.9105691056910568,0.057491289198606355
12,ConvNet_12,0.4533333333333333,0.5375,0.35714285714285715,0.6428571428571429,0.4625,0.5674157303370787,0.6666666666666666,0.45121951219512196,0.5487804878048781,0.3333333333333333,0.9580428134556574,0.025692883895131136,0.80625,0.12916666666666665
13,ConvNet_13,0.48,0.65,0.2857142857142857,0.7142857142857143,0.35,0.5056179775280899,0.6354166666666666,0.35365853658536583,0.6463414634146342,0.3645833333333333,0.9418374091209517,0.03955056179775285,0.9048780487804878,0.06794425087108014
14,ConvNet_14,0.49333333333333335,0.6125,0.35714285714285715,0.6428571428571429,0.3875,0.5112359550561798,0.6041666666666666,0.4024390243902439,0.5975609756097561,0.3958333333333333,0.9592397800621564,0.025543071161048703,0.9295392953929538,0.04529616724738683
15,ConvNet_15,0.5733333333333334,0.5375,0.6142857142857143,0.38571428571428573,0.4625,0.5393258426966292,0.6458333333333334,0.4146341463414634,0.5853658536585366,0.3541666666666667,0.7551515151515152,0.15131086142322092,0.6589285714285715,0.19965156794425082
16,ConvNet_16,0.58,0.4625,0.7142857142857143,0.2857142857142857,0.5375,0.5674157303370787,0.59375,0.5365853658536586,0.4634146341463415,0.40625,0.7120000000000001,0.1537078651685393,0.6165413533834586,0.1777003484320558
17,ConvNet_17,0.5666666666666667,0.475,0.6714285714285714,0.32857142857142857,0.525,0.5280898876404494,0.59375,0.45121951219512196,0.5487804878048781,0.40625,0.7096732026143792,0.16636704119850182,0.5987301587301587,0.22020905923344952
18,ConvNet_18,0.5533333333333333,0.525,0.5857142857142857,0.4142857142857143,0.475,0.5393258426966292,0.6041666666666666,0.4634146341463415,0.5365853658536586,0.3958333333333333,0.8260130718954249,0.09970037453183517,0.772077922077922,0.12229965156794426
19,ConvNet_19,0.5533333333333333,0.475,0.6428571428571429,0.35714285714285715,0.525,0.5337078651685393,0.5520833333333334,0.5121951219512195,0.4878048780487805,0.4479166666666667,0.8038709677419353,0.10247191011235962,0.7321428571428572,0.13066202090592333
20,ConvNet_20,0.5866666666666667,0.5625,0.6142857142857143,0.38571428571428573,0.4375,0.5674157303370787,0.5104166666666666,0.6341463414634146,0.36585365853658536,0.4895833333333333,0.924625468164794,0.036179775280898885,0.9074074074074073,0.05208333333333337
21,ConvNet_21,0.56,0.55,0.5714285714285714,0.42857142857142855,0.45,0.5168539325842697,0.5,0.5365853658536586,0.4634146341463415,0.5,0.9793501366535075,0.010187265917602994,0.9090909090909091,0.050000000000000044
22,ConvNet_22,0.62,0.575,0.6714285714285714,0.32857142857142857,0.425,0.5280898876404494,0.4895833333333333,0.573170731707317,0.4268292682926829,0.5104166666666666,0.9985365853658537,0.0006741573033707815,0.769795918367347,0.09825783972125435
23,ConvNet_23,0.5933333333333334,0.6,0.5857142857142857,0.4142857142857143,0.4,0.5393258426966292,0.53125,0.5487804878048781,0.45121951219512196,0.46875,0.9630818619582665,0.01895131086142321,0.8854166666666667,0.06874999999999998
24,ConvNet_24,0.6466666666666666,0.6375,0.6571428571428571,0.34285714285714286,0.3625,0.550561797752809,0.5833333333333334,0.5121951219512195,0.4878048780487805,0.4166666666666667,0.9270833333333334,0.0393258426966292,0.7028571428571428,0.14494773519163762
25,VGG11_0,0.5533333333333333,0.4625,0.6571428571428571,0.34285714285714286,0.5375,0.5898876404494382,0.5729166666666666,0.6097560975609756,0.3902439024390244,0.4270833333333333,0.8320306513409962,0.08209737827715352,0.8072727272727274,0.11041666666666661
26,VGG11_1,0.5066666666666667,0.325,0.7142857142857143,0.2857142857142857,0.675,0.5617977528089888,0.4375,0.7073170731707317,0.2926829268292683,0.5625,0.827070707070707,0.06411985018726596,0.7428571428571429,0.11249999999999999
27,VGG11_2,0.5466666666666666,0.525,0.5714285714285714,0.42857142857142855,0.475,0.5280898876404494,0.5416666666666666,0.5121951219512195,0.4878048780487805,0.4583333333333333,0.9286956521739129,0.03685393258426972,0.8785714285714286,0.05923344947735193
28,VGG11_3,0.52,0.3375,0.7285714285714285,0.2714285714285714,0.6625,0.5730337078651685,0.4479166666666667,0.7195121951219512,0.2804878048780488,0.5520833333333334,0.827070707070707,0.06411985018726596,0.7534883720930233,0.11041666666666666
29,VGG11_4,0.6,0.5625,0.6428571428571429,0.35714285714285715,0.4375,0.5786516853932584,0.53125,0.6341463414634146,0.36585365853658536,0.46875,0.9751203852327448,0.011610486891385774,0.9444444444444444,0.03125
30,VGG11_5,0.5666666666666667,0.5125,0.6285714285714286,0.37142857142857144,0.4875,0.5168539325842697,0.5208333333333334,0.5121951219512195,0.4878048780487805,0.4791666666666667,0.8834074074074073,0.058951310861423245,0.7614285714285715,0.11637630662020904
31,VGG11_6,0.5666666666666667,0.6375,0.4857142857142857,0.5142857142857142,0.3625,0.5898876404494382,0.6979166666666666,0.4634146341463415,0.5365853658536586,0.3020833333333333,0.93009009009009,0.04359550561797754,0.9134328358208955,0.060416666666666674
32,VGG11_7,0.5466666666666666,0.5,0.6,0.4,0.5,0.5168539325842697,0.5104166666666666,0.524390243902439,0.47560975609756095,0.4895833333333333,0.916969696969697,0.04104868913857679,0.8410256410256411,0.07560975609756093
33,VGG11_8,0.56,0.4375,0.7,0.3,0.5625,0.47752808988764045,0.4166666666666667,0.5487804878048781,0.45121951219512196,0.5833333333333334,0.863030303030303,0.059250936329588,0.6648648648648648,0.15121951219512197
34,VGG11_9,0.64,0.625,0.6571428571428571,0.34285714285714286,0.375,0.5561797752808989,0.5729166666666666,0.5365853658536586,0.4634146341463415,0.4270833333333333,0.9442293906810035,0.02913857677902626,0.7398496240601503,0.12055749128919863
35,VGG11_10,0.4533333333333333,0.5,0.4,0.6,0.5,0.550561797752809,0.5729166666666666,0.524390243902439,0.47560975609756095,0.4270833333333333,0.9660180871471636,0.01857677902621724,0.7926829268292683,0.12439024390243902
36,VGG11_11,0.47333333333333333,0.4625,0.4857142857142857,0.5142857142857142,0.5375,0.5898876404494382,0.5520833333333334,0.6341463414634146,0.36585365853658536,0.4479166666666667,0.9581345236262889,0.020374531835206044,0.7113821138211383,0.14843205574912888
37,VGG11_12,0.5066666666666667,0.475,0.5428571428571428,0.45714285714285713,0.525,0.6067415730337079,0.5416666666666666,0.6829268292682927,0.3170731707317073,0.4583333333333333,0.9390048154093098,0.028464419475655423,0.6935975609756098,0.1400696864111498
38,VGG11_13,0.5133333333333333,0.5375,0.4857142857142857,0.5142857142857142,0.4625,0.5393258426966292,0.5208333333333334,0.5609756097560976,0.43902439024390244,0.4791666666666667,0.9173659507893616,0.043520599250936265,0.853658536585366,0.0752613240418118
39,VGG11_14,0.47333333333333333,0.525,0.4142857142857143,0.5857142857142857,0.475,0.5842696629213483,0.5729166666666666,0.5975609756097561,0.4024390243902439,0.4270833333333333,0.8934614863950182,0.058951310861423245,0.6870910172516359,0.18327526132404182
40,VGG11_15,0.5533333333333333,0.525,0.5857142857142857,0.4142857142857143,0.475,0.5168539325842697,0.625,0.3902439024390244,0.6097560975609756,0.375,0.765939393939394,0.14464419475655427,0.6794285714285715,0.19547038327526128
41,VGG11_16,0.5866666666666667,0.6375,0.5285714285714286,0.4714285714285714,0.3625,0.5561797752808989,0.6979166666666666,0.3902439024390244,0.6097560975609756,0.3020833333333333,0.851965811965812,0.09730337078651685,0.7731428571428571,0.13832752613240418
42,VGG11_17,0.6,0.5375,0.6714285714285714,0.32857142857142857,0.4625,0.5280898876404494,0.4791666666666667,0.5853658536585366,0.4146341463414634,0.5208333333333334,0.979,0.009438202247190997,0.792436974789916,0.08606271777003482
43,VGG11_18,0.56,0.4375,0.7,0.3,0.5625,0.5056179775280899,0.5833333333333334,0.4146341463414634,0.5853658536585366,0.4166666666666667,0.6389743589743591,0.21093632958801495,0.5125000000000001,0.28536585365853656
44,VGG11_19,0.56,0.5375,0.5857142857142857,0.4142857142857143,0.4625,0.4943820224719101,0.5625,0.4146341463414634,0.5853658536585366,0.4375,0.8376470588235294,0.09303370786516851,0.7077380952380953,0.17108013937282224
45,VGG11_20,0.6133333333333333,0.6625,0.5571428571428572,0.44285714285714284,0.3375,0.5393258426966292,0.625,0.43902439024390244,0.5609756097560976,0.375,0.9403773584905661,0.03550561797752805,0.7894409937888197,0.11811846689895478
46,VGG11_21,0.54,0.5875,0.4857142857142857,0.5142857142857142,0.4125,0.5224719101123596,0.4895833333333333,0.5609756097560976,0.43902439024390244,0.5104166666666666,0.8426966292134831,0.0870411985018727,0.8333333333333333,0.09791666666666671
47,VGG11_22,0.6533333333333333,0.6625,0.6428571428571429,0.35714285714285715,0.3375,0.5280898876404494,0.5520833333333334,0.5,0.5,0.4479166666666667,0.9846808510638299,0.008089887640449378,0.7142857142857143,0.14285714285714285
48,VGG11_23,0.5,0.6,0.38571428571428573,0.6142857142857143,0.4,0.5224719101123596,0.5104166666666666,0.5365853658536586,0.4634146341463415,0.4895833333333333,0.8056550191381652,0.11790262172284649,0.7543959160521838,0.15087108013937284
49,VGG11_24,0.49333333333333335,0.45,0.5428571428571428,0.45714285714285713,0.55,0.5,0.46875,0.5365853658536586,0.4634146341463415,0.53125,0.9722088353413655,0.012958801498127337,0.9600000000000001,0.01874999999999999
50,ResNet18ImageNet_0,0.6066666666666667,0.4625,0.7714285714285715,0.22857142857142856,0.5375,0.5561797752808989,0.46875,0.6585365853658537,0.34146341463414637,0.53125,0.8615525114155251,0.05677902621722847,0.6693877551020407,0.1128919860627178
51,ResNet18ImageNet_1,0.5533333333333333,0.4375,0.6857142857142857,0.3142857142857143,0.5625,0.5449438202247191,0.4375,0.6707317073170732,0.32926829268292684,0.5625,0.9802898550724638,0.007640449438202246,0.9544973544973544,0.014982578397212565
52,ResNet18ImageNet_2,0.52,0.3875,0.6714285714285714,0.32857142857142857,0.6125,0.5449438202247191,0.40625,0.7073170731707317,0.2926829268292683,0.59375,0.9831460674157303,0.006067415730337089,0.8907741251325556,0.035888501742160295
53,ResNet18ImageNet_3,0.5466666666666666,0.4875,0.6142857142857143,0.38571428571428573,0.5125,0.5056179775280899,0.4375,0.5853658536585366,0.4146341463414634,0.5625,0.9703779366700714,0.013033707865168553,0.8974358974358975,0.04999999999999999
54,ResNet18ImageNet_4,0.5533333333333333,0.4875,0.6285714285714286,0.37142857142857144,0.5125,0.5393258426966292,0.5104166666666666,0.573170731707317,0.4268292682926829,0.4895833333333333,0.9182539682539683,0.0385767790262172,0.8702040816326531,0.055400696864111476
55,ResNet18ImageNet_5,0.5666666666666667,0.575,0.5571428571428572,0.44285714285714284,0.425,0.550561797752809,0.5729166666666666,0.524390243902439,0.47560975609756095,0.4270833333333333,0.9720567375886525,0.014756554307116088,0.9311355311355312,0.032752613240418116
56,ResNet18ImageNet_6,0.5666666666666667,0.5375,0.6,0.4,0.4625,0.5280898876404494,0.5416666666666666,0.5121951219512195,0.4878048780487805,0.4583333333333333,0.9157971014492753,0.043520599250936376,0.8200000000000001,0.08780487804878045
57,ResNet18ImageNet_7,0.5466666666666666,0.5,0.6,0.4,0.5,0.5337078651685393,0.53125,0.5365853658536586,0.4634146341463415,0.46875,0.9066666666666666,0.04666666666666669,0.8631578947368421,0.06341463414634146
58,ResNet18ImageNet_8,0.5933333333333334,0.6125,0.5714285714285714,0.42857142857142855,0.3875,0.5337078651685393,0.6145833333333334,0.43902439024390244,0.5609756097560976,0.3854166666666667,0.8928253968253967,0.06322097378277158,0.763975155279503,0.13240418118466907
59,ResNet18ImageNet_9,0.6066666666666667,0.525,0.7,0.3,0.475,0.5842696629213483,0.5625,0.6097560975609756,0.3902439024390244,0.4375,0.8693023255813953,0.06314606741573037,0.7687499999999999,0.09024390243902441
60,ResNet18ImageNet_10,0.48,0.6375,0.3,0.7,0.3625,0.5280898876404494,0.6041666666666666,0.43902439024390244,0.5609756097560976,0.3958333333333333,0.8764044943820225,0.08239700374531833,0.8013937282229966,0.13902439024390234
61,ResNet18ImageNet_11,0.47333333333333333,0.6125,0.3142857142857143,0.6857142857142857,0.3875,0.5280898876404494,0.6770833333333334,0.35365853658536583,0.6463414634146342,0.3229166666666667,0.9754802259887005,0.016254681647940084,0.9046153846153846,0.06458333333333333
