,Model,Acc Male,TPR Male,TNR Male,FPR Male,FNR Male,Acc Not Male,TPR Not Male,TNR Not Male,FPR Not Male,FNR Not Male,DPR,DPD,EOR,EOD
0,ConvNet_0,0.8467919637070641,0.6722222222222223,0.8509621765096218,0.14903782349037822,0.3277777777777778,0.8197926022699437,0.9088709677419354,0.7971741578785707,0.2028258421214293,0.09112903225806451,0.4662949941121154,0.18455464194783958,0.7348068763404968,0.23664874551971316
1,ConvNet_1,0.8440699935191186,0.7111111111111111,0.8472461844724618,0.15275381552753817,0.28888888888888886,0.8021556299501919,0.9237903225806452,0.7712706050988021,0.22872939490119792,0.07620967741935483,0.44868933662270893,0.2036972933601896,0.6678363993990444,0.21267921146953406
2,ConvNet_2,0.8641607258587168,0.6611111111111111,0.8690112806901128,0.1309887193098872,0.3388888888888889,0.8275496039846493,0.9084677419354839,0.8070031739531074,0.1929968260468926,0.09153225806451613,0.42428573263247515,0.1945215675975192,0.6787091891244924,0.24735663082437276
3,ConvNet_3,0.8492546986390149,0.6944444444444444,0.8529528865295288,0.14704711347047114,0.3055555555555556,0.8211806973136279,0.9129032258064517,0.797890856967339,0.202109143032661,0.08709677419354839,0.46184464418921234,0.18622539380469652,0.7275628962847476,0.21845878136200725
4,ConvNet_4,0.8574206092028516,0.7,0.8611811546118116,0.13881884538818845,0.3,0.8104842002122968,0.915725806451613,0.7837616463601925,0.2162383536398075,0.0842741935483871,0.4244728609579609,0.20597170330866804,0.6419714313003961,0.215725806451613
5,ConvNet_5,0.7852235904082955,0.7888888888888889,0.7851360318513603,0.21486396814863967,0.2111111111111111,0.7993794398628236,0.9145161290322581,0.7701443636735947,0.22985563632640524,0.08548387096774193,0.6194236883754414,0.1402417648698974,0.8626298255927884,0.12562724014336923
6,ConvNet_6,0.7848347375243033,0.7333333333333333,0.7860650298606503,0.2139349701393497,0.26666666666666666,0.8005225769576223,0.9080645161290323,0.7732159311968875,0.22678406880311253,0.09193548387096774,0.6197611025536007,0.1386892426629432,0.807578448786264,0.174731182795699
7,ConvNet_7,0.7790019442644199,0.8388888888888889,0.7775713337757133,0.22242866622428667,0.16111111111111112,0.7988895239650526,0.9193548387096774,0.7683014231596191,0.23169857684038087,0.08064516129032258,0.6383951779845757,0.13413658091092287,0.9124756335282652,0.08046594982078847
8,ConvNet_8,0.7723914452365521,0.8055555555555556,0.771599203715992,0.22840079628400797,0.19444444444444445,0.7949701967828856,0.9133064516129032,0.7649226988839971,0.23507730111600286,0.08669354838709678,0.649449451895903,0.13055124111233662,0.8820210939416238,0.10775089605734767
9,ConvNet_9,0.7699287103046014,0.7777777777777778,0.769741207697412,0.23025879230258792,0.2222222222222222,0.7938270596880869,0.9100806451612903,0.7643083853793385,0.2356916146206614,0.08991935483870968,0.6528681276393884,0.129221377161103,0.8546251169201989,0.1323028673835125
10,ConvNet_10,0.7902786779001945,0.7277777777777777,0.7917717319177173,0.20822826808228267,0.2722222222222222,0.834979995100841,0.9120967741935484,0.8153987918501076,0.1846012081498925,0.08790322580645162,0.6638686477597115,0.11156805314418,0.7979172806759013,0.18431899641577065
11,ConvNet_11,0.8086843810758263,0.7222222222222222,0.8107498341074983,0.18925016589250165,0.2777777777777778,0.8423287335674042,0.9116935483870968,0.8247158800040955,0.17528411999590457,0.08830645161290322,0.6217056511882948,0.12272094780998649,0.7921765197306992,0.1894713261648746
12,ConvNet_12,0.7907971484121841,0.7111111111111111,0.7927007299270074,0.2072992700729927,0.28888888888888886,0.8361231321956397,0.9112903225806451,0.8170369611958637,0.1829630388041364,0.08870967741935484,0.6628988836773869,0.11139448173084143,0.7803343166175025,0.200179211469534
13,ConvNet_13,0.7848347375243033,0.7166666666666667,0.7864631718646318,0.21353682813536828,0.2833333333333333,0.8255082877439373,0.9229838709677419,0.8007576533224122,0.1992423466775878,0.07701612903225806,0.651463585021589,0.12052353371712018,0.7764671617882627,0.20631720430107525
14,ConvNet_14,0.7853532080362929,0.7166666666666667,0.7869940278699403,0.21300597213005973,0.2833333333333333,0.8301624887727607,0.915725806451613,0.808436572130644,0.19156342786935598,0.0842741935483871,0.6645578402235857,0.11344830781366116,0.782621458975488,0.19905913978494627
15,ConvNet_15,0.8544394037589113,0.6111111111111112,0.8602521566025215,0.13974784339747842,0.3888888888888889,0.8375928798889524,0.9056451612903226,0.8203132998873759,0.17968670011262414,0.09435483870967742,0.46142906917470244,0.17594694980256517,0.6747798555456614,0.2945340501792114
16,ConvNet_16,0.8725858716785483,0.6722222222222223,0.8773722627737226,0.12262773722627737,0.3277777777777778,0.841593859720748,0.927016129032258,0.8199037575509368,0.18009624244906317,0.07298387096774193,0.408787902695427,0.19589603093508265,0.680901142404236,0.2547939068100358
17,ConvNet_17,0.8637718729747246,0.6611111111111111,0.8686131386861314,0.13138686131386862,0.3388888888888889,0.8371029639911816,0.9108870967741935,0.8183679737892905,0.18163202621070954,0.08911290322580645,0.4365129290611046,0.18555918650253653,0.7233683621491289,0.24977598566308246
18,ConvNet_18,0.8701231367465976,0.6333333333333333,0.8757796947577969,0.12422030524220305,0.36666666666666664,0.8406140279252061,0.9108870967741935,0.8227705539060101,0.17722944609398997,0.08911290322580645,0.417743971074803,0.18969556262035897,0.6952929024642172,0.27755376344086025
19,ConvNet_19,0.8583279325988334,0.6333333333333333,0.8637027206370272,0.13629727936297278,0.36666666666666664,0.8306524046705316,0.9181451612903225,0.808436572130644,0.19156342786935598,0.08185483870967741,0.4366572588684019,0.19080147711389475,0.6897965158834725,0.2848118279569892
20,ConvNet_20,0.846403110823072,0.6222222222222222,0.8517584605175846,0.1482415394824154,0.37777777777777777,0.8258348983424512,0.9080645161290323,0.8049554622709123,0.19504453772908775,0.09193548387096774,0.46931630832656845,0.1801299996967792,0.6852180777580422,0.28584229390681004
21,ConvNet_21,0.8500324044069993,0.6666666666666666,0.8544127405441274,0.1455872594558726,0.3333333333333333,0.8240385400506246,0.910483870967742,0.802088665915839,0.19791133408416095,0.08951612903225807,0.4609636766004615,0.18446160132011644,0.7322113965160909,0.24381720430107534
22,ConvNet_22,0.8585871678548282,0.6111111111111112,0.8644990046449901,0.13550099535500995,0.3888888888888889,0.8242018453498816,0.9004032258064516,0.8048530766868025,0.1951469233131975,0.09959677419354838,0.43377145177223686,0.1913627795472125,0.6787082649151616,0.28929211469534044
23,ConvNet_23,0.8264419961114712,0.7111111111111111,0.8291970802919708,0.1708029197080292,0.28888888888888886,0.8188127704744019,0.9084677419354839,0.7960479164533634,0.20395208354663663,0.09153225806451613,0.5291423633614171,0.1632065540565677,0.7827587907481384,0.19735663082437271
24,ConvNet_24,0.8408295528191834,0.6333333333333333,0.8457863304578633,0.1542136695421367,0.36666666666666664,0.8216706132113987,0.8955645161290322,0.8029077505887171,0.1970922494112829,0.10443548387096774,0.4885569143626398,0.17313979203498778,0.7071889539246585,0.2622311827956989
25,VGG11_0,0.8753078418664938,0.5444444444444444,0.8832116788321168,0.11678832116788321,0.45555555555555555,0.8215073079121418,0.9,0.8015767379952903,0.19842326200470975,0.1,0.3723030441492561,0.21372550876929877,0.5885818022944866,0.3555555555555556
26,VGG11_1,0.8742709008425146,0.6,0.8808228268082283,0.11917717319177173,0.4,0.8333469421082714,0.8786290322580645,0.8218490836490222,0.1781509163509778,0.12137096774193548,0.4074895770923085,0.18960140012862275,0.6689675003241577,0.27862903225806457
27,VGG11_2,0.8745301360985094,0.5333333333333333,0.8826808228268083,0.11731917717319178,0.4666666666666667,0.818159549277374,0.8907258064516129,0.7997337974813147,0.20026620251868538,0.10927419354838709,0.37351225649041214,0.21305801026516152,0.5858161571833149,0.3573924731182796
