,Model,Acc Red,Acc Blue
0,ConvNet_0,0.7735,0.93975
1,ConvNet_1,0.756,0.9385
2,ConvNet_2,0.7625,0.941875
3,ConvNet_3,0.7545,0.935375
4,ConvNet_4,0.7805,0.943875
5,ConvNet_5,0.866,0.92425
6,ConvNet_6,0.8285,0.92225
7,ConvNet_7,0.86,0.92575
8,ConvNet_8,0.828,0.929125
9,ConvNet_9,0.82,0.924
10,ConvNet_10,0.5895,0.934875
11,ConvNet_11,0.6005,0.934875
12,ConvNet_12,0.5995,0.933375
13,ConvNet_13,0.609,0.935625
14,ConvNet_14,0.6085,0.92825
15,ConvNet_15,0.85,0.934375
16,ConvNet_16,0.8325,0.938125
17,ConvNet_17,0.8735,0.936125
18,ConvNet_18,0.826,0.9365
19,ConvNet_19,0.8625,0.935
20,ConvNet_20,0.779,0.914125
21,ConvNet_21,0.7705,0.911875
22,ConvNet_22,0.765,0.910875
23,ConvNet_23,0.775,0.908375
24,ConvNet_24,0.7925,0.90975
25,LeNet_0,0.811,0.900375
26,LeNet_1,0.8205,0.897
27,LeNet_2,0.691,0.89425
28,LeNet_3,0.8265,0.903875
29,LeNet_4,0.862,0.901125
30,LeNet_5,0.792,0.87825
31,LeNet_6,0.8655,0.877875
32,LeNet_7,0.662,0.862
33,LeNet_8,0.7005,0.8665
34,LeNet_9,0.7635,0.877875
35,LeNet_10,0.6715,0.889875
36,LeNet_11,0.5555,0.8715
37,LeNet_12,0.6535,0.8615
38,LeNet_13,0.611,0.89275
39,LeNet_14,0.721,0.8655
40,LeNet_15,0.8815,0.902875
41,LeNet_16,0.7245,0.89175
42,LeNet_17,0.743,0.876875
43,LeNet_18,0.79,0.887375
44,LeNet_19,0.8765,0.904375
45,LeNet_20,0.815,0.880125
46,LeNet_21,0.732,0.86125
47,LeNet_22,0.7215,0.855125
48,LeNet_23,0.8215,0.873375
49,LeNet_24,0.7825,0.87525
50,AlexNet_0,0.888,0.899625
51,AlexNet_1,0.872,0.90125
52,AlexNet_2,0.8705,0.9065
53,AlexNet_3,0.886,0.896
54,AlexNet_4,0.8885,0.90425
55,AlexNet_5,0.8385,0.888125
56,AlexNet_6,0.8095,0.8865
57,AlexNet_7,0.825,0.891125
58,AlexNet_8,0.8295,0.89125
59,AlexNet_9,0.85,0.896375
60,AlexNet_10,0.727,0.876375
61,AlexNet_11,0.712,0.881625
62,AlexNet_12,0.7205,0.88725
63,AlexNet_13,0.689,0.88325
64,AlexNet_14,0.7185,0.88325
65,AlexNet_15,0.852,0.894625
66,AlexNet_16,0.8625,0.902125
67,AlexNet_17,0.821,0.88575
68,AlexNet_18,0.8525,0.89775
69,AlexNet_19,0.844,0.887125
70,AlexNet_20,0.807,0.865
71,AlexNet_21,0.7955,0.863125
72,AlexNet_22,0.835,0.863375
73,AlexNet_23,0.802,0.857125
74,AlexNet_24,0.8185,0.8595
75,ResNet18_0,0.9275,0.944625
76,ResNet18_1,0.9095,0.950625
77,ResNet18_2,0.9335,0.946375
78,ResNet18_3,0.915,0.946
79,ResNet18_4,0.922,0.951875
80,ResNet18_5,0.8855,0.93225
81,ResNet18_6,0.8885,0.9305
82,ResNet18_7,0.8875,0.932
83,ResNet18_8,0.8905,0.932875
84,ResNet18_9,0.8815,0.936625
85,ResNet18_10,0.7265,0.938125
86,ResNet18_11,0.7005,0.93525
87,ResNet18_12,0.7875,0.93425
88,ResNet18_13,0.695,0.9365
89,ResNet18_14,0.739,0.937875
90,ResNet18_15,0.9335,0.954125
91,ResNet18_16,0.9335,0.95
92,ResNet18_17,0.915,0.9465
93,ResNet18_18,0.9295,0.951625
94,ResNet18_19,0.9345,0.954
95,ResNet18_20,0.874,0.9095
96,ResNet18_21,0.845,0.917125
97,ResNet18_22,0.8875,0.92
98,ResNet18_23,0.8795,0.923125
99,ResNet18_24,0.8815,0.914625
